"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;2;2;2;2;2;2;2;2
"2";3;4;6;8;11;13;14;16;18
"3";3;4;6;8;11;13;14;16;18
"4";3;4;6;8;11;13;14;16;18
"5";3;4;6;8;11;13;14;16;18
"6";3;4;6;8;11;13;14;16;18
"7";3;4;6;8;11;13;14;16;18
"8";3;4;6;8;11;13;14;16;18
"9";3;4;6;8;11;12;12;12;12
"10";3;4;6;8;11;13;14;16;18
"11";3;4;6;8;11;13;14;16;18
"12";3;4;6;8;11;13;14;16;18
"13";3;4;6;8;11;13;14;16;18
"14";2;2;2;2;2;2;2;2;2
"15";3;4;6;8;11;13;14;16;18
"16";3;4;6;8;11;13;14;16;18
"17";3;4;6;8;11;13;14;16;18
"18";3;4;6;8;11;13;14;16;18
"19";3;4;6;8;11;13;14;16;18
"20";3;4;6;8;11;13;14;16;18
"21";3;4;6;8;11;12;12;12;12
"22";3;4;6;8;11;13;14;16;18
"23";3;4;6;8;11;13;14;16;18
"24";3;4;6;8;11;13;14;16;18
"25";3;4;6;8;11;13;15;15;15
"26";3;4;6;8;11;13;14;16;18
"27";3;4;6;8;11;13;14;16;18
"28";3;4;6;8;11;13;14;16;18
"29";3;4;6;8;11;13;14;16;18
"30";3;4;6;8;11;13;14;16;18
"31";3;4;7;7;7;7;7;7;7
"32";3;4;6;8;11;13;14;16;18
"33";3;4;6;8;11;13;14;16;18
"34";3;4;6;8;11;13;14;16;18
"35";3;4;7;7;7;7;7;7;7
"36";3;4;6;8;11;13;14;16;18
"37";3;4;6;9;9;9;9;9;9
"38";3;4;6;8;11;13;14;16;18
"39";3;4;6;8;11;13;14;16;18
"40";3;4;6;8;11;12;12;12;12
"41";3;4;6;8;11;13;14;16;18
"42";3;4;6;8;11;13;14;16;18
"43";3;4;6;8;11;13;14;16;18
"44";3;4;6;8;11;13;14;16;18
"45";3;4;6;8;11;13;14;16;18
"46";3;4;6;8;11;13;14;16;18
"47";3;4;6;8;11;13;14;16;18
"48";3;4;6;8;11;13;14;16;18
"49";3;4;6;8;11;12;12;12;12
"50";3;4;6;8;11;13;14;16;18
"51";3;4;6;8;11;13;14;16;18
"52";3;4;6;8;11;13;14;16;18
"53";3;4;6;8;11;13;14;16;18
"54";3;4;6;8;11;13;14;16;18
"55";3;4;6;8;11;13;14;16;18
"56";3;4;6;8;11;13;14;16;18
"57";3;4;6;8;11;13;14;16;18
"58";3;4;6;8;11;13;14;16;18
"59";3;4;6;8;11;13;14;16;18
"60";3;4;6;8;11;12;12;12;12
"61";3;4;6;8;11;13;14;16;18
"62";3;4;6;8;11;13;14;16;18
"63";3;4;6;8;11;13;14;16;18
"64";3;4;6;8;11;13;14;16;18
"65";3;4;6;8;11;13;14;16;18
"66";3;4;6;8;11;12;12;12;12
"67";3;4;6;8;11;13;14;16;18
"68";3;4;6;8;11;13;15;15;15
"69";3;4;6;8;11;13;14;16;18
"70";0;0;0;0;0;0;0;0;0
"71";3;4;6;8;11;13;14;16;18
"72";3;4;6;8;11;13;14;16;18
"73";3;4;6;8;11;13;14;16;18
"74";3;4;6;8;11;13;14;16;18
"75";3;4;7;7;7;7;7;7;7
"76";3;4;6;9;9;9;9;9;9
"77";3;4;6;8;11;13;14;16;18
"78";3;4;6;8;11;13;14;16;18
"79";3;4;6;8;11;13;14;16;18
"80";2;2;2;2;2;2;2;2;2
"81";3;4;6;8;11;13;14;16;18
"82";3;4;6;8;11;13;14;16;18
"83";3;4;6;8;11;13;14;16;18
"84";3;4;6;8;11;13;14;16;18
"85";3;4;6;8;11;13;14;16;18
"86";3;4;6;8;11;13;14;16;18
"87";3;4;6;8;11;13;14;16;18
"88";2;2;2;2;2;2;2;2;2
"89";3;4;6;8;11;13;14;16;18
"90";3;4;6;8;11;13;14;16;18
"91";3;4;6;8;11;13;14;16;18
"92";3;4;6;8;11;13;14;16;18
"93";3;4;6;8;11;13;14;16;18
"94";3;4;6;8;11;13;14;16;18
"95";3;4;6;8;11;12;12;12;12
"96";3;4;6;8;11;13;14;16;18
"97";3;4;6;8;11;13;14;16;18
"98";3;4;6;8;11;13;14;16;18
"99";3;4;6;8;11;13;14;16;18
"100";3;4;6;8;11;13;14;16;18
"101";3;4;6;8;11;13;14;16;18
"102";3;4;6;8;11;13;14;16;18
"103";3;4;6;8;11;13;14;16;18
"104";3;4;6;8;11;13;14;16;18
"105";3;4;6;8;11;13;14;16;18
"106";3;4;6;8;11;13;14;16;18
"107";3;4;6;8;11;13;14;16;18
"108";3;4;6;8;11;13;14;16;18
"109";3;4;6;8;11;13;14;16;18
"110";3;4;6;8;11;13;14;16;18
"111";3;4;6;8;11;13;14;16;18
"112";3;4;6;8;11;13;14;16;18
"113";3;4;6;8;11;13;14;16;18
"114";3;4;6;8;11;12;12;12;12
"115";3;4;6;8;11;13;14;16;18
"116";3;4;6;8;11;13;14;16;18
"117";3;4;6;8;11;13;14;16;18
"118";3;4;6;8;11;13;14;16;18
"119";3;4;6;8;11;13;14;16;18
"120";3;4;6;8;11;13;14;16;18
"121";3;4;6;9;9;9;9;9;9
"122";3;4;6;8;11;13;14;16;18
"123";3;4;6;8;11;13;14;16;18
"124";3;4;6;8;11;13;14;16;18
"125";3;4;6;8;11;13;14;16;18
"126";3;4;6;8;11;13;14;16;18
"127";2;2;2;2;2;2;2;2;2
"128";3;4;6;8;11;13;14;16;18
"129";3;4;6;8;11;13;14;16;18
"130";3;4;6;8;11;13;14;16;18
"131";3;4;6;8;11;13;14;16;18
"132";3;4;6;8;11;12;12;12;12
"133";3;4;6;8;11;13;14;16;18
"134";3;4;6;8;11;13;14;16;18
"135";3;4;6;8;11;13;14;16;18
"136";3;4;6;8;11;13;14;16;18
"137";3;4;6;8;11;13;14;16;18
"138";3;4;6;8;11;13;14;16;18
"139";3;4;6;8;11;13;14;16;18
"140";3;4;6;8;11;13;14;16;18
"141";3;4;6;8;11;13;14;16;18
"142";3;4;6;8;11;13;14;16;18
"143";3;4;6;8;11;13;14;16;18
"144";3;4;6;8;11;13;14;16;18
"145";3;4;6;8;11;12;12;12;12
"146";3;4;6;8;11;13;14;16;18
"147";3;4;6;8;11;13;14;16;18
"148";3;4;6;8;11;13;14;16;18
"149";3;4;6;8;11;13;14;16;18
"150";3;4;6;8;11;13;14;16;18
"151";3;4;6;8;11;13;14;16;18
"152";3;4;6;8;11;13;14;16;18
"153";3;4;6;8;11;13;14;16;18
"154";3;4;6;8;11;13;14;16;18
"155";3;4;6;8;11;13;14;16;18
"156";3;4;6;8;11;13;14;16;18
"157";3;4;6;8;11;13;15;15;15
"158";3;4;6;8;11;13;14;16;18
"159";3;4;6;8;11;13;14;16;18
"160";3;4;6;8;11;13;14;16;18
"161";3;4;6;8;11;13;14;16;18
"162";3;4;6;8;11;12;12;12;12
"163";3;4;6;8;11;13;14;16;18
"164";3;4;6;8;11;13;14;16;18
"165";3;4;6;8;11;13;14;16;18
"166";3;4;6;8;11;13;14;16;18
"167";3;4;6;8;11;13;14;16;18
"168";3;4;6;8;11;13;14;16;18
"169";3;4;6;8;11;13;14;16;18
"170";3;4;6;8;11;12;12;12;12
"171";3;4;6;8;11;13;14;16;18
"172";2;2;2;2;2;2;2;2;2
"173";3;4;6;8;11;13;14;16;18
"174";3;4;6;8;11;13;14;16;18
"175";3;4;6;8;11;13;14;16;18
"176";3;4;6;8;11;13;14;16;18
"177";3;4;6;8;11;13;14;16;18
"178";3;4;6;8;11;13;14;16;18
"179";3;4;6;8;11;12;12;12;12
"180";3;4;6;8;11;13;14;16;18
"181";3;4;6;8;11;13;14;16;18
"182";2;2;2;2;2;2;2;2;2
"183";3;4;6;8;11;13;14;16;18
"184";3;4;6;8;11;13;14;16;18
"185";3;4;6;8;11;13;14;16;18
"186";3;4;6;8;11;13;14;16;18
"187";3;4;6;8;11;12;12;12;12
"188";3;4;6;8;11;13;14;16;18
"189";3;4;6;8;11;13;14;16;18
"190";3;4;6;8;11;13;14;16;18
"191";3;4;6;8;11;13;14;16;18
"192";3;4;6;8;11;13;14;16;18
"193";3;4;6;8;11;13;14;16;18
"194";3;4;6;8;11;12;12;12;12
"195";3;4;6;8;11;13;14;16;18
"196";3;4;6;8;11;12;12;12;12
"197";3;4;6;8;11;13;14;16;18
"198";3;4;6;8;11;13;14;16;18
"199";3;4;6;8;11;13;14;16;18
"200";3;4;6;8;11;13;14;16;18
"201";3;4;6;8;11;13;14;16;18
"202";3;4;6;8;11;13;14;16;18
"203";3;4;6;8;11;13;15;15;15
"204";3;4;6;8;11;13;14;16;18
"205";3;4;6;8;11;13;14;16;18
"206";3;4;6;8;11;13;14;16;18
"207";3;4;6;8;11;13;14;16;18
"208";3;4;6;8;11;13;14;16;18
"209";3;4;6;8;11;13;14;16;18
"210";3;4;6;8;11;13;14;16;18
"211";3;4;6;8;11;12;12;12;12
"212";3;4;6;8;11;13;14;16;18
"213";3;4;6;8;11;13;14;16;18
"214";3;4;6;8;11;13;14;16;18
"215";3;4;6;8;11;13;14;16;18
"216";3;4;6;8;11;13;14;16;18
"217";3;4;7;7;7;7;7;7;7
"218";3;4;6;8;11;13;14;16;18
"219";3;4;6;8;11;13;14;16;18
"220";3;4;6;8;11;13;14;16;18
"221";3;4;6;8;11;13;14;16;18
"222";3;4;6;8;11;13;14;16;18
"223";3;4;6;8;11;13;14;16;18
