"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"mass";"chi.distance";"inertie"
"classe 1";2,78990484665115;-0,327150695374296;0,889901482078302;-0,0510990567781041;0,0285728253628361;-0,0630145835899968;0,109603985668349;-0,0981751632743341;0,0159315404152614;-0,0192827142985333;0,0307501232453648;-0,0400585184794359;-0,0491208275943045;0,0580476069433559;-0,0253837395392431;0,075395114554884;-0,0281729756844468;-0,0136557296741026;0,944356658122197;-0,110737446030415;0,301223316157972;-0,0172965520849539;0,00967163374949722;-0,0213298463004721;0,037099922510575;-0,0332313731816475;0,00539267720307889;-0,00652701817280473;0,0104086286884283;-0,0135594332853233;-0,0166269400359067;0,0196485712302406;-0,00859215806972692;0,02552054006618;-0,00953628837867273;-0,00462233658425131;0,907277041895175;0,0110363894732664;0,079160899496645;0,000214757633251242;6,18789322436852e-05;0,000270457451977464;0,000768343296865177;0,000576479646521671;1,39697818820646e-05;2,01107169942796e-05;4,9521698976474e-05;7,45294750201209e-05;0,000110132343577875;0,000143828340923747;2,39235632509184e-05;0,000173665211788919;1,98236294873862e-05;4,24741215551323e-06;0,800133477428511;0,01100219541521;0,0814080813011538;0,000268416634232207;8,3924745410924e-05;0,000408193232621632;0,00123491297404176;0,000990802111234981;2,60915090554752e-05;3,82225794519948e-05;9,72024877995356e-05;0,000164958016383593;0,000248036165848482;0,000346379594564312;6,62361169970446e-05;0,000584345992181046;8,15922857527199e-05;1,91696189824752e-05;0,102797761790568;2,2911868314248;0,539640663956178
"classe 2";-1,50116253618303;-1,62499203006488;2,91474537644876;-0,209635878307903;-0,0577359346003017;-0,492167708726632;0,0369960949762782;-0,0820568089095243;-0,0545833313345366;-0,17818934660665;0,0187403147987124;-0,0917129041596391;0,118193064235122;0,0729984076493819;-0,189694442588463;0,015189570422025;-0,0197733903462221;0,0956086837410518;-0,404158260461943;-0,437496897441538;0,784737423590615;-0,0564403053401297;-0,0155442560893735;-0,132506401019219;0,00996046532543787;-0,0220921694677091;-0,0146954801433271;-0,0479739499364999;0,00504545833445537;-0,0246918817340865;0,0318211400088586;0,0196533744620901;-0,0510714690034762;0,00408949078528116;-0,00532359345050276;0,0257407431736814;0,186323408957666;0,19314552091937;0,602391662466011;0,00256392262269309;0,000179217199274887;0,0117029106915487;6,20962296535636e-05;0,000285667483793196;0,000116317486778696;0,00121816338030627;1,30468727325561e-05;0,000277108619734202;0,000452291434012883;0,000161344234753833;0,000947708384493545;4,9999798112424e-06;6,92677145616804e-06;0,000147686265914672;0,15230414993712;0,178467349094185;0,574192540795935;0,00297021253766621;0,000225293521254677;0,0163712761587075;9,25056104935255e-05;0,000455077695096259;0,000201361472451746;0,00214595086034297;2,37361384210405e-05;0,000568482623136179;0,000944148454543936;0,000360149715236329;0,00243201090324823;1,55936321695909e-05;2,64252181910815e-05;0,000617804376807503;0,067585931254996;2,72041449746222;0,500180162640384
"classe 3";-0,185058763790677;-0,147686569409795;-0,357233410266073;4,99105787023587;-2,17041480334309;-0,608298233802827;0,0132764283239659;-0,443481162915372;-0,38551651216065;0,0551840236424552;-0,15945242562363;-0,577086584612173;0,118813252974747;0,303464628230652;-0,0410519455720642;-0,0566822737478229;-0,0197874269828847;0,0367993049524499;-0,0332402776473576;-0,0265274795497939;-0,0641663085763838;0,896494421352164;-0,389850170806631;-0,109262602698862;0,00238471366939988;-0,0796581403913099;-0,06924652277671;0,00991216103468844;-0,0286408640731508;-0,103656362477227;0,0213412509419632;0,054508353411184;-0,00737375545382506;-0,0101812769007381;-0,00355422003997543;0,00660989562878968;0,00160203060790089;0,000902617365793124;0,00511942702187698;0,822239639206543;0,143288811478096;0,0101144035842582;4,52434255713372e-06;0,00472086331758907;0,00328284525385215;6,6101041841887e-05;0,000534385212650271;0,00620741254416386;0,000258585197657096;0,00157754712507478;2,51114913362433e-05;3,93922967565107e-05;3,92452173622832e-06;1,2378390315999e-05;0,00107038191109447;0,000681712806439434;0,00398862848756503;0,778582536981693;0,147232922754691;0,0115651843187711;5,50911652079852e-06;0,00614709327478508;0,00464521068178004;9,51801037538037e-05;0,000794660649925528;0,0104088177554343;0,000441213935350481;0,00287829697918326;5,26728644271321e-05;0,000100418556472761;1,22376519777594e-05;4,23251669375309e-05;0,0312549960031974;3,61672364928844;0,408836912272663
"classe 4";-0,352742611661378;-0,0832557105251862;-0,765807921277291;-0,374509349267713;0,400541577288981;-0,213574876060999;4,01350642897988;-1,05636547145501;-0,718210764483779;0,134937969856603;-0,200499621740272;-0,711422644520053;-0,105354506311223;0,0190688537998274;-0,455958091565587;0,230286893420928;-0,307079705159492;0,104656162350304;-0,0793807879159284;-0,0187357684654613;-0,172336525765726;-0,0842791492831931;0,0901374116626731;-0,0480626422220967;0,903194828482781;-0,237723259620752;-0,161625316844775;0,0303662841201494;-0,0451202021656149;-0,160097726206801;-0,0237088558200813;0,00429123272675957;-0,102608279716046;0,0518234952118948;-0,0691048604356081;0,0235517013056522;0,0114643312110063;0,000564977457132514;0,046338108539705;0,00911842653226191;0,00961177019037652;0,0024557766770421;0,814370947671898;0,052757091208648;0,0224413841383052;0,000778451032195778;0,00166418139868761;0,0185808423430189;0,000400462170490749;1,22686490091002e-05;0,00610149483276302;0,00128066811085901;0,00186162282325819;0,000197195013352351;0,00599757730609584;0,000334108916150065;0,0282683012543166;0,00676060138860292;0,00773312819725807;0,00219867140637378;0,776440049148207;0,053788371670445;0,0248635892437159;0,000877664124103914;0,0019377025807953;0,0243958172677019;0,000535015341011125;1,75270643244791e-05;0,0100209721904294;0,0025562212732791;0,00454529664496137;0,000527946133308522;0,0482014388489209;2,57706063851005;0,320117397708902
"classe 5";-0,146313066477693;-0,0373007877627846;-0,926022734972382;1,05214737627682;4,39391508077712;-3,76124457423168;-1,26094875286146;-0,551458005267979;-0,353404227789228;0,343271988140915;-0,584808084107799;-0,0221599484739979;0,30212497673794;0,359445509272933;-0,0820307981896873;0,186044844327224;-0,145861695680157;0,114463913231012;-0,0236678489213948;-0,00603383847165282;-0,149795002707053;0,170197137851378;0,710767129750003;-0,608425279316414;-0,20397320142898;-0,0892047789673396;-0,0571672651859352;0,0555282569756316;-0,0945995440864058;-0,00358463071832644;0,0488722468673273;0,0581445130892847;-0,0132694405577984;0,0300949284581667;-0,0235948344183105;0,0185158760630328;0,000901108830551267;5,18104318707674e-05;0,0309542325290509;0,0328795508849614;0,528432643438626;0,347960415797401;0,0367237791624687;0,00656833790974439;0,00248237534578657;0,00230153632587039;0,00646812540157666;8,23617697179706e-06;0,00150455016384089;0,00199155285249975;9,02232394577984e-05;0,000381866517055379;0,00019188902185079;0,000107765970415556;0,000545883036103257;3,54788374823384e-05;0,0218663689619303;0,0282284171341786;0,492307771872798;0,360741844792384;0,0405441543239308;0,00775457971000399;0,00318476106170718;0,00300476217839065;0,00872087593771935;1,25219182991293e-05;0,00232759080739243;0,00329457575136183;0,000171588132747583;0,000882609610562464;0,000542520170349667;0,000334095442914308;0,0254996003197442;3,81272571542609;0,370684563114451
"classe 6";-0,162365712438018;-0,0748430229213434;-0,44988694978546;0,241548427998825;0,718940576053948;0,677622556718361;0,246619232194817;3,35195420634342;-1,16322092660441;-1,62821969510168;1,22931957672625;-0,863564605524723;0,610334555265243;1,14070458363432;-0,0923425055045298;0,592727799741893;0,10196948616701;0,0183385985531551;-0,0355407468357315;-0,0163826271577119;-0,0984771842954731;0,0528733031079597;0,157371187671304;0,1483269550996;0,0539832675547461;0,733719909602801;-0,254621125641008;-0,356406183963574;0,269089669244761;-0,189028401134685;0,133598070602877;0,249692451765531;-0,0202131445182214;0,129744071927554;0,0223204249124629;0,00401419412210324;0,00258110397397755;0,000485165241500308;0,0169937555539508;0,00403076044767231;0,0329062311323337;0,0262692839659677;0,00326747452799433;0,56445923560439;0,0625538745851247;0,120440609444885;0,0664794052815508;0,0290926765663527;0,0142815440687808;0,0466528220156509;0,000265933888126801;0,00901556042787053;0,000218129251204415;6,43402266501401e-06;0,00120538938906386;0,000256118741947459;0,00925434125179179;0,00266776241689035;0,0236333185999169;0,0209949298482541;0,00278094629366448;0,513729934837262;0,0618675805419443;0,121217333556813;0,069098451448858;0,0340979591980352;0,0170323525234748;0,0594956333936949;0,000389889937703641;0,0160638378819894;0,000475421897237554;1,53769784670858e-05;0,0457234212629896;2,49995762127991;0,285761694475447
"classe 7";-0,291653454574658;0,0359618397648877;-0,425652445340806;0,198336732007395;0,441750129752747;0,452975137470769;0,189669860879574;-0,164111245604263;4,15732990213728;-0,931960213600358;0,380065627034073;-0,80475765785308;-0,208117694943465;0,737733358188565;-0,371429690532052;0,0175151714570226;-0,0971428811520998;0,092591467999025;-0,0644815981404755;0,00795079524599998;-0,0941074055440367;0,043850224467416;0,0976664390509661;0,100148173539086;0,0419340678355171;-0,0362833192043613;0,919143153911717;-0,206046878696947;0,0840286259086486;-0,177923693617245;-0,0460126954122238;0,163105305942335;-0,0821193086063657;0,00387242540603663;-0,0214772982332504;0,0204710273000435;0,00876869796846298;0,000117938296025299;0,0160168404154783;0,00286133607712527;0,0130806562164627;0,0123596241540031;0,002034880857761;0,00142461371281457;0,84128430512073;0,0415456624803254;0,00669050231237571;0,0266016303418432;0,00174840189072287;0,0205453902959652;0,00453009818860348;8,28886236379031e-06;0,000208439207795031;0,000172693601124437;0,00396410815352426;6,02691474770257e-05;0,00844348061254569;0,00183323251403251;0,00909420241971379;0,00956224740385004;0,00167651674832157;0,00125512774135855;0,805453036495953;0,0404767830987159;0,00673175703734486;0,030181545933658;0,00201850234972205;0,0253635528407814;0,0064293116506869;1,42968391503971e-05;0,000439777701520668;0,000399533485902721;0,0466027178257394;2,43635541378761;0,27662570347213
"classe 8";-0,207117144706134;0,100633824595099;-0,291413905346497;0,272943716187044;0,188759606078245;0,3388700174979;-0,261702083767872;0,644280891114716;0,152343204172748;0,223536130707004;0,441964812679558;0,877586367387063;-0,692520903120613;-2,96484180625822;-2,15944498961543;1,18969470054258;-0,244522050288814;-0,151165455330353;-0,0497724597160369;0,0241833817660868;-0,0700298707049624;0,0655912871816581;0,0453609473173961;0,081434080789486;-0,0628898029683662;0,154827572310917;0,0366096973935134;0,0537181172349544;0,106208860044929;0,210893367519576;-0,166420161894321;-0,712483119520523;-0,518937671273568;0,28589633002692;-0,0587612576204192;-0,036326671780656;0,00688865386820339;0,00143866740313959;0,0116946849468498;0,00844131615469703;0,00372045183245094;0,010775172336077;0,00603473352362306;0,0342036410011722;0,00175979217179155;0,00372329805813702;0,0140934826967257;0,0492786901801983;0,0301571591507436;0,516916036827737;0,238528388445436;0,0595715084891212;0,00205728714495364;0,000717035768946287;0,00234204639841122;0,000552906061051252;0,00463643244353397;0,00406733172795312;0,00194527729893637;0,00626945347901003;0,00373919190910382;0,0226628171803162;0,00126709613259425;0,00272809099780865;0,0106644578518638;0,0420477857241194;0,0261835885259704;0,479917344315048;0,254593718541058;0,0772741876243711;0,00326437055091089;0,00124758029629209;0,0545963229416467;1,95204552763855;0,208038291748043
"classe 9";-0,270591772689023;-0,0643956583379619;-0,0775226669283184;-0,206514866898618;0,120055923316322;1,03779813417655;-0,371548768432618;1,74116069484632;0,354981055277145;4,65409063408479;-1,87842192182405;-1,64600008927389;-0,492538398703245;1,07647666187545;-0,318259913581955;0,601559251500197;-0,00572105671888206;-0,114189413672964;-0,046210034602102;-0,0109971030177706;-0,0132388545505476;-0,0352673662262487;0,0205024281244882;0,177228920205972;-0,0634508628071682;0,297344945698462;0,0606215284538582;0,794797591608746;-0,320785592046043;-0,281093990125941;-0,0841127437865525;0,183834206410953;-0,0543505128516449;0,102730668973389;-0,000977007638898005;-0,0195005809104389;0,00463230352143755;0,000232087201193126;0,000326055074376876;0,00190384759080421;0,000592939407790431;0,0398152342609832;0,00479226646288676;0,0984158657189426;0,00376435984259601;0,635868905016212;0,100298584479252;0,0682974828511476;0,0060099438183148;0,026846752627049;0,00204119847009825;0,00600053445134003;4,43687232197742e-07;0,000161195518340299;0,0020748566898447;0,000117509263639515;0,000170300663323917;0,00120854151428294;0,000408437974773951;0,0305200120629871;0,00391192556005479;0,0859085995516344;0,00357083088211126;0,613802429171283;0,0999873885579507;0,0767747902625002;0,00687446836953574;0,032837354937083;0,00287027039043063;0,0102545297739178;9,27494700091604e-07;0,000369496744054254;0,0283373301358913;3,10997686102738;0,274077412389014
"classe 10";-0,251115310696766;0,0742012977726575;-0,334218259608089;0,150346280792517;-0,0315469081060601;0,853655377183121;0,178499115359139;-0,223421630350487;-0,0861790110438642;0,317860171483406;-0,525651897466085;4,82317648641278;0,377465087138417;3,20537496286964;-1,77556724356169;0,323308416927932;-0,866217935615137;0,0978198507145817;-0,0401611532469819;0,0118670967640485;-0,0534519010601805;0,0240450492893814;-0,00504533239092637;0,136526061784264;0,0285475636929429;-0,0357320718927873;-0,0137827058796322;0,0508357336820141;-0,0840680974414759;0,771376024307695;0,0603684146852243;0,512639212402688;-0,283968460430161;0,0517070776857614;-0,138535205842277;0,0156444384225107;0,00417456459448097;0,00032244673673379;0,0063414835186427;0,00105587347796022;4,28404180374363e-05;0,0281893870319775;0,00115738649258586;0,00169564451103556;0,000232156452641737;0,00310360976110765;0,00821867767538964;0,613632373566092;0,00369352266883725;0,249079033552895;0,0664802385956665;0,00181369436087089;0,0106432860840532;0,000123780500981947;0,00157269197211;0,000137315728891905;0,0027858493730858;0,000563744947579573;2,48205205634121e-05;0,0181744988756212;0,000794638166699159;0,00124493798332874;0,000185225295498283;0,00251981995587719;0,00689118258997801;0,580181119324904;0,00355345534025777;0,256244743373986;0,0786269687737561;0,00260694162481303;0,0187133537760337;0,000238644415385515;0,0249400479616307;3,04024563764337;0,230523196131845
