"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,611902387654132;10,7802175974797;10,7802175974797
"facteur 2";0,541317829603266;9,53669099885437;20,3169085963341
"facteur 3";0,524744468619879;9,24470907277063;29,5616176691047
"facteur 4";0,431761437322471;7,60657637304026;37,168194042145
"facteur 5";0,397884889818625;7,00975478693257;44,1779488290775
"facteur 6";0,357550854088511;6,29916811407762;50,4771169431552
"facteur 7";0,335755875581708;5,91519410845805;56,3923110516132
"facteur 8";0,313979810578339;5,53155331232854;61,9238643639418
"facteur 9";0,288931634967215;5,09026596167283;67,0141303256146
"facteur 10";0,28393061972853;5,00216035272427;72,0162906783388
"facteur 11";0,27493043769637;4,84359924448025;76,8598899228191
"facteur 12";0,243814373292643;4,29541059247098;81,1553005152901
"facteur 13";0,239609779517876;4,22133597417317;85,3766364894633
"facteur 14";0,224076771870566;3,94768251937416;89,3243190088374
"facteur 15";0,194910694379915;3,43384784875036;92,7581668575878
"facteur 16";0,160378973159496;2,82548371047862;95,5836505680664
"facteur 17";0,131110882357377;2,30985181579156;97,8935023838579
"facteur 18";0,119568172835992;2,10649761614204;100
