"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Coord. facteur 18";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"Corr. facteur 18";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"COR -facteur 18";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"CTR -facteur 18";"mass";"chi.distance";"inertie"
"detail";-0,39589355702525;-0,0165912898588867;-0,241284668213679;-0,0730526612580593;0,0691223640089869;-0,252444725467731;0,103453314553098;-0,0793577534677884;0,0128165785183073;0,173617584219105;-0,0399347272065488;0,220897726648315;-0,200645290857049;-0,221587764012131;0,0341367643466881;0,0592019779469293;0,222494029029008;-0,0440352792132314;-0,542656635447668;-0,0227419046680425;-0,330732147352403;-0,100134267570988;0,0947469561494113;-0,346029388273404;0,141804852857741;-0,108776742458501;0,0175678569486088;0,237979963136613;-0,0547390689211042;0,302787491723104;-0,275027204971564;-0,303733335239719;0,0467917230698003;0,0811489492426338;0,304975564915235;-0,0603597508340524;0,460487629097561;0,00071547025854482;0,146685192335262;0,0110635597564769;0,00912795654627147;0,109408074232856;0,0172540635194439;0,00949422248897389;0,000227886318254606;0,0410940173751626;0,00210524778746504;0,0571242813024018;0,0463171079375397;0,0528283858795232;0,00109058451973242;0,00269897470315069;0,0311640873551629;0,0011132585861735;0,00403418146563563;7,08531011482607e-06;0,00149850437562152;0,000137363277700791;0,000122980350790844;0,00164032975956083;0,000275478291769077;0,00016209786390218;4,22807582277628e-06;0,000775864676828542;4,10487565734447e-05;0,00125597517310653;0,00103623081880746;0,00126383422585823;2,99946135075734e-05;9,02133884964703e-05;0,00127419319992379;4,99114366550516e-05;0,0257394084732214;0,456363102627136;0,00536067662857778
"art";0,0483080439962683;-0,0313952659144448;-0,480619411161981;-0,263136591577758;-0,294629139130459;-0,191060139656615;0,121177987234946;-0,0541411078521424;0,0956633381928906;-0,107687780337377;-0,0428779049056618;0,0518155146437419;-0,211418267892159;0,0103133301718891;0,104721168643727;0,0120843672066546;-0,0603107275548221;-0,00323764385211685;0,0663990084068657;-0,0431525342973943;-0,660607420261362;-0,361679076836048;-0,404965323943609;-0,262610587591924;0,166558144928446;-0,0744165066113859;0,131488470064929;-0,148015966709199;-0,0589353269720412;0,0712199979096993;-0,290592667097447;0,0141755873377723;0,143938383381632;0,0166098631484291;-0,0828965980540667;-0,0044501147960317;0,00629115021355822;0,00235065917249492;0,534022412221149;0,131708966375809;0,152166075878242;0,0575025364980064;0,0217210137919059;0,00405475856920265;0,0116491747209891;0,0145062140628166;0,0022268908858491;0,00288395139927007;0,0471844134999775;0,000105003477702339;0,00941702296900328;0,000103182074847644;0,00210105236283319;5,52182629961042e-06;4,70091217358785e-05;1,98550764111392e-05;0,00465313706100668;0,0013947800310507;0,00174861671186557;0,000735331910098524;0,000295794912610615;5,90469551545357e-05;0,000184346244372522;0,000233601744569604;3,70348290753751e-05;5,40832601570383e-05;0,000900385001409047;2,1425998694699e-06;0,000220908380243899;2,94165040430756e-06;7,32710417477522e-05;2,1115500429367e-07;0,0201438848920863;0,476426049790562;0,00457229486743387
"paint";-0,341103673329469;-0,15785562036632;-0,311892142231841;-0,245339996522587;-0,282699707277799;-0,125410545949373;0,265935030676014;0,123776587519788;0,0966302949735968;-0,137064433104294;-0,12356387347171;-0,0866864696941187;-0,147092374372916;-0,120792921657279;-0,00611069171973189;0,0206725301151011;0,167295539149659;0,0963504676792639;-0,438431818570304;-0,202897043098978;-0,400885272743501;-0,315343601531767;-0,363363271820826;-0,161194317234367;0,341815079218502;0,15909413649237;0,124202109994102;-0,176173443342487;-0,158820728100065;-0,111420982900768;-0,189062687495163;-0,15525913220368;-0,00785427391400976;0,0265710858060998;0,215030482527929;0,12384243872952;0,279126257115889;0,0528832554451757;0,200125526537531;0,101888768231062;0,124667690956802;0,0220471109814625;0,0930937385035059;0,0188592529269484;0,0105771206246566;0,0209125759045757;0,0164570353945461;0,00718303015048786;0,0203250025117659;0,0128181562862217;2,85339679475254e-05;0,000268707907285332;0,0143864358480046;0,00435180070610402;0,00244143288882493;0,000522868040073888;0,0020411779337583;0,00126301557930432;0,00167696004635693;0,000330019889829849;0,00148396308088899;0,00032147633491099;0,000195928948881266;0,000394204471688878;0,000320372349494393;0,000157679281163686;0,000453996301530678;0,000306164596695175;7,83524799326137e-07;8,96724972877199e-06;0,000587273926665547;0,000194795828399551;0,0209832134292566;0,505041567475564;0,0053521249824557
"artstation";0,0895260199570822;-0,100637577963208;-0,337789927789773;-0,436898777482089;-0,161034698371882;0,233236926458492;0,0845358232688271;-0,075456776432955;-0,541001583960505;-0,262767089073074;-0,155177203884169;-0,218538953443313;-0,126537034011559;0,149020639676043;0,114986206049629;-0,086144279868982;0,161609387600786;0,00189745945432983;0,0925931222624727;-0,104085354905909;-0,349362387581444;-0,451866640995736;-0,166551640763167;0,241227469489288;0,0874319647320598;-0,0780418757489505;-0,559535940856753;-0,271769315968262;-0,1604934723836;-0,226025953627672;-0,130872109210034;0,154125988352553;0,118925557512276;-0,0890955259928354;0,16714601846543;0,0019624651618275;0,0150869950943135;0,0168653256066795;0,184188837473708;0,253528948926712;0,0317408403780292;0,0598348884158438;0,00738120454506161;0,00549946275407584;0,260144240118677;0,0603081791827254;0,0203657643305428;0,0358211124102294;0,0118021705637021;0,0153077630809285;0,00792773645573828;0,00366119081673437;0,0105340155576649;1,32428862239026e-06;0,000180992132729259;0,000228708072963226;0,00257664468240065;0,00431045188239087;0,00058559865527752;0,00122844512722019;0,000161377400475307;0,000128575327216384;0,00660934185947214;0,00155920451045022;0,000543772182334118;0,00107849679885035;0,000361573375367306;0,000501480429374228;0,000298574443791111;0,000167576853680744;0,000589785799392329;8,13029214694846e-08;0,0225819344524381;0,570149800789841;0,0073407273927855
"light";-0,260452969104081;-0,314397363608846;0,100355549353959;0,215054533736827;-0,0314420369081014;0,71013146091687;-0,482407479132719;-0,357166987804529;-0,121251251123324;-0,31488603781551;-0,384701713813968;-0,0714728357441872;0,100766098343921;0,115158862262892;0,198144080918266;-0,0439581135593017;0,143411293602779;0,0248522141416086;-0,216945203426176;-0,261878373816956;0,0835915026979014;0,179130419321937;-0,0261897536304743;0,591506461907038;-0,401822981917839;-0,297503480543559;-0,100996649917691;-0,262285416691294;-0,320438626017039;-0,0595335462801811;0,0839334709021809;0,0959219734982803;0,165044799029832;-0,0366150630617028;0,119454934114547;0,0207007379147505;0,0814486848314225;0,104991327265836;0,0103698854147709;0,0391817978039857;0,000771830783414663;0,353800652814982;0,153318650887102;0,0785936843549468;0,00833510077708986;0,0552411030310011;0,0798388676077052;0,00244390676901543;0,00477393749520798;0,0058308903317959;0,0150155477128723;0,000608091348620082;0,0052911338688453;0,000144906901382027;0,00111703951380632;0,00162767503295793;0,000165841300954738;0,000761565244687244;1,62791324616838e-05;0,00830400147941559;0,00383211007515396;0,00210064436279267;0,000242093075554606;0,00163273882199018;0,00243701472213823;8,41185809239814e-05;0,000167200971586258;0,000218375866737237;0,000646505341439374;3,18191082353834e-05;0,000338669913777893;1,01704480283387e-05;0,016466826538769;0,713885150876254;0,00839202188490585
"highly";-0,287910829872671;-0,0221402941593761;-0,704917197878786;-0,505650580402268;-0,0215578104051724;-0,971403693049435;0,447435351535853;-0,0243541142581393;-0,326890285065692;0,247961512015976;-0,291690720842542;0,176209030019533;-0,213632394236681;-0,024074560665783;-0,101749282395477;0,0910202870059902;-0,155781043125289;0,412332421563103;-0,181206061406095;-0,0139347154977365;-0,443662605889214;-0,318247667734218;-0,0135681103687146;-0,611384564209237;0,281608016695725;-0,0153280553069266;-0,205739051548933;0,156062656596093;-0,183585058943275;0,11090289423343;-0,134456507820505;-0,0151521091452444;-0,064039226040698;0,0572865832233613;-0,0980458751028942;0,259514844004065;0,0537123244055273;0,000280992612184855;0,276121280116384;0,116901657095953;0,000195813459009265;0,357283628749799;0,0711803315548721;0,000197206941650048;0,0326945165035183;0,0184865801750424;0,0247710175697173;0,00801662229055046;0,0115801597742082;0,000137527445612259;0,00213685067846337;0,0014070179116993;0,00336933157391011;0,0215271411419147;0,00107011689226317;6,32822614007898e-06;0,00641492272759733;0,00330077740031781;5,99963062339371e-06;0,0121818912295378;0,0025844956514267;7,65702200876968e-06;0,00137949218568811;0,000793750055776315;0,00109839979816476;0,000400840447246889;0,000589181948726493;7,48224557209832e-06;0,000133652758559643;0,000106952666861265;0,0003132884847041;0,00219487699267329;0,0129096722621902;0,971766899113408;0,0121910025062603
"concept";0,214834049129681;0,0749737238973299;-0,447552545656871;-0,575058728365262;-0,643520412512676;-0,471040628576796;0,291313447167293;-0,198452542592919;-0,388075133435961;-0,208386536263824;0,00830606535590914;-0,119189701093184;-0,270231395956178;-0,0919733977004298;-0,0836983658715725;0,0819503166366088;-0,134772082846703;0,118749248200601;0,165807887546075;0,0578643601013873;-0,345418905717501;-0,443827565283288;-0,496665964374659;-0,363546895331983;0,224834319719112;-0,153164719460354;-0,299514524559079;-0,160831728075337;0,00641058135831907;-0,0919900389885576;-0,208563293824408;-0,0709846267150046;-0,0645979968838499;0,0632488608779419;-0,104016446403743;0,0916500995609918;0,0434909839627358;0,00468577417603071;0,161862703717456;0,219876648126834;0,253742350694597;0,12217023611022;0,04387888100728;0,0190425855698446;0,0670096861385433;0,0189872644895125;2,92095165655452e-05;0,00533393382629377;0,0269455471463067;0,00291898698183212;0,0021027153455825;0,00165866835139091;0,00366732566980083;0,00259649916922227;0,000629032814345317;7,66099605430165e-05;0,00272995279229677;0,00450704062768;0,00564406138170605;0,00302401408295675;0,00115661318363979;0,000536760326802706;0,00205257343861897;0,000591842823227324;9,40281218966914e-07;0,000193617467334883;0,000995264888485405;0,000115289972287588;9,54774983734581e-05;9,1531029149584e-05;0,000247552293419662;0,000192189125752954;0,0136290967226219;0,805832114485223;0,00885026380043496
"city";0,0207847824286349;-0,0207564357915586;-0,371585116919371;0,0390062108490664;-0,0288108429940058;0,181595992648714;-0,153803713173944;0,495796797340704;0,419912278822808;-0,0496498801764973;-0,0273258780946107;0,660005530739326;-0,435466334738038;-0,699570107600758;0,285027762937928;-0,0707029140252219;0,307652924852609;0,797286801431315;0,0130045475465291;-0,0129868117250978;-0,232492032916503;0,0244052650220567;-0,0180262641121012;0,113620324329489;-0,0962313513586608;0,310208348178389;0,262729196905105;-0,0310647575769278;-0,0170971566410263;0,412949874983871;-0,272461002392389;-0,437704496434416;0,178335140525719;-0,0442371437024248;0,192491170057308;0,498843524248265;0,0004487564137986;0,000395909066999564;0,122999131968077;0,00111519017421633;0,000560669502642676;0,0200164887255793;0,0134832571597969;0,13102275065641;0,0864867940974894;0,00118819082692741;0,000348504694000419;0,18029845683353;0,0771349614632034;0,186164506134866;0,0268811319428455;0,00136100465695465;0,0210667912611483;0,129027504421496;5,71520290889224e-06;5,6996245587758e-06;0,00182665828167027;2,01283518972583e-05;1,09812712670807e-05;0,000436267849910063;0,000312949548505067;0,00325198192117674;0,00233269434656036;3,2611974784569e-05;9,87845308214806e-06;0,00576283039571348;0,00250870653063349;0,00647445439782037;0,00107476871657183;6,61325571182562e-05;0,00125216853071107;0,00840949347229444;0,0132294164668265;0,76750501568422;0,00779297230824317
"greg";0,0196175167388921;-0,0530978955415171;-0,501006816939619;-0,326958749354748;0,00594111358416561;0,349250832948207;0,384916159817959;-0,155854113763134;0,387432130568208;-0,266756765216165;0,254469619999605;-0,30961816473646;0,410481398615516;0,205168550654371;0,0521889220021123;-0,0487235426438664;0,0934693091059251;0,119416425072106;0,0173657956838756;-0,0470032582355186;-0,443500680285064;-0,289430049374878;0,00525918575783737;0,30916342206442;0,340735041839866;-0,137964999960283;0,342962226583836;-0,236138117973494;0,225261305367245;-0,274079836933201;0,363365873227801;0,181619069265639;0,0461986177207455;-0,0431309985769263;0,0827407946811404;0,105709670938614;0,000536482728625388;0,00347690226465071;0,300068683606773;0,105151460998349;3,19947477805919e-05;0,0993569506936597;0,113329100949622;0,0173749593206734;0,098803401946207;0,0460286935755238;0,0405583463407395;0,0532473136082882;0,0919765331492097;0,0214883937714958;0,00120942197313678;0,000867382544155414;0,00260953026835353;0,00388444751276328;4,8451955773471e-06;3,54958733391458e-05;0,0031601705293881;0,00134588878859235;4,44384558164927e-07;0,00153567088166388;0,00186532940759538;0,000305815707622742;0,0018897942276553;0,0008958888534535;0,000815258116041736;0,00120691340925075;0,00212133965875081;0,000529962120941197;3,42909803204999e-05;2,98882828316199e-05;0,000109992054340239;0,000179535931724845;0,012589928057554;0,662532570443767;0,00552634145376218
"digital";-0,117468849752081;-0,0175586120666093;-0,680706804948961;-0,633566310254274;-0,437659673113819;-0,501737408557672;0,233287169899679;-0,141466073812195;-0,451373502063774;-0,189752053294474;-0,296738221391614;-0,147902319330185;-0,0263564046108801;0,0532240403847712;0,253966529600761;-0,162826892802693;0,0317049582040554;0,0931320275635742;-0,0863534365015491;-0,0129076473920476;-0,500399654728815;-0,465745840344316;-0,321731394078398;-0,368836074770274;0,171493539394269;-0,103994221854108;-0,331812673157254;-0,139490102438094;-0,218137533589575;-0,108725620176465;-0,0193750608504145;0,0391259368030102;0,186695303765069;-0,119696939044325;0,0233068775325236;0,0684630065370086;0,0115149347461599;0,000227597035231112;0,331590404697086;0,236353426709521;0,10393561995582;0,122750900151171;0,0249194946836117;0,00856919893365977;0,0802788451791455;0,0139418080628872;0,0330144223602235;0,00727349549797703;0,000226992115592872;0,000865658146061037;0,0171444097840413;0,00579873951593189;0,000179732663865958;0,00141431976202544;0,000182000284511807;4,06637102489504e-06;0,00611148596803603;0,00529432729542131;0,00252638595224346;0,00332031738442188;0,000717808081580117;0,000263955815873155;0,00268719235254014;0,00047489719307453;0,00116137804841876;0,000288520451673537;9,16218309848517e-06;3,73630494288697e-05;0,000850706210709829;0,000349686531435943;1,32580912732972e-05;0,000114399664435403;0,013189448441247;0,856314010003065;0,0096714754448475
