"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"2";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"3";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"4";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"5";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"6";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"7";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"8";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"9";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"10";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"11";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"12";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"13";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"14";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"15";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"16";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"17";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"18";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"19";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"20";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"21";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"22";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
