"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"10";"***";"";""
"**";"classe";"1";"**";"";""
"****";"84";"1551";"5.42";"****";""
" 0";"689";"0.00";"-70.986";"detail";"3.597622e-17"
" 6";"572";"1.05";"-33.736";"paint";"6.313639e-09"
" 0";"347";"0.00";"-25.596";"highly";"4.210157e-07"
" 0";"225";"0.00";"-15.070";"intricate";"1.036220e-04"
" 0";"218";"0.00";"-14.524";"sharp";"1.383826e-04"
" 0";"210";"0.00";"-13.908";"focus";"1.920228e-04"
" 0";"199";"0.00";"-13.072";"cinematic";"2.997655e-04"
" 0";"199";"0.00";"-13.072";"high";"2.997655e-04"
" 0";"195";"0.00";"-12.771";"render";"3.519738e-04"
" 0";"195";"0.00";"-12.771";"view";"3.519738e-04"
" 0";"190";"0.00";"-12.398";"fantasy";"4.297623e-04"
" 0";"190";"0.00";"-12.398";"octane";"4.297623e-04"
" 5";"304";"1.64";"-10.497";"rutkowski";"1.195536e-03"
" 0";"160";"0.00";"-10.215";"realistic";"1.392755e-03"
" 0";"154";"0.00";" -9.790";"style";"1.754579e-03"
" 0";"153";"0.00";" -9.720";"engine";"1.823202e-03"
" 0";"153";"0.00";" -9.720";"unreal";"1.823202e-03"
" 0";"147";"0.00";" -9.298";"matte";"2.293461e-03"
" 0";"135";"0.00";" -8.467";"street";"3.616399e-03"
" 0";"134";"0.00";" -8.398";"town";"3.755540e-03"
" 0";"126";"0.00";" -7.853";"sky";"5.074606e-03"
" 0";"118";"0.00";" -7.313";"8k";"6.845677e-03"
" 0";"117";"0.00";" -7.246";"tower";"7.105956e-03"
" 0";"115";"0.00";" -7.112";"masterpiece";"7.656081e-03"
" 0";"113";"0.00";" -6.979";"elegant";"8.248106e-03"
" 0";"108";"0.00";" -6.647";"smooth";"9.932914e-03"
" 0";"107";"0.00";" -6.581";"river";"1.030856e-02"
" 0";"103";"0.00";" -6.317";"cgsociety";"1.195674e-02"
" 0";" 98";"0.00";" -5.990";"hyper";"1.438781e-02"
" 0";" 95";"0.00";" -5.795";"sunny";"1.607550e-02"
" 0";" 92";"0.00";" -5.600";"ancient";"1.795975e-02"
" 0";" 89";"0.00";" -5.406";"night";"2.006370e-02"
" 0";" 86";"0.00";" -5.213";"contrast";"2.241335e-02"
" 0";" 85";"0.00";" -5.149";"hyperdetailed";"2.325611e-02"
" 0";" 83";"0.00";" -5.021";"photorealistic";"2.503789e-02"
" 0";" 82";"0.00";" -4.957";"full";"2.597940e-02"
" 0";" 81";"0.00";" -4.894";"composition";"2.695639e-02"
" 0";" 79";"0.00";" -4.766";"hd";"2.902234e-02"
" 0";" 79";"0.00";" -4.766";"ultra";"2.902234e-02"
" 0";" 77";"0.00";" -4.639";"gothic";"3.124740e-02"
" 0";" 75";"0.00";" -4.513";"dark";"3.364421e-02"
" 0";" 74";"0.00";" -4.450";"architecture";"3.491126e-02"
" 0";" 71";"0.00";" -4.260";"photo";"3.900911e-02"
" 0";" 71";"0.00";" -4.260";"wide";"3.900911e-02"
" 1";"101";"0.99";" -4.131";"castle";"4.210441e-02"
" 0";" 68";"0.00";" -4.072";"building";"4.359455e-02"
" 0";" 67";"0.00";" -4.010";"dramatic";"4.524168e-02"
" 0";" 67";"0.00";" -4.010";"day";"4.524168e-02"
" 0";" 67";"0.00";" -4.010";"4k";"4.524168e-02"
" 0";" 63";"0.00";" -3.760";"stone";"5.248966e-02"
" 0";" 63";"0.00";" -3.760";"world";"5.248966e-02"
" 0";" 60";"0.00";" -3.574";"victorian";"5.869658e-02"
" 0";" 59";"0.00";" -3.512";"gurney";"6.092894e-02"
" 0";" 58";"0.00";" -3.450";"vibrant";"6.324871e-02"
" 0";" 58";"0.00";" -3.450";"soft";"6.324871e-02"
" 0";" 58";"0.00";" -3.450";"flood";"6.324871e-02"
" 0";" 58";"0.00";" -3.450";"house";"6.324871e-02"
" 0";" 57";"0.00";" -3.388";"angle";"6.565957e-02"
" 0";" 57";"0.00";" -3.388";"inspire";"6.565957e-02"
" 0";" 57";"0.00";" -3.388";"krenz";"6.565957e-02"
" 0";" 57";"0.00";" -3.388";"cushart";"6.565957e-02"
"12";"347";"3.46";" -3.344";"digital";"6.744045e-02"
" 0";" 53";"0.00";" -3.142";"great";"7.629382e-02"
" 0";" 52";"0.00";" -3.081";"studio";"7.922184e-02"
" 0";" 52";"0.00";" -3.081";"tree";"7.922184e-02"
" 0";" 52";"0.00";" -3.081";"magical";"7.922184e-02"
" 0";" 52";"0.00";" -3.081";"tall";"7.922184e-02"
" 0";" 52";"0.00";" -3.081";"european";"7.922184e-02"
" 0";" 50";"0.00";" -2.958";"epic";"8.543482e-02"
" 0";" 50";"0.00";" -2.958";"demura";"8.543482e-02"
" 0";" 50";"0.00";" -2.958";"artem";"8.543482e-02"
" 0";" 49";"0.00";" -2.897";"ghibli";"8.873039e-02"
" 0";" 49";"0.00";" -2.897";"build";"8.873039e-02"
" 0";" 49";"0.00";" -2.897";"ray";"8.873039e-02"
" 0";" 49";"0.00";" -2.897";"magritte";"8.873039e-02"
" 0";" 48";"0.00";" -2.836";"summer";"9.215954e-02"
" 0";" 48";"0.00";" -2.836";"amsterdam";"9.215954e-02"
" 0";" 47";"0.00";" -2.775";"resolution";"9.572832e-02"
" 0";" 46";"0.00";" -2.714";"win";"9.944306e-02"
" 0";" 46";"0.00";" -2.714";"shadow";"9.944306e-02"
" 0";" 45";"0.00";" -2.654";"award";"1.033105e-01"
" 0";" 45";"0.00";" -2.654";"anime";"1.033105e-01"
" 0";" 45";"0.00";" -2.654";"vivid";"1.033105e-01"
" 0";" 45";"0.00";" -2.654";"spitzweg";"1.033105e-01"
" 0";" 45";"0.00";" -2.654";"rene";"1.033105e-01"
" 0";" 44";"0.00";" -2.593";"mullins";"1.073377e-01"
" 0";" 44";"0.00";" -2.593";"craig";"1.073377e-01"
" 0";" 43";"0.00";" -2.532";"carl";"1.115322e-01"
" 0";" 43";"0.00";" -2.532";"simon";"1.115322e-01"
" 0";" 42";"0.00";" -2.472";"empty";"1.159019e-01"
" 0";" 42";"0.00";" -2.472";"sunset";"1.159019e-01"
" 0";" 41";"0.00";" -2.411";"flag";"1.204552e-01"
" 0";" 41";"0.00";" -2.411";"eiffel";"1.204552e-01"
" 0";" 41";"0.00";" -2.411";"cloud";"1.204552e-01"
" 1";" 72";"1.39";" -2.390";"mountain";"1.220923e-01"
" 0";" 40";"0.00";" -2.351";"lake";"1.252010e-01"
" 0";" 39";"0.00";" -2.291";"bright";"1.301487e-01"
" 0";" 39";"0.00";" -2.291";"aerial";"1.301487e-01"
" 0";" 39";"0.00";" -2.291";"england";"1.301487e-01"
" 0";" 38";"0.00";" -2.231";"realism";"1.353085e-01"
" 0";" 38";"0.00";" -2.231";"game";"1.353085e-01"
" 0";" 38";"0.00";" -2.231";"extremely";"1.353085e-01"
" 0";" 38";"0.00";" -2.231";"stalenhag";"1.353085e-01"
" 0";" 38";"0.00";" -2.231";"tattoo";"1.353085e-01"
" 0";" 37";"0.00";" -2.170";"photography";"1.406910e-01"
" 0";" 37";"0.00";" -2.170";"huge";"1.406910e-01"
" 0";" 36";"0.00";" -2.110";"quality";"1.463075e-01"
" 0";" 36";"0.00";" -2.110";"prague";"1.463075e-01"
" 0";" 36";"0.00";" -2.110";"weather";"1.463075e-01"
" 0";" 35";"0.00";" -2.050";"scene";"1.521703e-01"
" 0";" 35";"0.00";" -2.050";"venice";"1.521703e-01"
"*****";"*";"*";"*";"*";"*"
"22";"824";"2.67";"-25.877";"of";"3.639623e-07"
"23";"743";"3.10";"-14.990";"a";"1.081004e-04"
" 0";"198";"0.00";"-12.997";"8";"3.120640e-04"
"18";"595";"3.03";"-10.770";"and";"1.031563e-03"
" 0";"148";"0.00";" -9.368";"from";"2.207592e-03"
"29";"781";"3.71";" -8.903";"by";"2.846636e-03"
" 2";"145";"1.38";" -5.088";"at";"2.409484e-02"
" 8";"290";"2.76";" -4.917";"with";"2.659884e-02"
" 1";"108";"0.93";" -4.568";"an";"3.256710e-02"
" 0";" 75";"0.00";" -4.513";"old";"3.364421e-02"
" 0";" 73";"0.00";" -4.386";"for";"3.622648e-02"
" 0";" 69";"0.00";" -4.135";"5";"4.200829e-02"
" 0";" 45";"0.00";" -2.654";"0";"1.033105e-01"
" 0";" 43";"0.00";" -2.532";"d";"1.115322e-01"
" 0";" 39";"0.00";" -2.291";"3";"1.301487e-01"
" 0";" 36";"0.00";" -2.110";"s";"1.463075e-01"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"149";"1551";"9.61";"****";""
" 2";"572";"0.35";"-89.425";"paint";"3.184470e-21"
" 3";"546";"0.55";"-79.601";"art";"4.580941e-19"
"19";"627";"3.03";"-52.417";"artstation";"4.487869e-13"
" 7";"448";"1.56";"-46.943";"light";"7.308530e-12"
"28";"689";"4.06";"-43.861";"detail";"3.525450e-11"
" 2";"347";"0.58";"-41.977";"highly";"9.235074e-11"
" 2";"347";"0.58";"-41.977";"digital";"9.235074e-11"
" 3";"343";"0.87";"-38.669";"city";"5.021266e-10"
" 1";"285";"0.35";"-34.446";"beautiful";"4.381704e-09"
" 9";"385";"2.34";"-31.161";"concept";"2.374337e-08"
" 0";"218";"0.00";"-26.957";"sharp";"2.080000e-07"
" 0";"210";"0.00";"-25.813";"focus";"3.761223e-07"
" 0";"199";"0.00";"-24.262";"cinematic";"8.408199e-07"
" 0";"190";"0.00";"-23.012";"octane";"1.610326e-06"
" 1";"195";"0.51";"-21.241";"render";"4.050079e-06"
" 4";"241";"1.66";"-20.751";"illustration";"5.229217e-06"
" 4";"228";"1.75";"-18.979";"medieval";"1.321690e-05"
" 0";"153";"0.00";"-18.040";"engine";"2.163223e-05"
" 0";"153";"0.00";"-18.040";"unreal";"2.163223e-05"
"15";"359";"4.18";"-15.851";"greg";"6.851511e-05"
" 0";"135";"0.00";"-15.715";"street";"7.362918e-05"
" 0";"135";"0.00";"-15.715";"mucha";"7.362918e-05"
" 0";"134";"0.00";"-15.588";"town";"7.876087e-05"
" 0";"130";"0.00";"-15.080";"alphonse";"1.030531e-04"
" 1";"147";"0.68";"-14.901";"matte";"1.133197e-04"
" 0";"127";"0.00";"-14.701";"artgerm";"1.259866e-04"
" 4";"195";"2.05";"-14.662";"view";"1.286122e-04"
" 0";"126";"0.00";"-14.575";"sky";"1.346965e-04"
