detail;0;28;44;16;162;47;14;53;27;298
art;43;3;2;11;169;37;17;48;29;187
paint;6;2;36;12;166;46;27;44;32;201
artstation;59;19;13;0;152;46;39;107;2;190
light;22;7;47;22;39;0;15;103;20;173
highly;0;2;5;0;154;46;7;12;1;120
concept;43;9;0;4;159;37;9;36;1;87
city;25;3;1;7;55;1;16;9;24;202
greg;25;15;0;0;78;33;22;48;36;102
digital;12;2;0;1;145;37;12;39;0;99
rutkowski;5;15;0;0;84;2;22;48;36;92
trend;36;22;13;0;6;46;30;41;1;132
beautiful;61;1;0;18;27;10;28;23;7;110
cinematic;0;0;29;0;14;1;1;40;12;102
medieval;64;4;0;4;28;0;26;9;12;81
render;0;1;6;0;13;36;6;16;12;105
illustration;43;4;0;2;130;0;2;9;0;51
high;0;5;47;0;3;0;7;26;4;107
intricate;0;8;0;0;95;31;9;11;1;70
fantasy;0;20;0;0;28;0;0;6;12;124
octane;0;0;6;0;19;36;3;16;9;101
sharp;0;0;0;3;144;0;0;11;7;53
view;0;4;34;12;53;0;7;13;24;48
focus;0;0;0;0;144;0;0;11;0;55
color;38;14;18;1;55;0;10;16;0;46
realistic;0;15;1;0;6;0;16;7;0;115
street;0;0;24;6;9;0;23;11;11;51
town;0;0;0;0;20;33;17;7;16;41
matte;0;1;0;1;45;37;0;5;23;35
engine;0;0;0;0;6;36;15;6;12;78
unreal;0;0;0;0;6;36;15;6;12;78
volumetric;22;7;0;0;13;0;0;66;5;49
map;17;112;0;0;3;0;0;2;6;13
style;0;19;0;2;16;0;8;12;0;97
tower;0;0;21;0;3;0;0;46;4;43
sky;0;0;0;0;59;1;15;8;0;43
masterpiece;0;1;47;0;0;1;11;1;17;37
mucha;5;0;0;0;110;0;0;4;12;4
8k;0;1;2;0;1;0;0;58;3;53
village;37;0;0;10;4;11;9;6;5;29
artgerm;28;0;0;0;61;1;7;7;3;20
alphonse;5;0;0;0;106;0;0;4;12;3
mountain;1;5;0;0;1;0;14;5;2;44
river;0;0;0;0;45;0;17;11;4;30
hd;0;3;0;10;5;0;0;35;0;26
ultra;0;0;0;0;0;0;0;25;19;35
castle;1;0;0;0;10;0;9;3;2;76
hyper;0;14;0;0;2;0;5;6;0;71
atmosphere;51;0;0;0;2;0;0;15;0;23
elegant;0;0;0;0;95;0;0;2;0;16
cgsociety;0;15;0;0;0;0;0;68;0;20
bridge;43;0;0;11;11;0;4;0;0;12
smooth;0;0;0;4;79;1;0;5;0;19
hyperdetailed;0;1;0;0;0;0;0;58;13;13
landscape;16;0;0;6;2;0;0;0;0;71
james;13;0;19;0;0;0;31;3;2;36
oil;6;0;0;0;13;0;0;1;0;47
night;0;0;2;7;34;6;0;10;0;30
dramatic;0;0;0;0;0;0;0;36;7;24
rain;43;0;0;0;8;0;1;1;0;14
photorealistic;0;1;7;0;2;0;0;21;16;36
contrast;0;13;52;10;0;0;0;2;0;9
sunny;0;0;27;0;2;33;4;10;4;15
gothic;0;0;3;0;0;0;0;31;9;34
composition;0;1;45;0;4;0;0;4;0;27
ancient;0;6;26;3;23;1;0;4;1;28
background;17;3;0;6;5;0;13;7;0;29
small;2;0;0;4;2;2;21;11;4;26
full;0;4;31;0;36;0;0;0;0;11
dark;0;0;25;0;0;0;4;4;2;40
flower;58;0;0;0;0;0;0;2;1;5
stone;0;0;0;3;0;0;5;1;0;54
paris;4;0;0;0;38;0;0;13;0;17
photo;0;3;2;0;1;0;19;17;3;26
architecture;0;0;3;1;4;0;9;0;20;37
epic;0;0;0;1;3;0;0;3;1;42
building;0;1;0;0;2;6;4;6;0;49
shoot;15;0;0;0;16;7;0;2;7;20
wide;0;1;0;0;0;0;0;39;4;27
angle;0;0;0;0;0;0;0;44;0;13
vibrant;0;0;27;0;0;0;1;10;0;20
smoke;43;0;0;0;11;0;0;0;0;7
day;0;0;27;0;3;11;4;11;0;11
4k;0;3;0;0;19;0;0;4;0;41
thomas;5;0;0;2;16;0;1;0;6;18
world;0;51;3;0;1;0;0;3;0;5
water;2;0;0;4;0;0;0;13;0;17
studio;0;0;0;16;0;9;0;1;7;19
soft;0;0;0;22;2;0;7;0;2;25
blue;7;0;0;0;18;1;0;12;1;20
victorian;0;0;0;0;0;37;0;4;0;19
tree;0;0;0;0;2;2;15;7;0;26
person;4;1;0;0;6;0;11;2;1;24
magical;0;2;0;0;3;37;0;0;0;10
flood;0;0;50;0;0;0;0;1;2;5
house;0;0;0;0;3;1;27;4;0;23
gurney;0;0;0;0;0;0;31;3;2;23
ghibli;0;0;0;16;0;9;0;1;7;16
build;0;3;0;0;2;0;0;2;4;38
win;0;0;12;0;0;0;0;0;12;22
simonetti;33;0;0;0;0;0;0;3;10;11
ornate;51;1;0;2;0;0;0;0;0;4
marc;33;0;0;0;0;0;0;3;10;11
inspire;0;0;0;1;0;37;0;0;8;11
krenz;0;0;0;0;51;0;0;5;1;0
forest;43;1;0;0;1;0;4;1;0;6
cushart;0;0;0;0;51;0;0;5;1;0
shadow;0;0;28;10;1;0;0;0;0;7
red;28;0;0;2;14;0;0;0;0;7
award;0;0;12;0;0;0;0;0;12;21
vibe;51;0;0;0;0;0;0;0;0;4
tall;0;0;0;7;0;7;4;0;5;29
glass;36;0;0;0;1;0;0;7;0;10
european;0;4;0;13;7;1;7;1;5;14
center;3;0;0;0;0;1;7;0;5;9
summer;0;0;0;0;0;0;38;0;0;10
mist;43;0;0;0;0;0;0;0;0;8
great;0;0;43;0;0;0;0;0;0;10
wlop;22;0;0;0;7;0;0;10;0;13
surround;0;0;0;1;0;0;0;3;0;17
ray;0;0;0;0;8;0;3;0;0;38
jean;13;0;0;0;1;0;0;3;0;11
hyperrealistic;0;4;2;0;0;0;0;1;0;27
bright;0;1;0;0;12;0;0;0;0;26
amsterdam;0;0;0;0;1;38;0;0;0;9
valley;0;0;0;5;0;0;0;0;0;6
resolution;0;1;0;0;5;0;0;8;0;33
lush;42;0;0;1;2;0;0;0;0;2
demura;0;0;0;0;50;0;0;0;0;0
artem;0;0;0;0;50;0;0;0;0;0
magritte;0;0;47;0;0;0;0;0;0;2
green;36;0;0;0;0;0;0;8;0;5
chimney;43;0;0;0;0;0;0;0;0;6
ice;42;0;0;0;0;0;0;0;0;6
flag;0;3;0;2;30;0;0;0;0;6
eternal;0;0;0;0;0;0;0;0;0;5
eiffel;0;0;0;0;0;0;0;33;0;8
anime;0;0;1;18;2;0;1;0;7;16
white;4;3;1;0;15;0;0;0;1;20
wet;42;0;0;0;0;0;0;0;0;5
quality;0;5;0;0;7;0;0;4;0;20
large;1;2;0;0;5;0;12;1;0;24
colorful;2;2;22;0;1;1;0;0;0;16
waterfall;37;0;0;0;0;0;0;0;0;8
