a;23;61;32;30;116;47;53;45;44;292
of;22;107;31;33;112;21;39;62;50;347
by;29;30;75;31;168;40;35;80;42;251
and;18;29;23;29;147;37;32;68;28;184
the;27;70;2;15;93;3;20;74;23;267
in;36;34;6;15;67;3;38;28;15;224
on;62;20;13;4;51;46;51;49;3;197
with;8;19;1;8;65;10;33;25;6;115
k;17;7;4;0;15;36;1;57;16;105
8;0;2;0;0;12;36;2;54;14;78
from;0;8;0;4;63;0;0;18;2;53
at;2;11;3;12;44;2;4;21;3;43
very;13;1;23;15;2;4;9;1;3;34
4;17;7;4;0;8;1;0;6;3;47
an;1;9;1;0;7;0;7;6;19;58
old;0;10;2;0;3;0;32;0;0;28
to;4;5;14;0;9;0;0;0;2;25
5;0;4;0;0;5;0;0;6;4;50
0;0;11;1;0;1;0;0;1;4;27
d;0;1;0;0;22;0;0;5;1;14
for;0;5;14;4;40;0;0;2;0;8
1;0;4;0;0;3;0;1;0;4;21
2;0;10;0;0;5;0;0;1;0;16
3;0;5;0;0;5;0;0;7;6;16
is;3;3;0;0;0;0;0;3;0;29
s;0;12;1;0;4;0;0;1;0;18
over;0;2;0;5;1;0;0;0;0;25
9;0;0;1;0;3;0;0;0;3;5
under;0;0;0;0;7;0;0;5;0;1
well;35;0;0;0;0;0;0;0;0;0
up;3;1;0;0;0;0;7;3;1;10
make;0;7;0;0;3;0;0;1;0;17
are;4;0;0;0;4;0;0;1;3;13
no;0;1;0;0;7;0;1;4;0;7
above;2;0;0;0;10;0;0;0;4;12
6;0;0;0;0;3;0;0;0;0;6
all;0;4;14;0;2;0;0;1;1;7
during;0;0;0;5;7;4;0;2;5;4
next;0;0;0;0;1;0;0;0;0;7
looking;0;0;1;0;0;1;0;12;0;10
through;0;0;0;1;1;0;13;0;0;10
as;0;7;0;0;11;0;0;0;0;6
one;0;1;0;0;7;0;1;0;3;8
down;0;0;0;0;0;0;0;10;1;10
7;0;1;0;0;1;0;0;0;0;5
r;3;8;0;0;0;0;0;0;0;3
near;3;0;0;0;2;0;0;5;0;9
into;0;1;0;0;2;0;4;0;0;13
still;0;3;0;0;1;0;0;0;4;7
like;0;1;0;0;0;0;0;4;3;11
after;0;3;0;0;10;0;0;0;2;2
but;0;8;0;0;0;0;0;1;0;5
behind;0;0;0;0;9;0;0;1;0;3
many;0;0;0;0;0;0;0;2;0;13
best;0;0;14;0;0;0;0;0;0;2
new;0;7;0;0;1;0;0;0;1;6
that;0;2;0;0;0;0;0;1;1;10
out;0;5;0;0;1;0;0;0;0;6
few;3;1;0;1;0;4;1;0;0;4
being;0;0;0;0;2;0;0;1;1;10
it;0;3;0;0;0;0;2;1;0;7
or;0;4;0;0;2;0;0;1;0;4
his;4;2;1;0;1;0;0;0;0;1
each;0;8;0;0;0;0;0;0;0;3
where;0;4;0;0;0;0;0;0;0;6
around;0;0;0;0;2;1;0;0;0;5
alone;0;0;0;0;9;0;0;0;0;0
this;0;3;0;0;0;0;0;1;0;3
several;0;0;0;0;0;0;0;0;0;8
its;0;0;0;0;0;1;1;0;0;5
has;0;2;0;0;0;0;0;0;0;5
there;5;0;0;0;0;0;0;0;0;2
other;0;1;0;0;0;0;0;0;0;6
not;0;6;0;0;0;0;0;0;0;0
more;0;3;0;0;0;0;0;0;0;3
j;3;3;0;0;0;0;0;0;0;0
along;0;3;0;0;0;0;0;0;0;4
using;3;0;0;0;0;0;0;0;0;0
two;0;0;0;0;0;0;0;0;0;5
than;0;3;0;0;0;0;0;0;0;3
seen;0;0;0;0;3;0;0;0;0;3
below;0;0;0;0;0;0;0;0;0;6
any;0;3;0;0;0;0;0;0;0;3
while;0;0;0;0;0;0;0;0;0;5
way;0;0;0;0;2;0;0;0;0;2
they;3;0;0;0;0;0;0;0;0;2
really;0;0;0;0;0;0;0;0;0;5
outside;1;0;0;0;0;0;0;0;0;4
looks;0;0;0;0;0;0;0;0;0;5
between;0;0;0;0;0;0;0;3;0;2
towards;0;0;0;0;0;0;0;0;0;4
th;0;0;0;0;0;0;1;0;0;3
so;0;0;0;0;0;0;0;0;0;4
my;3;0;0;0;0;0;0;0;0;1
far;0;0;0;0;1;0;0;0;0;3
f;0;0;0;0;1;0;0;0;0;2
com;0;1;0;0;0;0;0;3;0;0
your;0;0;0;0;2;0;0;1;0;0
without;0;1;0;0;0;0;0;0;0;2
whole;0;1;0;0;2;0;0;0;0;0
v;0;0;0;0;0;0;3;0;0;0
their;0;2;0;0;0;0;0;0;0;1
somewhere;0;3;0;0;0;0;0;0;0;0
some;0;0;0;1;0;0;0;0;0;2
same;3;0;0;0;0;0;0;0;0;0
novel;0;0;0;0;0;0;0;0;0;3
most;0;0;0;0;0;0;0;0;0;3
m;0;0;0;0;1;0;0;0;1;1
here;0;1;0;0;0;0;0;0;0;2
her;0;0;0;0;3;0;0;0;0;0
h;0;0;0;0;0;0;0;0;0;3
every;0;3;0;0;0;0;0;0;0;0
containing;0;0;0;0;3;0;0;0;0;0
co;0;0;0;0;0;0;3;0;0;0
about;0;0;0;0;0;0;0;0;0;3
672;0;0;0;0;0;0;0;0;0;3
1680;0;0;0;0;0;0;0;0;0;3
