"";"V1"
"1";0
"2";2
"3";2
"4";5
"5";2
"6";2
"7";2
"8";10
"9";1
"10";2
"11";2
"12";2
"13";2
"14";0
"15";9
"16";9
"17";2
"18";5
"19";5
"20";5
"21";1
"22";2
"23";10
"24";5
"25";0
"26";10
"27";2
"28";2
"29";2
"30";0
"31";0
"32";8
"33";10
"34";10
"35";0
"36";2
"37";0
"38";8
"39";0
"40";1
"41";10
"42";4
"43";5
"44";10
"45";2
"46";10
"47";2
"48";0
"49";1
"50";2
"51";2
"52";2
"53";0
"54";7
"55";5
"56";2
"57";2
"58";5
"59";10
"60";1
"61";4
"62";9
"63";0
"64";10
"65";5
"66";1
"67";5
"68";0
"69";2
"70";0
"71";10
"72";3
"73";0
"74";0
"75";0
"76";0
"77";10
"78";2
"79";2
"80";0
"81";2
"82";2
"83";10
"84";5
"85";10
"86";3
"87";2
"88";0
"89";7
"90";5
"91";8
"92";0
"93";0
"94";10
"95";1
"96";5
"97";4
"98";2
"99";8
"100";5
"101";2
"102";10
"103";8
"104";5
"105";2
"106";10
"107";5
"108";10
"109";0
"110";0
"111";10
"112";5
"113";6
"114";1
"115";6
"116";4
"117";8
"118";10
"119";10
"120";2
"121";0
"122";2
"123";5
"124";5
"125";0
"126";4
"127";0
"128";7
"129";10
"130";5
"131";10
"132";1
"133";7
"134";7
"135";2
"136";10
"137";2
"138";0
"139";0
"140";8
"141";0
"142";9
"143";10
"144";2
"145";1
"146";10
"147";8
"148";5
"149";5
"150";0
"151";2
"152";10
"153";10
"154";10
"155";7
"156";5
"157";0
"158";10
"159";10
"160";8
"161";9
"162";1
"163";10
"164";0
"165";2
"166";10
"167";0
"168";2
"169";8
"170";1
"171";4
"172";0
"173";10
"174";5
"175";5
"176";7
"177";10
"178";10
"179";1
"180";9
"181";7
"182";0
"183";10
"184";5
"185";0
"186";0
"187";1
"188";2
"189";5
"190";10
"191";4
"192";9
"193";5
"194";1
"195";10
"196";1
"197";7
"198";10
"199";10
"200";0
"201";6
"202";10
"203";0
"204";8
"205";0
"206";8
"207";8
"208";10
"209";10
"210";8
"211";1
"212";0
"213";3
"214";4
"215";10
"216";8
"217";0
"218";0
"219";8
"220";6
"221";10
"222";8
"223";2
"224";1
"225";2
"226";0
"227";10
"228";1
"229";10
"230";7
"231";4
"232";2
"233";4
"234";2
"235";7
"236";4
"237";0
"238";2
"239";10
"240";0
"241";0
"242";0
"243";4
"244";4
"245";0
"246";10
"247";3
"248";0
"249";0
"250";3
"251";0
"252";0
"253";1
"254";10
"255";8
"256";10
"257";10
"258";2
"259";10
"260";3
"261";0
"262";10
"263";10
"264";0
"265";5
"266";1
"267";7
"268";0
"269";0
"270";0
"271";2
"272";4
"273";0
"274";10
"275";1
"276";5
"277";5
"278";8
"279";7
"280";5
"281";0
"282";7
"283";10
"284";1
"285";0
"286";2
"287";2
"288";7
"289";2
"290";10
"291";10
"292";10
"293";2
"294";10
"295";10
"296";1
"297";5
"298";6
"299";0
"300";7
"301";4
"302";9
"303";5
"304";8
"305";10
"306";5
"307";5
"308";5
"309";0
"310";8
"311";1
"312";0
"313";9
"314";4
"315";5
"316";3
"317";0
"318";0
"319";9
"320";5
"321";7
"322";8
"323";0
"324";0
"325";10
"326";1
"327";5
"328";7
"329";0
"330";4
"331";6
"332";10
"333";10
"334";10
"335";1
"336";7
"337";0
"338";2
"339";10
"340";7
"341";8
"342";0
"343";10
"344";5
"345";0
"346";5
"347";0
"348";10
"349";2
"350";5
"351";10
"352";7
"353";6
"354";5
"355";5
"356";10
"357";1
"358";3
"359";2
"360";2
"361";2
"362";8
"363";8
"364";5
"365";10
"366";10
"367";10
"368";2
"369";3
"370";10
"371";10
"372";10
"373";8
"374";0
"375";10
"376";5
"377";8
"378";10
"379";3
"380";1
"381";9
"382";0
"383";8
"384";10
"385";0
"386";5
"387";8
"388";10
"389";10
"390";2
"391";5
"392";2
"393";10
"394";4
"395";5
"396";8
"397";7
"398";0
"399";9
"400";0
"401";10
"402";10
"403";10
"404";1
"405";0
"406";3
"407";10
"408";0
"409";6
"410";10
"411";0
"412";10
"413";10
"414";5
"415";10
"416";10
"417";10
"418";2
"419";2
"420";2
"421";4
"422";0
"423";7
"424";0
"425";8
"426";10
"427";3
"428";0
"429";6
"430";10
"431";9
"432";7
"433";8
"434";3
"435";5
"436";0
"437";10
"438";0
"439";8
"440";10
"441";0
"442";0
"443";3
"444";10
"445";6
"446";9
"447";10
"448";10
"449";3
"450";6
"451";8
"452";7
"453";10
"454";1
"455";6
"456";6
"457";0
"458";5
"459";0
"460";5
"461";0
"462";10
"463";10
"464";10
"465";3
"466";7
"467";0
"468";0
"469";10
"470";10
"471";10
"472";1
"473";10
"474";2
"475";9
"476";8
"477";0
"478";3
"479";0
"480";10
"481";6
"482";2
"483";8
"484";0
"485";3
"486";6
"487";0
"488";5
"489";10
"490";0
"491";2
"492";5
"493";4
"494";8
"495";5
"496";5
"497";3
"498";3
"499";4
"500";1
"501";0
"502";10
"503";9
"504";8
"505";0
"506";10
"507";10
"508";0
"509";10
"510";7
"511";10
"512";10
"513";10
"514";0
"515";0
"516";5
"517";0
"518";5
"519";0
"520";3
"521";10
"522";7
"523";0
"524";0
"525";10
"526";6
"527";10
"528";0
"529";4
"530";7
"531";10
"532";5
"533";0
"534";10
"535";10
"536";10
"537";3
"538";1
"539";0
"540";5
"541";7
"542";4
"543";10
"544";10
"545";0
"546";0
"547";10
"548";0
"549";10
"550";0
"551";5
"552";4
"553";3
"554";5
"555";0
"556";0
"557";8
"558";3
"559";9
"560";6
"561";10
"562";5
"563";8
"564";10
"565";9
"566";4
"567";3
"568";10
"569";2
"570";9
"571";1
"572";10
"573";8
"574";4
"575";1
"576";10
"577";5
"578";1
"579";1
"580";8
"581";8
"582";10
"583";0
"584";9
"585";5
"586";10
"587";6
"588";9
"589";10
"590";5
"591";5
"592";2
"593";10
"594";0
"595";5
"596";0
"597";0
"598";5
"599";7
"600";10
"601";3
"602";0
"603";10
"604";0
"605";0
"606";10
"607";10
"608";2
"609";8
"610";0
"611";10
"612";0
"613";4
"614";9
"615";8
"616";10
"617";8
"618";10
"619";0
"620";10
"621";1
"622";5
"623";8
"624";6
"625";0
"626";0
"627";9
"628";2
"629";8
"630";10
"631";10
"632";10
"633";1
"634";10
"635";5
"636";2
"637";10
"638";10
"639";2
"640";0
"641";10
"642";0
"643";0
"644";7
"645";7
"646";10
"647";8
"648";0
"649";10
"650";7
"651";10
"652";3
"653";10
"654";0
"655";5
"656";2
"657";0
"658";10
"659";10
"660";5
"661";10
"662";10
"663";0
"664";7
"665";0
"666";10
"667";10
"668";8
"669";0
"670";7
"671";0
"672";3
"673";5
"674";9
"675";1
"676";0
"677";5
"678";0
"679";8
"680";2
"681";10
"682";1
"683";10
"684";10
"685";0
"686";0
"687";10
"688";0
"689";7
"690";10
"691";2
"692";10
"693";8
"694";10
"695";10
"696";8
"697";10
"698";0
"699";0
"700";10
"701";0
"702";10
"703";0
"704";10
"705";5
"706";10
"707";5
"708";0
"709";10
"710";1
"711";5
"712";2
"713";3
"714";8
"715";0
"716";0
"717";10
"718";10
"719";0
"720";5
"721";9
"722";10
"723";5
"724";10
"725";3
"726";0
"727";10
"728";5
"729";10
"730";8
"731";10
"732";2
"733";10
"734";8
"735";2
"736";5
"737";2
"738";10
"739";1
"740";5
"741";0
"742";7
"743";10
"744";10
"745";8
"746";10
"747";5
"748";10
"749";2
"750";10
"751";9
"752";0
"753";3
"754";10
"755";9
"756";0
"757";0
"758";7
"759";5
"760";10
"761";1
"762";10
"763";10
"764";0
"765";10
"766";3
"767";8
"768";0
"769";8
"770";8
"771";0
"772";9
"773";0
"774";5
"775";8
"776";10
"777";0
"778";5
"779";10
"780";8
"781";9
"782";8
"783";8
"784";5
"785";10
"786";10
"787";2
"788";8
"789";4
"790";3
"791";0
"792";5
"793";5
"794";10
"795";10
"796";2
"797";8
"798";10
"799";2
"800";8
"801";10
"802";10
"803";10
"804";5
"805";9
"806";0
"807";10
"808";5
"809";0
"810";5
"811";4
"812";10
"813";0
"814";0
"815";0
"816";7
"817";8
"818";10
"819";5
"820";10
"821";7
"822";10
"823";7
"824";0
"825";10
"826";10
"827";0
"828";5
"829";5
"830";1
"831";5
"832";2
"833";2
"834";3
"835";8
"836";10
"837";0
"838";0
"839";5
"840";5
"841";10
"842";5
"843";10
"844";1
"845";6
"846";5
"847";2
"848";2
"849";4
"850";4
"851";0
"852";8
"853";6
"854";9
"855";1
"856";5
"857";0
"858";5
"859";10
"860";4
"861";0
"862";10
"863";10
"864";10
"865";10
"866";0
"867";10
"868";5
"869";10
"870";6
"871";0
"872";10
"873";0
"874";5
"875";0
"876";9
"877";2
"878";10
"879";2
"880";10
"881";1
"882";8
"883";5
"884";2
"885";1
"886";0
"887";9
"888";5
"889";5
"890";10
"891";1
"892";10
"893";4
"894";8
"895";0
"896";10
"897";10
"898";5
"899";10
"900";8
"901";0
"902";2
"903";8
"904";10
"905";0
"906";9
"907";8
"908";8
"909";9
"910";10
"911";3
"912";10
"913";0
"914";0
"915";0
"916";10
"917";10
"918";10
"919";7
"920";7
"921";8
"922";3
"923";10
"924";0
"925";2
"926";5
"927";4
"928";10
"929";2
"930";8
"931";0
"932";5
"933";10
"934";3
"935";0
"936";4
"937";10
"938";10
"939";5
"940";5
"941";10
"942";10
"943";0
"944";10
"945";5
"946";4
"947";5
"948";10
"949";10
"950";10
"951";5
"952";3
"953";3
"954";2
"955";0
"956";10
"957";3
"958";10
"959";8
"960";0
"961";0
"962";0
"963";0
"964";10
"965";10
"966";6
"967";10
"968";4
"969";10
"970";0
"971";8
"972";0
"973";4
"974";10
"975";9
"976";10
"977";0
"978";0
"979";0
"980";9
"981";9
"982";10
"983";0
"984";8
"985";1
"986";7
"987";4
"988";2
"989";0
"990";0
"991";0
"992";0
"993";3
"994";10
"995";10
"996";1
"997";10
"998";6
"999";1
"1000";10
"1001";2
"1002";5
"1003";5
"1004";10
"1005";0
"1006";2
"1007";10
"1008";0
"1009";0
"1010";0
"1011";8
"1012";1
"1013";0
"1014";9
"1015";0
"1016";10
"1017";8
"1018";10
"1019";5
"1020";2
"1021";4
"1022";4
"1023";8
"1024";0
"1025";0
"1026";0
"1027";10
"1028";5
"1029";2
"1030";2
"1031";10
"1032";10
"1033";5
"1034";0
"1035";10
"1036";5
"1037";10
"1038";10
"1039";0
"1040";7
"1041";6
"1042";6
"1043";0
"1044";1
"1045";2
"1046";2
"1047";9
"1048";0
"1049";0
"1050";10
"1051";2
"1052";8
"1053";5
"1054";2
"1055";0
"1056";10
"1057";5
"1058";5
"1059";10
"1060";3
"1061";0
"1062";10
"1063";10
"1064";10
"1065";0
"1066";4
"1067";3
"1068";10
"1069";10
"1070";0
"1071";4
"1072";9
"1073";8
"1074";0
"1075";7
"1076";7
"1077";10
"1078";0
"1079";10
"1080";10
"1081";7
"1082";10
"1083";10
"1084";10
"1085";1
"1086";0
"1087";3
"1088";0
"1089";0
"1090";10
"1091";5
"1092";8
"1093";10
"1094";10
"1095";7
"1096";10
"1097";10
"1098";0
"1099";0
"1100";10
"1101";5
"1102";0
"1103";5
"1104";0
"1105";10
"1106";2
"1107";1
"1108";0
"1109";10
"1110";8
"1111";10
"1112";8
"1113";1
"1114";10
"1115";10
"1116";10
"1117";10
"1118";8
"1119";0
"1120";1
"1121";0
"1122";10
"1123";5
"1124";0
"1125";10
"1126";10
"1127";10
"1128";10
"1129";10
"1130";5
"1131";7
"1132";5
"1133";10
"1134";0
"1135";10
"1136";10
"1137";3
"1138";6
"1139";10
"1140";4
"1141";7
"1142";9
"1143";9
"1144";6
"1145";0
"1146";10
"1147";10
"1148";10
"1149";8
"1150";2
"1151";5
"1152";10
"1153";3
"1154";5
"1155";10
"1156";10
"1157";8
"1158";8
"1159";10
"1160";0
"1161";0
"1162";0
"1163";1
"1164";10
"1165";7
"1166";7
"1167";0
"1168";10
"1169";2
"1170";10
"1171";1
"1172";10
"1173";8
"1174";10
"1175";1
"1176";5
"1177";10
"1178";0
"1179";5
"1180";10
"1181";5
"1182";0
"1183";5
"1184";8
"1185";5
"1186";4
"1187";0
"1188";7
"1189";10
"1190";7
"1191";0
"1192";6
"1193";10
"1194";6
"1195";10
"1196";3
"1197";8
"1198";8
"1199";10
"1200";10
"1201";0
"1202";0
"1203";10
"1204";8
"1205";5
"1206";0
"1207";10
"1208";8
"1209";0
"1210";0
"1211";0
"1212";5
"1213";10
"1214";8
"1215";10
"1216";5
"1217";10
"1218";10
"1219";2
"1220";8
"1221";0
"1222";3
"1223";0
"1224";5
"1225";8
"1226";5
"1227";10
"1228";10
"1229";10
"1230";10
"1231";10
"1232";10
"1233";2
"1234";6
"1235";7
"1236";0
"1237";10
"1238";0
"1239";10
"1240";10
"1241";7
"1242";6
"1243";10
"1244";3
"1245";3
"1246";5
"1247";2
"1248";5
"1249";5
"1250";0
"1251";10
"1252";7
"1253";0
"1254";8
"1255";10
"1256";3
"1257";0
"1258";10
"1259";0
"1260";10
"1261";1
"1262";10
"1263";5
"1264";8
"1265";10
"1266";8
"1267";10
"1268";5
"1269";9
"1270";2
"1271";0
"1272";1
"1273";5
"1274";10
"1275";10
"1276";0
"1277";10
"1278";5
"1279";0
"1280";10
"1281";10
"1282";5
"1283";2
"1284";10
"1285";10
"1286";2
"1287";9
"1288";10
"1289";3
"1290";10
"1291";10
"1292";0
"1293";3
"1294";10
"1295";0
"1296";0
"1297";9
"1298";0
"1299";3
"1300";0
"1301";10
"1302";6
"1303";10
"1304";8
"1305";0
"1306";10
"1307";4
"1308";10
"1309";5
"1310";0
"1311";0
"1312";8
"1313";2
"1314";10
"1315";10
"1316";2
"1317";0
"1318";0
"1319";10
"1320";9
"1321";4
"1322";0
"1323";10
"1324";0
"1325";10
"1326";0
"1327";0
"1328";5
"1329";10
"1330";0
"1331";10
"1332";5
"1333";9
"1334";5
"1335";8
"1336";6
"1337";0
"1338";10
"1339";4
"1340";0
"1341";5
"1342";10
"1343";5
"1344";10
"1345";10
"1346";0
"1347";6
"1348";10
"1349";10
"1350";10
"1351";2
"1352";5
"1353";0
"1354";10
"1355";8
"1356";3
"1357";2
"1358";0
"1359";4
"1360";10
"1361";8
"1362";10
"1363";0
"1364";8
"1365";0
"1366";3
"1367";0
"1368";0
"1369";0
"1370";5
"1371";10
"1372";10
"1373";5
"1374";3
"1375";10
"1376";0
"1377";5
"1378";2
"1379";0
"1380";0
"1381";2
"1382";8
"1383";8
"1384";2
"1385";10
"1386";5
"1387";5
"1388";10
"1389";0
"1390";10
"1391";6
"1392";0
"1393";0
"1394";3
"1395";10
"1396";10
"1397";2
"1398";2
"1399";6
"1400";3
"1401";5
"1402";10
"1403";10
"1404";5
"1405";2
"1406";0
"1407";10
"1408";8
"1409";2
"1410";0
"1411";5
"1412";10
"1413";10
"1414";10
"1415";5
"1416";0
"1417";10
"1418";6
"1419";0
"1420";10
"1421";10
"1422";3
"1423";10
"1424";10
"1425";8
"1426";9
"1427";9
"1428";10
"1429";10
"1430";10
"1431";10
"1432";10
"1433";10
"1434";7
"1435";10
"1436";10
"1437";8
"1438";0
"1439";3
"1440";10
"1441";10
"1442";0
"1443";6
"1444";6
