"";"X";"V1"
"1";1;3
"2";2;8
"3";3;1
"4";4;4
"5";5;0
"6";6;1
"7";7;5
"8";8;4
"9";9;0
"10";10;12
"11";11;8
"12";12;14
"13";13;7
"14";14;12
"15";15;3
"16";16;14
"17";17;3
"18";18;14
"19";19;11
"20";20;14
"21";21;1
"22";22;1
"23";23;11
"24";24;14
"25";25;3
"26";26;0
"27";27;0
"28";28;14
"29";29;9
"30";30;4
"31";31;0
"32";32;11
"33";33;11
"34";34;10
"35";35;0
"36";36;2
"37";37;6
"38";38;4
"39";39;3
"40";40;2
"41";41;13
"42";42;10
"43";43;10
"44";44;13
"45";45;1
"46";46;1
"47";47;4
"48";48;0
"49";49;3
"50";50;1
"51";51;14
"52";52;1
"53";53;1
"54";54;14
"55";55;0
"56";56;7
"57";57;11
"58";58;0
"59";59;1
"60";60;11
"61";61;8
"62";62;10
"63";63;14
"64";64;3
"65";65;4
"66";66;0
"67";67;13
"68";68;0
"69";69;4
"70";70;7
"71";71;14
"72";72;3
"73";73;10
"74";74;8
"75";75;5
"76";76;11
"77";77;12
"78";78;12
"79";79;8
"80";80;10
"81";81;14
"82";82;2
"83";83;0
"84";84;10
"85";85;11
"86";86;10
"87";87;2
"88";88;0
"89";89;0
"90";90;1
"91";91;5
"92";92;3
"93";93;8
"94";94;3
"95";95;14
"96";96;1
"97";97;0
"98";98;11
"99";99;10
"100";100;14
"101";101;2
"102";102;3
"103";103;14
"104";104;11
"105";105;8
"106";106;0
"107";107;11
"108";108;7
"109";109;3
"110";110;13
"111";111;3
"112";112;14
"113";113;14
"114";114;14
"115";115;0
"116";116;14
"117";117;7
"118";118;3
"119";119;2
"120";120;10
"121";121;14
"122";122;8
"123";123;10
"124";124;3
"125";125;8
"126";126;11
"127";127;10
"128";128;3
"129";129;11
"130";130;3
"131";131;3
"132";132;1
"133";133;10
"134";134;0
"135";135;8
"136";136;10
"137";137;0
"138";138;0
"139";139;14
"140";140;10
"141";141;0
"142";142;11
"143";143;7
"144";144;8
"145";145;10
"146";146;14
"147";147;14
"148";148;14
"149";149;12
"150";150;12
"151";151;0
"152";152;1
"153";153;4
"154";154;10
"155";155;3
"156";156;10
"157";157;11
"158";158;9
"159";159;0
"160";160;7
"161";161;2
"162";162;10
"163";163;14
"164";164;10
"165";165;3
"166";166;0
"167";167;10
"168";168;14
"169";169;8
"170";170;3
"171";171;0
"172";172;6
"173";173;14
"174";174;14
"175";175;11
"176";176;12
"177";177;11
"178";178;1
"179";179;10
"180";180;0
"181";181;12
"182";182;0
"183";183;2
"184";184;8
"185";185;11
"186";186;6
"187";187;14
"188";188;1
"189";189;10
"190";190;14
"191";191;8
"192";192;11
"193";193;0
"194";194;3
"195";195;8
"196";196;1
"197";197;14
"198";198;8
"199";199;13
"200";200;14
"201";201;0
"202";202;0
"203";203;6
"204";204;11
"205";205;4
"206";206;13
"207";207;7
"208";208;0
"209";209;6
"210";210;3
"211";211;14
"212";212;2
"213";213;10
"214";214;6
"215";215;9
"216";216;1
"217";217;10
"218";218;0
"219";219;0
"220";220;0
"221";221;0
"222";222;12
"223";223;0
"224";224;3
"225";225;3
"226";226;2
"227";227;10
"228";228;0
"229";229;14
"230";230;10
"231";231;7
"232";232;11
"233";233;14
"234";234;14
"235";235;11
"236";236;0
"237";237;8
"238";238;14
"239";239;13
"240";240;0
"241";241;7
"242";242;11
"243";243;8
"244";244;5
"245";245;10
"246";246;8
"247";247;7
"248";248;13
"249";249;1
"250";250;8
"251";251;14
"252";252;0
"253";253;14
"254";254;12
"255";255;0
"256";256;7
"257";257;11
"258";258;13
"259";259;0
"260";260;10
"261";261;5
"262";262;3
"263";263;3
"264";264;10
"265";265;10
"266";266;0
"267";267;10
"268";268;8
"269";269;14
"270";270;8
"271";271;10
"272";272;14
"273";273;14
"274";274;8
"275";275;11
"276";276;7
"277";277;0
"278";278;10
"279";279;8
"280";280;3
"281";281;7
"282";282;11
"283";283;3
"284";284;8
"285";285;14
"286";286;11
"287";287;4
"288";288;10
"289";289;0
"290";290;0
"291";291;8
"292";292;0
"293";293;0
"294";294;1
"295";295;10
"296";296;5
"297";297;9
"298";298;3
"299";299;2
"300";300;3
"301";301;14
"302";302;1
"303";303;0
"304";304;0
"305";305;1
"306";306;3
"307";307;14
"308";308;0
"309";309;14
"310";310;2
"311";311;12
"312";312;12
"313";313;3
"314";314;10
"315";315;0
"316";316;11
"317";317;0
"318";318;10
"319";319;3
"320";320;2
"321";321;14
"322";322;9
"323";323;11
"324";324;9
"325";325;0
"326";326;8
"327";327;8
"328";328;7
"329";329;1
"330";330;0
"331";331;14
"332";332;12
"333";333;12
"334";334;13
"335";335;12
"336";336;10
"337";337;0
"338";338;11
"339";339;8
"340";340;11
"341";341;0
"342";342;12
"343";343;0
"344";344;0
"345";345;10
"346";346;9
"347";347;7
"348";348;7
"349";349;2
"350";350;8
"351";351;12
"352";352;0
"353";353;0
"354";354;5
"355";355;11
"356";356;0
"357";357;10
"358";358;2
"359";359;1
"360";360;0
"361";361;9
"362";362;3
"363";363;10
"364";364;11
"365";365;0
"366";366;0
"367";367;5
"368";368;11
"369";369;13
"370";370;0
"371";371;14
"372";372;5
"373";373;9
"374";374;1
