"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"2";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;64;64;64;64;64;64;64;64
"3";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"4";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"5";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;71;71;71;71;71
"6";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"7";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
"8";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"9";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;66;66;66;66;66;66;66
"10";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;68;68;68;68;76;76
"11";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;64;64;64;64;64;64;64;64
"12";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"13";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;55;55;55;55;55;55;55;55;55;55;55;55;55
"14";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;68;68;68;68;76;76
"15";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"16";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"17";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"18";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"19";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;75;75;75
"20";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"21";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"22";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"23";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;75;75;75
"24";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"25";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"26";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"27";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
"28";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;79
"29";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;69;69;69;69;69;69
"30";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"31";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
"32";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;75;75;75
"33";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;75;75;75
"34";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"35";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;62;62;62;62;62;62;62;62;62
"36";2;5;6;8;10;13;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"37";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;52;52;52;52;52;52;52;52;52;52;52;52;52;52
"38";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"39";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"40";2;5;6;8;10;13;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"41";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;68;68;68;68;77;77
"42";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"43";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;70;73;74;74;74
"44";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;32;35;37;38;40;43;45;46;48;51;53;54;54;54;54;54;54;67;68;68;68;68;77;77
"45";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"46";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"47";2;5;6;8;10;13;14;16;18;21;23;25;26;28;30;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"48";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;56;59;61;63;65;65;65;71;71;71;71;71
"49";2;5;6;8;10;13;14;16;18;21;23;25;26;28;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
