"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"14";"***";"";""
"**";"classe";"1";"**";"";""
"****";"117";"1585";"7.38";"****";""
"80";"101";" 79.21";"814.009";"poster";"4.855439e-179"
"74";" 91";" 81.32";"771.952";"propaganda";"6.767464e-170"
"51";" 55";" 92.73";"607.029";"soviet";"4.955112e-134"
"20";" 21";" 95.24";"240.273";"alexander";" 3.428920e-54"
"17";" 17";"100.00";"215.612";"zelensky";" 8.196468e-49"
"17";" 17";"100.00";"215.612";"pustoviyt";" 8.196468e-49"
"17";" 17";"100.00";"215.612";"havrylo";" 8.196468e-49"
"17";" 17";"100.00";"215.612";"deni";" 8.196468e-49"
"21";" 27";" 77.78";"199.099";"socialist";" 3.284375e-45"
"17";" 20";" 85.00";"178.492";"viktor";" 1.034180e-40"
"21";" 30";" 70.00";"175.376";"realism";" 4.956550e-40"
"25";" 43";" 58.14";"166.558";"union";" 4.177618e-38"
"28";" 57";" 49.12";"150.680";"european";" 1.231285e-34"
" 9";"  9";"100.00";"113.568";"seethe";" 1.620330e-26"
" 9";" 10";" 90.00";"100.473";"era";" 1.200440e-23"
" 9";" 10";" 90.00";"100.473";"chan";" 1.200440e-23"
"14";" 23";" 60.87";" 97.664";"russian";" 4.958298e-23"
" 6";"  6";"100.00";" 75.568";"universalis";" 3.530166e-18"
" 6";"  6";"100.00";" 75.568";"europa";" 3.530166e-18"
" 6";"  6";"100.00";" 75.568";"baltics";" 3.530166e-18"
" 7";"  9";" 77.78";" 65.608";"unite";" 5.500545e-16"
" 7";"  9";" 77.78";" 65.608";"computer";" 5.500545e-16"
" 5";"  5";"100.00";" 62.934";"iv";" 2.137969e-15"
" 5";"  5";"100.00";" 62.934";"ultrarrealistic";" 2.137969e-15"
" 5";"  5";"100.00";" 62.934";"norway";" 2.137969e-15"
" 5";"  5";"100.00";" 62.934";"cold";" 2.137969e-15"
" 5";"  5";"100.00";" 62.934";"alert";" 2.137969e-15"
" 5";"  6";" 83.33";" 50.818";"put";" 1.013302e-12"
" 5";"  6";" 83.33";" 50.818";"clown";" 1.013302e-12"
" 4";"  4";"100.00";" 50.315";"shrimp";" 1.309440e-12"
" 4";"  4";"100.00";" 50.315";"danish";" 1.309440e-12"
" 4";"  4";"100.00";" 50.315";"combine";" 1.309440e-12"
" 4";"  5";" 80.00";" 38.688";"yell";" 4.971516e-10"
" 3";"  3";"100.00";" 37.712";"average";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"pro";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"phrase";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"opossum";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"monstrous";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"male";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"iphone";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"developer";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"box";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"avoid";" 8.198153e-10"
" 3";"  3";"100.00";" 37.712";"ak";" 8.198153e-10"
" 9";" 23";" 39.13";" 34.409";"man";" 4.465915e-09"
" 3";"  4";" 75.00";" 26.818";"baltic";" 2.235021e-07"
" 3";"  4";" 75.00";" 26.818";"covid";" 2.235021e-07"
" 3";"  4";" 75.00";" 26.818";"angry";" 2.235021e-07"
" 6";" 14";" 42.86";" 26.001";"kingdom";" 3.413120e-07"
" 3";"  5";" 60.00";" 20.312";"fascist";" 6.577113e-06"
" 3";"  5";" 60.00";" 20.312";"defeat";" 6.577113e-06"
" 2";"  3";" 66.67";" 15.452";"news";" 8.463520e-05"
" 2";"  3";" 66.67";" 15.452";"usa";" 8.463520e-05"
" 2";"  3";" 66.67";" 15.452";"grass";" 8.463520e-05"
" 2";"  3";" 66.67";" 15.452";"alex";" 8.463520e-05"
" 5";" 16";" 31.25";" 13.468";"texture";" 2.426161e-04"
" 3";"  8";" 37.50";" 10.668";"fight";" 1.089876e-03"
" 3";"  8";" 37.50";" 10.668";"text";" 1.089876e-03"
" 2";"  4";" 50.00";" 10.654";"symbolism";" 1.098572e-03"
" 2";"  4";" 50.00";" 10.654";"turkey";" 1.098572e-03"
" 2";"  4";" 50.00";" 10.654";"scary";" 1.098572e-03"
