"";"";"";"";"widescreen";""
"1";"widescreen";"-0.187597806830383";"-0.0469620087715829";"2.81348915497722";"4"
"2";"amsterdam";"-0.424997894260997";"-0.0909088051452064";"2.75450827482372";"5"
"3";"dawn";"-0.189525827972147";"-0.0473303246895916";"2.65687702854657";"9"
"4";"rutkwowski";"-0.435380411134964";"-0.102950208799608";"2.5512843512193";"11"
"5";"magical";"-0.404406674651706";"0.197331301386064";"2.45624984410186";"17"
"6";"carl";"-1.84253601345923";"-2.10678177207758";"2.36057877370774";"19"
"7";"puddle";"3.47947446430363";"-0.43143910321072";"2.33490332319954";"23"
"8";"mullins";"-0.410224076970877";"-0.0860297137307399";"2.32402028621402";"24"
"9";"craig";"-0.410224076970877";"-0.0860297137307399";"2.32402028621402";"25"
"10";"aerial";"-0.35520951542145";"0.0406928776734064";"2.32174402373842";"26"
"11";"inspire";"-0.410110197495503";"-0.0639658733427551";"2.29847434340693";"27"
"12";"snow";"3.39741001265446";"-0.42758631842732";"2.29742730656907";"28"
"13";"pristine";"3.30799326844198";"-0.417913762680841";"2.26158220895439";"29"
"14";"victorian";"-0.39187512866525";"-0.0808773812003728";"2.21664742675781";"32"
"15";"heavy";"-0.215717175915205";"-0.0394464999895824";"2.17137021741928";"35"
"16";"ice";"3.16177143619771";"-0.389091157256579";"2.1569970576409";"37"
"17";"wet";"3.15317738570626";"-0.403602662477346";"2.1569970576409";"38"
"18";"summer";"-0.222229710231215";"-0.0828071427115353";"2.12481768648161";"39"
"19";"demura";"-0.181899534320991";"-0.0871346353759694";"2.05258750998995";"42"
"20";"stain";"3.36441751563572";"-0.422233489444278";"2.0344147259635";"44"
"21";"surround";"-0.216956110387009";"-0.0237962127883017";"2.01426201064198";"46"
"22";"stalenhag";"-1.74910668703008";"-1.97373009527262";"1.99946740207352";"47"
"23";"riabovitchev";"3.2619035137467";"-0.409601048660755";"1.96212528323574";"49"
"24";"elegant";"-0.184321081891033";"-0.0274280249269349";"1.96207040709119";"51"
"25";"mucha";"-0.0433136520340722";"-0.0379268596235025";"1.95120273542614";"52"
"26";"soldier";"-0.137007774592272";"0.11845674795858";"1.94303277502676";"55"
"27";"krenz";"-0.192256109862708";"-0.0878904846781715";"1.92404782406109";"56"
"28";"cushart";"-0.192256109862708";"-0.0878904846781715";"1.92404782406109";"57"
"29";"cgsociety";"-0.270357250821271";"-0.0851277419655156";"1.88763859968052";"59"
"30";"waterfall";"2.89233690272188";"-0.362072051662048";"1.88407823542265";"60"
"31";"center";"-0.000433831226443414";"-0.0679684417960123";"1.8721569417824";"61"
"32";"symmetry";"-1.85984344848716";"-2.13075043259509";"1.86842097386199";"62"
"33";"focus";"-0.211201331862665";"-0.0229704841114977";"1.83839274756874";"63"
"34";"orange";"3.56655000488029";"-0.444653465898769";"1.77521054978913";"66"
"35";"super";"-0.198775763573642";"0.11270458239529";"1.76383801759429";"69"
"36";"sharp";"-0.218768674132497";"-0.0224648827758865";"1.74622716528795";"70"
"37";"tattoo";"-0.181899534320991";"-0.0871346353759694";"1.74252192800848";"71"
"38";"photography";"-0.376028300598868";"0.023385845257965";"1.74013152315225";"72"
"39";"stanley";"3.31474669273754";"-0.419935810944422";"1.73739210601672";"75"
"40";"lau";"3.31474669273754";"-0.419935810944422";"1.73739210601672";"76"
"41";"skull";"-0.1397954244165";"0.125169149318031";"1.73381198634682";"77"
"42";"masculine";"-0.116896198724702";"0.169436766460769";"1.69733691059279";"79"
"43";"coherent";"-1.85012332005703";"-2.11091489266994";"1.6662594524159";"80"
"44";"glass";"2.34032704984024";"-0.320776927550232";"1.64739522896822";"82"
"45";"tranding";"3.56655000488029";"-0.44465346589877";"1.62758274574286";"83"
"46";"watercolor";"-0.387675111872581";"-0.310040411381227";"1.6263557151509";"84"
"47";"particle";"3.56655000488029";"-0.44465346589877";"1.59080475367096";"85"
"48";"frazetta";"3.40465590408872";"-0.424903860962583";"1.58916285942627";"86"
"49";"zdzis";"-0.321020021046997";"0.100852190428788";"1.57425191343139";"87"
"50";"aw";"-0.321020021046997";"0.100852190428788";"1.57425191343139";"88"
"51";"illustration";"0.54030311923787";"0.0290183596836012";"1.57155859225728";"89"
"52";"hyperdetailed";"-0.288264451108283";"-0.0660397481427757";"1.56319546782911";"90"
"53";"sunbeam";"3.40269929594143";"-0.423139105151216";"1.55245949891096";"91"
"54";"figure";"-0.141060982115768";"0.140496661887816";"1.55203366002931";"92"
"55";"symbol";"-0.116896198724702";"0.169436766460769";"1.53216849570519";"93"
"56";"neo";"-0.261775792532708";"-0.122953896461956";"1.53051343118581";"94"
"57";"carcassonne";"3.39616593491659";"-0.428402609965915";"1.51581540463175";"95"
"58";"mountain";"-0.204521669998433";"0.339299966236266";"1.51348646105739";"96"
"59";"lense";"-0.37813011996044";"0.0501579778367928";"1.51245259449423";"98"
"60";"hard";"-1.83904440356814";"-2.09674180479026";"1.50566331789152";"99"
"61";"moody";"-0.309119649013636";"0.095784654515407";"1.49279595951936";"100"
"62";"belgium";"-0.0342920385931461";"0.203305104163126";"1.49125503738063";"101"
"63";"mead";"-1.61627913982766";"-1.80374604121738";"1.49035945870171";"102"
"64";"smooth";"-0.202933810433173";"-0.0267390793696164";"1.48918949930008";"103"
"65";"film";"-0.334839495205199";"0.0869924756020227";"1.48336823788709";"104"
"66";"rutowski";"3.38024199127552";"-0.42764733218082";"1.47923057658864";"106"
"67";"lively";"-0.440781895082631";"-0.102197468084713";"1.47645823376639";"107"
