"";"";"";"";"towards";""
"1";"towards";"-0.264773780492604";"0.1367784923754";"0.916104346014092";"44"
"2";"down";"-0.271288678790372";"-0.0410512355519832";"0.909958454345363";"45"
"3";"behind";"-0.177512664688912";"0.0274040113435844";"0.90880950210333";"46"
"4";"1680";"-0.318908414117365";"0.0293370525697007";"0.893093783780264";"52"
"5";"her";"-0.181899534320991";"-0.0871346353759734";"0.887624083455973";"58"
"6";"containing";"-0.181899534320991";"-0.0871346353759734";"0.887624083455973";"60"
"7";"672";"-0.264773780492604";"0.1367784923754";"0.88508836591433";"61"
"8";"next";"-0.215191074859141";"0.0546633132312146";"0.88326608754542";"64"
"9";"below";"-0.331604283637766";"-0.0630479707396545";"0.880340700415457";"65"
"10";"many";"-0.239080734059618";"0.013246684186789";"0.871876847739734";"68"
"11";"its";"-0.282451745820064";"-0.0612456621750896";"0.871467121628485";"69"
"12";"into";"-0.264724291522026";"0.343063266359836";"0.85446492062045";"76"
"13";"looks";"-0.263471532647639";"0.112272899769994";"0.84136514593074";"83"
"14";"during";"-0.301699219751565";"-0.074119903263194";"0.83548285427764";"90"
"15";"over";"-0.271539138232982";"0.444638547046462";"0.826996079861428";"100"
"16";"around";"-0.267132360393828";"-0.0415828130053011";"0.811323339801779";"108"
