"";"X";"V1"
"1";1;0
"2";2;19
"3";3;19
"4";4;18
"5";5;19
"6";6;19
"7";7;19
"8";8;0
"9";9;1
"10";10;19
"11";11;19
"12";12;19
"13";13;19
"14";14;0
"15";15;7
"16";16;7
"17";17;19
"18";18;0
"19";19;18
"20";20;13
"21";21;1
"22";22;19
"23";23;0
"24";24;0
"25";25;0
"26";26;0
"27";27;19
"28";28;19
"29";29;19
"30";30;5
"31";31;0
"32";32;16
"33";33;12
"34";34;11
"35";35;0
"36";36;19
"37";37;0
"38";38;17
"39";39;0
"40";40;1
"41";41;11
"42";42;3
"43";43;13
"44";44;8
"45";45;19
"46";46;9
"47";47;19
"48";48;0
"49";49;1
"50";50;19
"51";51;19
"52";52;19
"53";53;0
"54";54;6
"55";55;13
"56";56;19
"57";57;19
"58";58;13
"59";59;8
"60";60;1
"61";61;3
"62";62;7
"63";63;0
"64";64;12
"65";65;0
"66";66;1
"67";67;18
"68";68;0
"69";69;19
"70";70;0
"71";71;11
"72";72;2
"73";73;0
"74";74;5
"75";75;0
"76";76;0
"77";77;12
"78";78;19
"79";79;19
"80";80;0
"81";81;19
"82";82;19
"83";83;14
"84";84;13
"85";85;12
"86";86;2
"87";87;19
"88";88;0
"89";89;6
"90";90;18
"91";91;16
"92";92;0
"93";93;0
"94";94;14
"95";95;1
"96";96;18
"97";97;3
"98";98;19
"99";99;16
"100";100;13
"101";101;19
"102";102;8
"103";103;16
"104";104;18
"105";105;19
"106";106;14
"107";107;0
"108";108;12
"109";109;5
"110";110;0
"111";111;8
"112";112;0
"113";113;4
"114";114;1
"115";115;4
"116";116;3
"117";117;17
"118";118;14
"119";119;8
"120";120;19
"121";121;0
"122";122;19
"123";123;13
"124";124;18
"125";125;0
"126";126;3
"127";127;0
"128";128;6
"129";129;15
"130";130;13
"131";131;9
"132";132;1
"133";133;6
"134";134;6
"135";135;19
"136";136;14
"137";137;19
"138";138;0
"139";139;0
"140";140;16
"141";141;0
"142";142;7
"143";143;8
"144";144;19
"145";145;1
"146";146;14
"147";147;17
"148";148;18
"149";149;0
"150";150;0
"151";151;0
"152";152;12
"153";153;15
"154";154;15
"155";155;6
"156";156;0
"157";157;0
"158";158;8
"159";159;9
"160";160;16
"161";161;7
"162";162;1
"163";163;8
"164";164;0
"165";165;19
"166";166;8
"167";167;5
"168";168;0
"169";169;16
"170";170;1
"171";171;3
"172";172;0
"173";173;10
"174";174;13
"175";175;13
"176";176;6
"177";177;8
"178";178;11
"179";179;1
"180";180;7
"181";181;6
"182";182;0
"183";183;0
"184";184;18
"185";185;0
"186";186;0
"187";187;1
"188";188;19
"189";189;18
"190";190;11
"191";191;3
"192";192;7
"193";193;13
"194";194;1
"195";195;8
"196";196;1
"197";197;6
"198";198;12
"199";199;11
"200";200;0
"201";201;4
"202";202;12
"203";203;0
"204";204;16
"205";205;0
"206";206;17
"207";207;16
"208";208;0
"209";209;15
"210";210;17
"211";211;1
"212";212;0
"213";213;2
"214";214;3
"215";215;8
"216";216;16
"217";217;0
"218";218;0
"219";219;16
"220";220;4
"221";221;14
"222";222;17
"223";223;19
"224";224;1
"225";225;19
"226";226;0
"227";227;10
"228";228;1
"229";229;9
"230";230;6
"231";231;3
"232";232;0
"233";233;3
"234";234;0
"235";235;6
"236";236;3
"237";237;0
"238";238;19
"239";239;11
"240";240;0
"241";241;5
"242";242;0
"243";243;3
"244";244;3
"245";245;0
"246";246;12
"247";247;2
"248";248;0
"249";249;0
"250";250;2
"251";251;0
"252";252;0
"253";253;1
"254";254;9
"255";255;16
"256";256;12
"257";257;8
"258";258;0
"259";259;11
"260";260;2
"261";261;0
"262";262;9
"263";263;14
"264";264;0
"265";265;18
"266";266;1
"267";267;6
"268";268;0
"269";269;0
"270";270;5
"271";271;19
"272";272;3
"273";273;0
"274";274;10
"275";275;1
"276";276;18
"277";277;18
"278";278;17
"279";279;6
"280";280;18
"281";281;0
"282";282;6
"283";283;14
"284";284;1
"285";285;0
"286";286;19
"287";287;0
"288";288;6
"289";289;0
"290";290;14
"291";291;8
"292";292;8
"293";293;19
"294";294;8
"295";295;14
"296";296;1
"297";297;18
"298";298;4
"299";299;0
"300";300;6
"301";301;3
"302";302;7
"303";303;13
"304";304;16
"305";305;15
"306";306;18
"307";307;0
"308";308;13
"309";309;5
"310";310;17
"311";311;1
"312";312;0
"313";313;7
"314";314;3
"315";315;18
"316";316;2
"317";317;0
"318";318;0
"319";319;7
"320";320;18
"321";321;6
"322";322;16
"323";323;0
"324";324;5
"325";325;15
"326";326;1
