"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"19";"***";"";""
"**";"classe";"1";"**";"";""
"****";"84";"1448";"5.8";"****";""
" 0";"644";"0.00";"-71.427";"detail";"2.876868e-17"
" 6";"525";"1.14";"-32.705";"paint";"1.072582e-08"
" 0";"323";"0.00";"-25.603";"highly";"4.194814e-07"
" 0";"216";"0.00";"-15.634";"cinematic";"7.685074e-05"
" 0";"202";"0.00";"-14.457";"intricate";"1.434248e-04"
" 0";"200";"0.00";"-14.291";"render";"1.566495e-04"
" 0";"198";"0.00";"-14.125";"high";"1.710546e-04"
" 0";"197";"0.00";"-14.042";"octane";"1.787315e-04"
" 0";"189";"0.00";"-13.387";"view";"2.534314e-04"
" 0";"184";"0.00";"-12.981";"sharp";"3.146876e-04"
" 0";"175";"0.00";"-12.259";"fantasy";"4.631031e-04"
" 0";"171";"0.00";"-11.941";"focus";"5.491363e-04"
" 0";"150";"0.00";"-10.305";"realistic";"1.326668e-03"
" 0";"148";"0.00";"-10.152";"town";"1.441444e-03"
" 0";"148";"0.00";"-10.152";"engine";"1.441444e-03"
" 0";"147";"0.00";"-10.076";"unreal";"1.502408e-03"
" 0";"130";"0.00";" -8.796";"street";"3.019715e-03"
" 5";"260";"1.92";" -8.721";"rutkowski";"3.144804e-03"
" 0";"126";"0.00";" -8.499";"style";"3.553236e-03"
" 0";"122";"0.00";" -8.204";"matte";"4.178764e-03"
" 0";"114";"0.00";" -7.620";"tower";"5.770903e-03"
" 0";"114";"0.00";" -7.620";"8k";"5.770903e-03"
" 0";"111";"0.00";" -7.403";"masterpiece";"6.510452e-03"
" 0";"107";"0.00";" -7.115";"river";"7.643212e-03"
" 0";"104";"0.00";" -6.900";"sky";"8.618161e-03"
" 0";"101";"0.00";" -6.686";"hd";"9.715547e-03"
" 0";"101";"0.00";" -6.686";"ultra";"9.715547e-03"
" 0";"101";"0.00";" -6.686";"elegant";"9.715547e-03"
" 0";" 98";"0.00";" -6.473";"smooth";"1.095070e-02"
" 0";" 94";"0.00";" -6.191";"night";"1.284204e-02"
" 0";" 91";"0.00";" -5.980";"sunny";"1.446970e-02"
" 0";" 90";"0.00";" -5.910";"photorealistic";"1.505648e-02"
" 0";" 90";"0.00";" -5.910";"ancient";"1.505648e-02"
" 0";" 88";"0.00";" -5.770";"hyper";"1.630186e-02"
" 0";" 84";"0.00";" -5.492";"cgsociety";"1.910812e-02"
" 0";" 84";"0.00";" -5.492";"hyperdetailed";"1.910812e-02"
" 0";" 81";"0.00";" -5.284";"composition";"2.152418e-02"
" 0";" 80";"0.00";" -5.215";"full";"2.239547e-02"
" 0";" 76";"0.00";" -4.940";"gothic";"2.624791e-02"
" 0";" 75";"0.00";" -4.871";"dark";"2.731059e-02"
" 0";" 73";"0.00";" -4.734";"contrast";"2.956728e-02"
" 0";" 68";"0.00";" -4.394";"wide";"3.606491e-02"
" 0";" 67";"0.00";" -4.326";"dramatic";"3.752818e-02"
" 0";" 66";"0.00";" -4.259";"photo";"3.905152e-02"
" 0";" 66";"0.00";" -4.259";"architecture";"3.905152e-02"
" 1";" 95";"1.05";" -4.195";"castle";"4.054014e-02"
" 0";" 65";"0.00";" -4.191";"building";"4.063750e-02"
" 1";" 94";"1.06";" -4.128";"mountain";"4.216999e-02"
" 0";" 62";"0.00";" -3.989";"day";"4.579876e-02"
" 0";" 61";"0.00";" -3.922";"stone";"4.766346e-02"
" 0";" 59";"0.00";" -3.788";"victorian";"5.162848e-02"
" 0";" 59";"0.00";" -3.788";"gurney";"5.162848e-02"
" 0";" 58";"0.00";" -3.721";"vibrant";"5.373577e-02"
" 0";" 58";"0.00";" -3.721";"flood";"5.373577e-02"
"12";"330";"3.64";" -3.665";"digital";"5.556039e-02"
" 0";" 57";"0.00";" -3.654";"angle";"5.593115e-02"
" 0";" 57";"0.00";" -3.654";"krenz";"5.593115e-02"
" 0";" 57";"0.00";" -3.654";"cushart";"5.593115e-02"
" 0";" 56";"0.00";" -3.587";"house";"5.821855e-02"
" 0";" 56";"0.00";" -3.587";"inspire";"5.821855e-02"
" 0";" 52";"0.00";" -3.322";"soft";"6.837396e-02"
" 0";" 52";"0.00";" -3.322";"tall";"6.837396e-02"
" 0";" 52";"0.00";" -3.322";"european";"6.837396e-02"
" 0";" 52";"0.00";" -3.322";"great";"6.837396e-02"
" 0";" 51";"0.00";" -3.255";"magical";"7.118763e-02"
" 0";" 50";"0.00";" -3.189";"epic";"7.412143e-02"
" 0";" 50";"0.00";" -3.189";"studio";"7.412143e-02"
" 0";" 50";"0.00";" -3.189";"tree";"7.412143e-02"
" 0";" 50";"0.00";" -3.189";"demura";"7.412143e-02"
" 0";" 50";"0.00";" -3.189";"artem";"7.412143e-02"
" 0";" 49";"0.00";" -3.123";"magritte";"7.718097e-02"
" 0";" 47";"0.00";" -2.992";"ghibli";"8.370111e-02"
" 0";" 47";"0.00";" -2.992";"surround";"8.370111e-02"
" 0";" 46";"0.00";" -2.926";"4k";"8.717449e-02"
" 0";" 46";"0.00";" -2.926";"win";"8.717449e-02"
" 0";" 46";"0.00";" -2.926";"shadow";"8.717449e-02"
" 0";" 46";"0.00";" -2.926";"summer";"8.717449e-02"
" 0";" 46";"0.00";" -2.926";"amsterdam";"8.717449e-02"
" 0";" 45";"0.00";" -2.860";"award";"9.079921e-02"
" 0";" 45";"0.00";" -2.860";"spitzweg";"9.079921e-02"
" 0";" 45";"0.00";" -2.860";"rene";"9.079921e-02"
" 0";" 44";"0.00";" -2.795";"build";"9.458260e-02"
" 0";" 44";"0.00";" -2.795";"valley";"9.458260e-02"
" 0";" 44";"0.00";" -2.795";"resolution";"9.458260e-02"
" 0";" 44";"0.00";" -2.795";"mullins";"9.458260e-02"
" 0";" 44";"0.00";" -2.795";"craig";"9.458260e-02"
" 0";" 43";"0.00";" -2.729";"carl";"9.853241e-02"
" 0";" 43";"0.00";" -2.729";"simon";"9.853241e-02"
" 0";" 41";"0.00";" -2.599";"ray";"1.069647e-01"
" 0";" 41";"0.00";" -2.599";"anime";"1.069647e-01"
" 0";" 40";"0.00";" -2.533";"cloud";"1.114652e-01"
" 0";" 39";"0.00";" -2.468";"world";"1.161681e-01"
" 0";" 39";"0.00";" -2.468";"flag";"1.161681e-01"
" 0";" 39";"0.00";" -2.468";"eiffel";"1.161681e-01"
" 0";" 39";"0.00";" -2.468";"aerial";"1.161681e-01"
" 0";" 39";"0.00";" -2.468";"england";"1.161681e-01"
" 0";" 39";"0.00";" -2.468";"sunset";"1.161681e-01"
" 0";" 38";"0.00";" -2.403";"quality";"1.210839e-01"
" 0";" 38";"0.00";" -2.403";"extremely";"1.210839e-01"
" 0";" 38";"0.00";" -2.403";"stalenhag";"1.210839e-01"
" 0";" 38";"0.00";" -2.403";"tattoo";"1.210839e-01"
" 0";" 37";"0.00";" -2.338";"lake";"1.262238e-01"
" 0";" 36";"0.00";" -2.274";"photography";"1.315996e-01"
" 0";" 36";"0.00";" -2.274";"empty";"1.315996e-01"
" 0";" 36";"0.00";" -2.274";"huge";"1.315996e-01"
" 0";" 36";"0.00";" -2.274";"prague";"1.315996e-01"
" 0";" 36";"0.00";" -2.274";"weather";"1.315996e-01"
" 0";" 35";"0.00";" -2.209";"game";"1.372240e-01"
" 0";" 35";"0.00";" -2.209";"wall";"1.372240e-01"
" 0";" 35";"0.00";" -2.209";"venice";"1.372240e-01"
" 0";" 34";"0.00";" -2.144";"scene";"1.431107e-01"
" 0";" 33";"0.00";" -2.080";"realism";"1.492741e-01"
" 0";" 33";"0.00";" -2.080";"star";"1.492741e-01"
" 0";" 33";"0.00";" -2.080";"europe";"1.492741e-01"
" 0";" 32";"0.00";" -2.015";"vivid";"1.557298e-01"
" 0";" 32";"0.00";" -2.015";"rutkwowski";"1.557298e-01"
"*****";"*";"*";"*";"*";"*"
"22";"782";"2.81";"-27.775";"of";"1.362974e-07"
"23";"721";"3.19";"-17.917";"a";"2.307926e-05"
" 0";"222";"0.00";"-16.147";"8";"5.860657e-05"
"18";"536";"3.36";" -9.294";"and";"2.299344e-03"
" 0";"134";"0.00";" -9.094";"from";"2.564847e-03"
"29";"726";"3.99";" -8.696";"by";"3.188287e-03"
" 2";"161";"1.24";" -6.889";"at";"8.671439e-03"
" 1";"108";"0.93";" -5.076";"an";"2.426083e-02"
" 8";"268";"2.99";" -4.772";"with";"2.891900e-02"
" 0";" 71";"0.00";" -4.598";"old";"3.201147e-02"
