"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19"
"detail";-71,427;5,285;-6,979;51,437;17,088;-19,223;0,007;-0,263;0,508;0,456;0,139;10,242;1,839;5,856;0,036;-16,533;-0,031;66,867;-57,032
"art";10,549;-37,181;-6,682;35,058;-3,609;-4,185;5,047;-12,423;-2,746;0,028;0,013;-0,301;7,197;0;1,276;-4,261;-0,01;186,423;-60,182
"paint";-32,705;3,877;-6,336;69,629;-11,724;0,051;7,898;-5,169;-0,028;-3,146;-0,883;-0,005;3,189;2,695;-0,029;-3,292;-6,415;158,489;-67,738
"artstation";36,525;-16,748;-38,661;61,093;-25,645;7,306;-33,501;-45,725;-1,406;-1,961;-1,909;0,254;-0,078;0,607;0,014;48,291;2,3;124,841;-73,337
"light";-0,224;42,419;2,666;-20,595;-15,939;-2,161;0,732;-23,082;-0,241;1,064;2,377;1,448;-10,309;0,888;0,533;136,98;-0,266;-3,732;-52,034
"highly";-25,603;-11,734;-17,347;145,143;45,508;-6,924;-15,386;-3,649;0,64;1,449;-0,779;-9,909;14,143;2,374;-0,003;-24,194;-1,968;236,987;-32,163
"concept";37,841;-25,051;-9,307;73,214;-12,346;-5,138;-16,649;-7,066;-12,672;-3,173;-1,981;-8,728;18,332;-1,175;-0,778;-2,69;1,723;274,432;-20,715
"city";2,41;-21,438;-3,989;-12,778;-3,61;-0,017;10,429;11,161;-0,67;0,507;5,855;-0,061;-11,564;79,69;7,824;-21,018;-10,906;15,905;-35,997
"greg";3,359;-22,61;-16,798;59,563;-11,143;3,448;53,789;-20,376;-3,339;-0,561;-0,613;-0,036;34,464;1,016;0,004;6,008;0,025;1,279;-36,377
"digital";-3,665;-24,005;-15,238;77,183;-0,118;-1,615;-18,476;-29,161;-3,824;-2,862;-0,434;-0,481;23,386;0,885;0,549;0,614;-1,221;287,775;-33,179
"rutkowski";-8,721;-17,798;-13,223;-6,847;-8,772;8,165;75,109;-15,605;-3,053;-0,042;-0,147;0,806;48,006;0,495;0,336;14,381;0,701;14,729;-28,636
"trend";26,841;-0,704;-15,723;160,907;-10,43;20,426;-13,765;-14,581;-0,801;0,427;1,051;5,2;-10,155;1,209;3,344;0,075;3,455;-23,943;-19,556
