detail;0;44;16;47;30;14;27;52;20;18;29;67;21;65;31;34;19;96;14
art;43;2;11;37;8;17;29;25;9;13;22;37;21;41;28;33;15;110;3
paint;6;36;12;46;4;27;32;33;14;8;19;41;19;51;24;36;8;107;2
artstation;59;13;0;46;0;39;2;13;12;10;19;47;14;50;27;85;22;104;3
light;22;47;22;0;0;15;20;12;10;13;23;38;2;38;22;92;11;25;0
highly;0;5;0;46;26;7;1;19;11;11;11;12;18;33;15;6;6;94;2
concept;43;0;4;37;0;9;1;17;0;4;10;14;20;23;13;22;14;102;8
city;25;1;7;1;4;16;24;43;7;10;22;25;0;66;25;8;1;45;1
greg;25;0;0;33;0;22;36;7;4;6;11;24;23;30;15;38;10;31;0
digital;12;0;1;37;8;12;0;4;4;4;12;23;21;31;18;32;7;102;2
rutkowski;5;0;0;2;0;22;36;6;3;6;10;24;23;24;14;38;10;37;0
trend;36;13;0;46;0;30;1;9;6;9;16;33;0;29;20;27;14;4;6
beautiful;61;0;18;10;0;28;7;9;5;14;10;16;7;35;7;19;4;15;1
cinematic;0;29;0;1;26;1;12;11;5;4;17;23;5;24;9;25;15;9;0
medieval;64;0;4;0;31;26;12;33;0;0;2;9;0;17;16;8;1;8;4
render;0;6;0;36;24;6;12;6;5;9;13;33;0;21;12;9;7;0;1
illustration;43;0;2;0;0;2;0;13;0;5;2;8;20;16;3;5;4;88;4
high;0;47;0;0;4;7;4;15;2;8;19;23;3;24;11;13;13;0;5
intricate;0;0;0;31;0;9;1;3;3;8;7;14;14;23;5;11;0;72;1
fantasy;0;0;0;0;0;0;12;26;8;2;2;13;14;48;20;4;2;4;20
octane;0;6;0;36;26;3;9;5;5;9;13;28;0;24;11;10;6;6;0
sharp;0;0;3;0;0;0;7;3;8;5;2;11;22;16;8;7;4;88;0
view;0;34;12;0;0;7;24;11;3;1;9;6;0;5;11;11;2;49;4
focus;0;0;0;0;0;0;0;4;8;3;2;11;22;15;7;7;4;88;0
color;38;18;1;0;0;10;0;8;1;2;4;13;1;8;6;8;8;40;6
realistic;0;1;0;0;8;16;0;15;5;5;1;46;1;21;12;0;7;5;7
street;0;24;6;0;0;23;11;14;2;4;4;6;0;3;14;9;2;8;0
