"";"V1"
"1";0
"2";19
"3";19
"4";18
"5";19
"6";19
"7";19
"8";0
"9";1
"10";19
"11";19
"12";19
"13";19
"14";0
"15";7
"16";7
"17";19
"18";0
"19";18
"20";13
"21";1
"22";19
"23";0
"24";0
"25";0
"26";0
"27";19
"28";19
"29";19
"30";5
"31";0
"32";16
"33";12
"34";11
"35";0
"36";19
"37";0
"38";17
"39";0
"40";1
"41";11
"42";3
"43";13
"44";8
"45";19
"46";9
"47";19
"48";0
"49";1
"50";19
"51";19
"52";19
"53";0
"54";6
"55";13
"56";19
"57";19
"58";13
"59";8
"60";1
"61";3
"62";7
"63";0
"64";12
"65";0
"66";1
"67";18
"68";0
"69";19
"70";0
"71";11
"72";2
"73";0
"74";5
"75";0
"76";0
"77";12
"78";19
"79";19
"80";0
"81";19
"82";19
"83";14
"84";13
"85";12
"86";2
"87";19
"88";0
"89";6
"90";18
"91";16
"92";0
"93";0
"94";14
"95";1
"96";18
"97";3
"98";19
"99";16
"100";13
"101";19
"102";8
"103";16
"104";18
"105";19
"106";14
"107";0
"108";12
"109";5
"110";0
"111";8
"112";0
"113";4
"114";1
"115";4
"116";3
"117";17
"118";14
"119";8
"120";19
"121";0
"122";19
"123";13
"124";18
"125";0
"126";3
"127";0
"128";6
"129";15
"130";13
"131";9
"132";1
"133";6
"134";6
"135";19
"136";14
"137";19
"138";0
"139";0
"140";16
"141";0
"142";7
"143";8
"144";19
"145";1
"146";14
"147";17
"148";18
"149";0
"150";0
"151";0
"152";12
"153";15
"154";15
"155";6
"156";0
"157";0
"158";8
"159";9
"160";16
"161";7
"162";1
"163";8
"164";0
"165";19
"166";8
"167";5
"168";0
"169";16
"170";1
"171";3
"172";0
"173";10
"174";13
"175";13
"176";6
"177";8
"178";11
"179";1
"180";7
"181";6
"182";0
"183";0
"184";18
"185";0
"186";0
"187";1
"188";19
"189";18
"190";11
"191";3
"192";7
"193";13
"194";1
"195";8
"196";1
"197";6
"198";12
"199";11
"200";0
"201";4
"202";12
"203";0
"204";16
"205";0
"206";17
"207";16
"208";0
"209";15
"210";17
"211";1
"212";0
"213";2
"214";3
"215";8
"216";16
"217";0
"218";0
"219";16
"220";4
"221";14
"222";17
"223";19
"224";1
"225";19
"226";0
"227";10
"228";1
"229";9
"230";6
"231";3
"232";0
"233";3
"234";0
"235";6
"236";3
"237";0
"238";19
"239";11
"240";0
"241";5
"242";0
"243";3
"244";3
"245";0
"246";12
"247";2
"248";0
"249";0
"250";2
"251";0
"252";0
"253";1
"254";9
"255";16
"256";12
"257";8
"258";0
"259";11
"260";2
"261";0
"262";9
"263";14
"264";0
"265";18
"266";1
"267";6
"268";0
"269";0
"270";5
"271";19
"272";3
"273";0
"274";10
"275";1
"276";18
"277";18
"278";17
"279";6
"280";18
"281";0
"282";6
"283";14
"284";1
"285";0
"286";19
"287";0
"288";6
"289";0
"290";14
