"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19"
"detail";1;0,022;1;0;0;1;0,933;1;0,476;0,499;0,71;0,001;0,175;0,016;0,85;1;1;0;1
"art";0,001;1;1;0;1;1;0,025;1;1;0,868;0,909;1;0,007;1;0,259;1;1;0;1
"paint";1;0,049;1;0;1;0,822;0,005;1;1;1;1;1;0,074;0,101;1;1;1;0;1
"artstation";0;1;1;0;1;0,007;1;1;1;1;1;0,614;1;0,436;0,905;0;0,129;0;1
"light";1;0;0,102;1;1;1;0,392;1;1;0,302;0,123;0,229;1;0,346;0,465;0;1;1;1
"highly";1;1;1;0;0;1;1;1;0,424;0,229;1;1;0;0,123;1;1;1;0;1
"concept";0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0,189;0;1
"city";0,121;1;1;1;1;1;0,001;0,001;1;0,477;0,016;1;1;0;0,005;1;1;0;1
"greg";0,067;1;1;0;1;0,063;0;1;1;1;1;1;0;0,313;0,95;0,014;0,874;0,258;1
"digital";1;1;1;0;1;1;1;1;1;1;1;1;0;0,347;0,459;0,433;1;0;1
"rutkowski";1;1;1;1;1;0,004;0;1;1;1;1;0,369;0;0,482;0,562;0;0,402;0;1
"trend";0;1;1;0;1;0;1;1;1;0,514;0,305;0,023;1;0,271;0,067;0,784;0,063;1;1
"beautiful";0;1;0,011;0,762;1;0;1;1;1;0,001;1;1;0,993;0,001;1;1;1;1;1
"cinematic";1;0;1;1;0;1;0,259;1;1;1;0,005;0,101;1;0,085;1;0,095;0;1;1
"medieval";0;1;1;1;0;0;0,418;0,001;1;1;1;1;1;1;0,094;1;1;1;1
"render";1;1;1;0;0;1;0,156;1;1;0,049;0,095;0;1;0,191;0,348;1;0,682;1;1
"illustration";0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1
"high";1;0;1;1;1;1;1;1;1;0,131;0;0,035;1;0,028;0,538;1;0,002;1;1
"intricate";1;1;1;0;1;1;1;1;1;0,147;1;1;0;0,07;1;1;1;0;1
"fantasy";1;1;1;1;1;1;0,055;0,001;0,119;1;1;1;0;0;0;1;1;1;0,108
"octane";1;1;1;0;0;1;0,748;1;1;0,043;0,084;0;1;0,026;0,526;1;0,995;1;1
"sharp";1;1;1;1;1;1;1;1;0,16;0,829;1;1;0;0,772;1;1;1;0;1
"view";1;0;0,078;1;1;1;0;1;1;1;0,727;1;1;1;0,433;1;1;0;1
"focus";1;1;1;1;1;1;1;1;0,104;1;1;1;0;0,751;1;1;1;0;1
"color";0;0,001;1;1;1;0,589;1;1;1;1;1;1;1;1;1;1;0,189;0;1
"realistic";1;1;1;1;0,035;0,001;1;0,485;0,652;0,482;1;0;1;0,006;0,043;1;0,22;1;1
"street";1;0;0,71;1;1;0;0,01;0,33;1;0,65;1;1;1;1;0,001;1;1;1;1
"town";1;1;1;0;0;0;0;1;1;1;1;0,664;1;1;1;1;1;1;1
"matte";1;1;1;0;1;1;0;1;1;1;1;0,89;0;0,29;1;1;1;1;1
"engine";1;1;1;0;1;0,002;0,011;1;1;0,858;1;0;0,545;0,06;0,004;1;0,799;1;1
"unreal";1;1;1;0;1;0,002;0,01;1;1;0,847;1;0;0,534;0,337;0,001;1;0,787;1;1
"volumetric";0;1;1;1;1;1;1;1;1;1;0,291;1;1;1;0,246;0;1;1;1
"map";0,001;1;1;1;1;1;0,974;1;1;1;1;1;1;1;1;1;1;1;0
"style";1;1;1;1;1;0,457;1;0,442;1;0,004;0;0;1;0,051;0,633;0,709;1;1;0,85
"tower";1;0;1;1;1;1;1;0,645;0,27;0,917;1;1;0,996;0,186;1;0,148;0;1;1
"sky";1;1;1;1;1;0;1;1;0,937;0,115;1;1;1;0,092;0,134;1;1;0;1
"masterpiece";1;0;1;1;1;0,013;0;1;1;0,879;0,543;1;1;1;0,077;1;1;1;1
"mucha";1;1;1;1;1;1;0,001;1;1;1;1;1;0;1;1;1;0,831;0;1
"8k";1;1;1;1;1;1;1;1;1;1;0,954;0,001;1;0,542;1;0;0;1;1
"village";0;1;0,004;0;0,513;0,101;0,809;1;0,548;1;1;1;1;1;1;1;1;1;1
"artgerm";0;1;1;1;1;0,534;1;1;1;1;1;1;0;1;1;1;0,747;0;1
"alphonse";1;1;1;1;1;1;0,001;1;1;1;1;1;0;1;1;1;0,803;0;1
"mountain";1;1;1;1;0;0;1;0,995;1;1;1;1;1;0,091;0,071;1;1;1;1
"river";1;1;1;1;0,488;0;1;0,077;1;1;1;1;1;1;1;0,785;1;0;1
"hd";1;1;0,002;1;0;1;1;1;1;1;1;0,985;0,129;1;1;0,001;0;1;1
"ultra";1;1;1;1;0;1;0;1;1;0,746;1;0,001;1;1;1;0;1;1;1
"castle";1;1;1;1;1;0,037;1;0;1;1;1;1;1;0,625;0,076;1;1;1;1
"hyper";1;1;1;1;0;0,752;1;0,164;1;0,566;1;0;1;0,019;0,011;1;0,033;1;1
"atmosphere";0;1;1;1;1;1;1;1;1;0,608;0,555;1;1;1;1;0,11;0,882;1;1
"elegant";1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1
"cgsociety";1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,275;0;0,109;1;1
"bridge";0;1;0;1;1;0,724;1;1;1;1;1;1;1;1;1;1;1;1;1
"smooth";1;1;0,968;1;1;1;1;1;1;1;1;1;0;0,125;1;1;0,533;0;1
"hyperdetailed";1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0,343;1;1
"landscape";0;1;0,156;1;1;1;1;0,301;1;0,192;0,214;0,637;1;0;1;1;1;1;1
"james";0,002;0;1;1;1;0;1;1;0,187;1;1;0,15;1;0,571;0,309;1;1;1;1
"oil";0,08;1;1;1;1;1;1;1;1;1;0,001;0;1;0;0,02;1;1;1;1
"night";1;1;0,078;0,108;0,104;1;1;1;0,793;0,068;1;0,526;1;1;0,021;1;0,183;0;1
"dramatic";1;1;1;1;1;1;0,008;1;1;1;1;0,084;1;1;0,023;0;0;1;1
"rain";0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0,883;1
"photorealistic";1;0,283;1;1;0;1;0;0,89;0,733;1;0,248;1;1;0,791;1;0,929;0;1;1
"contrast";1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"sunny";1;0;1;0;1;1;0,901;1;1;1;1;1;1;1;1;0,408;1;1;1
"gothic";1;1;1;1;1;1;0,001;1;1;0,401;1;0,994;1;0,436;0,176;0;1;1;1
"composition";1;0;1;1;1;1;1;1;1;1;0,01;0,124;1;1;0,916;1;1;1;1
"ancient";1;0;1;1;1;1;1;1;0,315;1;1;1;1;1;1;1;1;0;1
"background";0;1;0,082;1;1;0;1;0,146;1;1;1;1;1;1;0,061;0,883;1;1;1
"small";1;1;0,401;1;1;0;0,442;1;1;1;1;0,423;1;1;0,023;0,152;1;1;1
"full";1;0;1;1;1;1;1;1;1;0,137;1;1;0,171;1;1;1;1;0;1
"dark";1;0;1;1;1;0,883;1;0,123;0,163;1;0,644;1;1;0,092;0,012;1;0,618;1;1
"flower";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"stone";1;1;0,71;1;1;0,237;1;0;1;1;1;0;1;1;0;1;1;1;1
"paris";1;1;1;1;1;1;1;1;1;1;1;1;1;0,325;1;0,706;0,006;0;1
"photo";1;1;1;1;1;0;0,867;1;1;0,771;1;1;1;0,775;0,258;0;1;1;1
"architecture";1;1;1;1;1;0,001;0;1;0,094;1;1;0,707;1;0;0,592;1;1;1;1
"epic";1;1;1;1;1;1;1;1;0,155;1;1;0,001;1;0;1;1;1;1;1
"building";1;1;1;0,009;1;0,654;1;0;1;1;1;1;1;0;0;0,861;1;1;1
