"";"classe 1";"classe 2"
"detail";-57,689;57,689
"art";-83,842;83,842
"paint";-98,746;98,746
"artstation";-52,799;52,799
"light";-38,032;38,032
"highly";-55,028;55,028
"concept";-29,118;29,118
"city";-36,791;36,791
"greg";-17,248;17,248
"digital";-48,933;48,933
"rutkowski";-13,131;13,131
"trend";-2,338;2,338
"beautiful";-28,91;28,91
"cinematic";-30,582;30,582
"medieval";-16,632;16,632
"render";-28,61;28,61
"illustration";-17,295;17,295
"high";-9,287;9,287
"intricate";-12,455;12,455
"fantasy";-0,005;0,005
"octane";-29,531;29,531
"sharp";-29,232;29,232
"view";-11,187;11,187
"focus";-28,343;28,343
"color";-0,074;0,074
"realistic";-0,376;0,376
"street";-13,868;13,868
"town";-21,508;21,508
"matte";-18,27;18,27
"engine";-18,801;18,801
"unreal";-18,801;18,801
"volumetric";-3,984;3,984
"map";883,271;-883,271
"style";1,211;-1,211
"tower";-12,614;12,614
"sky";-15,654;15,654
"masterpiece";-7,941;7,941
"mucha";-15,654;15,654
"8k";-13,197;13,197
"village";-9,073;9,073
"artgerm";-11,993;11,993
"alphonse";-15,012;15,012
"mountain";-3,789;3,789
"river";-13,994;13,994
"hd";-5,062;5,062
"ultra";-12,988;12,988
"castle";-11,993;11,993
"hyper";1,592;-1,592
"atmosphere";-6,596;6,596
"elegant";-13,113;13,113
"cgsociety";2,088;-2,088
"bridge";-3,963;3,963
"smooth";-12,117;12,117
"hyperdetailed";-9,252;9,252
"landscape";-8,834;8,834
"james";-8,24;8,24
"oil";-9,433;9,433
"night";-10,036;10,036
"dramatic";-10,157;10,157
"rain";-6,017;6,017
"photorealistic";-8,178;8,178
"contrast";48,992;-48,992
"sunny";-7,767;7,767
"gothic";-8,358;8,358
"composition";-3,502;3,502
"ancient";-0,008;0,008
"background";-1,578;1,578
"small";-7,649;7,649
"full";-0,249;0,249
"dark";-5,786;5,786
"flower";-0,865;0,865
"stone";-8,24;8,24
"paris";-8,358;8,358
"photo";-2,93;2,93
"architecture";-8,358;8,358
"epic";-8,003;8,003
"building";-6,193;6,193
"shoot";-6,132;6,132
"wide";-6,193;6,193
"angle";-8,121;8,121
"vibrant";-4,87;4,87
"smoke";-2,068;2,068
"day";-4,415;4,415
"4k";-2,186;2,186
"thomas";-4,87;4,87
"world";388,02;-388,02
"water";-5,327;5,327
"studio";-4,87;4,87
"soft";-4,076;4,076
"blue";-6,017;6,017
"victorian";-6,829;6,829
"tree";-6,248;6,248
"person";-4,161;4,161
"magical";-2,109;2,109
"flood";-1,191;1,191
"house";-6,48;6,48
"gurney";-6,596;6,596
"ghibli";-4,529;4,529
"build";-1,414;1,414
"win";-5,098;5,098
"simonetti";-2,732;2,732
"ornate";0,606;-0,606
"marc";-2,732;2,732
"inspire";-6,364;6,364
"krenz";-6,364;6,364
"forest";-0,106;0,106
"cushart";-6,364;6,364
"shadow";-1,958;1,958
"red";-2,51;2,51
"award";-4,87;4,87
"vibe";-0,431;0,431
"tall";-4,984;4,984
"glass";-2,068;2,068
"european";0;0
"center";-5,327;5,327
"summer";-5,441;5,441
"mist";-1,191;1,191
"great";-1,191;1,191
"wlop";-3,401;3,401
"surround";-5,786;5,786
"ray";-5,556;5,556
"jean";-2,51;2,51
"hyperrealistic";-0,107;0,107
"bright";-3,178;3,178
"amsterdam";-5,327;5,327
"valley";-4,415;4,415
"resolution";-3,394;3,394
"lush";-0,756;0,756
"demura";-5,556;5,556
"artem";-5,556;5,556
"green";-1,409;1,409
"chimney";-0,648;0,648
"ice";-0,648;0,648
"flag";-0,324;0,324
"eternal";-0,539;0,539
"eiffel";-5,327;5,327
"anime";-2,955;2,955
"white";-0,185;0,185
"wet";-0,539;0,539
"quality";0,104;-0,104
"large";-1,465;1,465
"colorful";-0,01;0,01
"waterfall";-0,865;0,865
"realism";-4,642;4,642
"pristine";-0,323;0,323
"cloud";-4,984;4,984
"vivid";-4,529;4,529
"game";-2,434;2,434
"carl";-0,431;0,431
"simon";-1,409;1,409
"scene";-4,302;4,302
"roman";44,908;-44,908
"mullins";-4,87;4,87
"extremely";-4,076;4,076
"craig";-4,87;4,87
"aerial";-4,302;4,302
"photography";-4,529;4,529
"england";-4,642;4,642
"empty";-0,433;0,433
"sunset";-4,076;4,076
"huge";-4,076;4,076
"lake";-2,539;2,539
"star";-4,076;4,076
"stalenhag";-0,539;0,539
"stain";-0,323;0,323
"shinkai";-1,958;1,958
"rossdraws";-0,539;0,539
"europe";244,64;-244,64
"yellow";-2,178;2,178
"tattoo";-4,189;4,189
"riabovitchev";-0,323;0,323
"prague";-3,963;3,963
"makoto";-1,848;1,848
"french";-1,191;1,191
"andrei";-0,323;0,323
"neo";-3,401;3,401
"garden";-1,738;1,738
"design";0,227;-0,227
"weather";0,083;-0,083
"wall";-3,85;3,85
"stand";-1,816;1,816
"rome";-1,848;1,848
"close";-2,843;2,843
"artwork";84,662;-84,662
"venice";-3,85;3,85
"symmetry";-0,756;0,756
"kinkade";-2,399;2,399
"giant";1,306;-1,306
"alp";-3,626;3,626
"stanley";-0,648;0,648
"ruin";8,249;-8,249
"futuristic";-1,036;1,036
"dynamic";-3,626;3,626
"black";0,818;-0,818
"road";-1,082;1,082
"lau";-0,539;0,539
"draw";21,488;-21,488
"canal";-3,626;3,626
"super";-3,289;3,289
"rutkwowski";-3,513;3,513
"photograph";-0,854;0,854
"heavy";-3,513;3,513
"hdr";-3,513;3,513
"future";-0,266;0,266
"berlin";-3,513;3,513
"fountain";-2,068;2,068
"colour";-2,843;2,843
"watercolor";-2,843;2,843
"station";-1,418;1,418
"long";-1,082;1,082
"widescreen";-3,178;3,178
"historic";140,907;-140,907
"frank";-0,539;0,539
"deviantart";69,713;-69,713
"cobblestone";-2,289;2,289
"cathedral";-2,621;2,621
"trace";-3,066;3,066
"syd";-0,648;0,648
"skyscraper";-0,973;0,973
"single";-1,409;1,409
"late";-3,066;3,066
"grind";-2,399;2,399
"grim";-3,066;3,066
"golden";-2,843;2,843
"arch";-0,973;0,973
"soldier";-2,732;2,732
"serene";23,609;-23,609
"rockwell";-0,648;0,648
"resemble";-2,955;2,955
"poor";-2,955;2,955
"peter";-2,955;2,955
"norman";-0,648;0,648
"mead";-0,539;0,539
"dawn";-2,955;2,955
"3d";0,217;-0,217
"warm";-1,036;1,036
"nouveau";-2,178;2,178
"kingdom";141,589;-141,589
"distance";-1,958;1,958
"ultrawide";-2,732;2,732
"photorealism";-2,732;2,732
"perfect";-0,973;0,973
"marble";-1,848;1,848
"jordan";-2,732;2,732
"hopper";-0,539;0,539
"scenery";-1,3;1,3
"palace";-1,3;1,3
"middle";1,347;-1,347
"island";8,645;-8,645
"image";-0,765;0,765
"field";-2,289;2,289
"edward";-0,431;0,431
"crowd";-0,854;0,854
"canvas";-2,621;2,621
"artist";206,346;-206,346
"square";-2,399;2,399
"mystical";-1,191;1,191
"movie";-2,399;2,399
"kuvshinov";-0,756;0,756
"ilya";-0,756;0,756
"god";-2,068;2,068
"extreme";-2,51;2,51
"dome";-1,3;1,3
"cyberpunk";-1,958;1,958
"church";-2,399;2,399
"walk";-2,399;2,399
"tom";-2,399;2,399
"texture";-1,958;1,958
"shop";-2,068;2,068
"rozalski";-0,865;0,865
"professional";-0,01;0,01
"perspective";-0,865;0,865
"low";-1,3;1,3
"life";-1,958;1,958
"lens";0,393;-0,393
"land";41,345;-41,345
"jakub";-0,865;0,865
"clear";-1,3;1,3
"triumph";-0,539;0,539
"stun";-2,178;2,178
"rembrandt";-2,068;2,068
"lead";-0,756;0,756
"konstantin";-0,323;0,323
"john";-2,289;2,289
"inside";-2,178;2,178
"hell";-0,539;0,539
"gustave";54,662;-54,662
"grey";-2,289;2,289
"godrays";-1,848;1,848
"fly";-2,178;2,178
"float";-1,738;1,738
"fire";-1,191;1,191
"eye";-1,848;1,848
"death";-0,431;0,431
"cover";-2,289;2,289
"bagshaw";-2,289;2,289
"atmospheric";-2,289;2,289
"abandon";1,237;-1,237
"yoshida";-0,756;0,756
"van";-0,431;0,431
"tone";-0,323;0,323
"statue";-1,519;1,519
"spire";-1,409;1,409
"port";-2,178;2,178
"panorama";-1,848;1,848
"morning";-2,178;2,178
"man";-0,106;0,106
"hyperrealism";-2,178;2,178
"german";-2,178;2,178
"distant";-2,178;2,178
"country";40,188;-40,188
"border";98,566;-98,566
"baroque";-1,848;1,848
"surreal";26,172;-26,172
"society";121,839;-121,839
"run";-0,433;0,433
"raphael";-1,628;1,628
"ocean";23,04;-23,04
"narrow";-1,738;1,738
"london";-1,958;1,958
"grand";-1,958;1,958
"fractal";-0,648;0,648
"fall";-1,848;1,848
"environment";-1,409;1,409
"cozy";-2,068;2,068
"cityscape";-1,3;1,3
"chiaroscuro";-0,648;0,648
"capital";-2,068;2,068
"boat";-1,958;1,958
"bird";-1,848;1,848
"work";96,291;-96,291
"union";8,817;-8,817
"train";-1,628;1,628
"temple";-1,3;1,3
"steampunk";-1,191;1,191
"spot";-1,082;1,082
"side";2,674;-2,674
"season";-1,409;1,409
"ring";-1,958;1,958
"peaceful";-0,648;0,648
"hill";-1,3;1,3
"destroy";0,041;-0,041
"burn";0,333;-0,333
"albert";-1,848;1,848
"zurich";-1,848;1,848
"year";-0,287;0,287
"wooden";-0,005;0,005
"war";47,316;-47,316
"wallpaper";-1,738;1,738
"switzerland";-0,323;0,323
"swiss";-0,973;0,973
"spring";-0,539;0,539
"skull";-1,848;1,848
"portrait";-0,973;0,973
"nestle";-1,848;1,848
"lee";-1,409;1,409
"horror";-1,191;1,191
"foreground";-1,628;1,628
