"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"2";"***";"";""
"**";"classe";"1";"**";"";""
"****";"149";"1535";"9.71";"****";""
"112";"138";" 81.16";"883.271";"map";"4.250730e-194"
" 51";" 62";" 82.26";"388.020";"world";" 2.233243e-86"
" 30";" 34";" 88.24";"244.640";"europe";" 3.827875e-55"
" 23";" 24";" 95.83";"206.346";"artist";" 8.612100e-47"
" 16";" 16";"100.00";"150.400";"renowned";" 1.417593e-34"
" 16";" 16";"100.00";"150.400";"julius";" 1.417593e-34"
" 16";" 16";"100.00";"150.400";"caesar";" 1.417593e-34"
" 19";" 23";" 82.61";"141.589";"kingdom";" 1.196182e-32"
" 15";" 15";"100.00";"140.907";"historic";" 1.685958e-32"
" 15";" 15";"100.00";"140.907";"antique";" 1.685958e-32"
" 15";" 15";"100.00";"140.907";"renewel";" 1.685958e-32"
" 13";" 13";"100.00";"121.959";"good";" 2.356517e-28"
" 16";" 19";" 84.21";"121.839";"society";" 2.503786e-28"
" 15";" 20";" 75.00";" 98.566";"border";" 3.143259e-23"
" 14";" 18";" 77.78";" 96.291";"work";" 9.917619e-23"
" 12";" 15";" 80.00";" 85.398";"dore";" 2.439250e-20"
" 17";" 28";" 60.71";" 84.662";"artwork";" 3.540224e-20"
" 10";" 11";" 90.91";" 83.353";"region";" 6.864620e-20"
" 16";" 29";" 55.17";" 69.713";"deviantart";" 6.859120e-17"
"  7";"  7";"100.00";" 65.412";"jim";" 6.075567e-16"
"  7";"  7";"100.00";" 65.412";"warren";" 6.075567e-16"
"  7";"  7";"100.00";" 65.412";"regional";" 6.075567e-16"
"  7";"  7";"100.00";" 65.412";"morski";" 6.075567e-16"
"  7";"  7";"100.00";" 65.412";"imaginative";" 6.075567e-16"
"  7";"  7";"100.00";" 65.412";"gonsalves";" 6.075567e-16"
"  7";"  7";"100.00";" 65.412";"blunt";" 6.075567e-16"
"  8";"  9";" 88.89";" 64.762";"accurate";" 8.453364e-16"
"  6";"  6";"100.00";" 56.031";"political";" 7.133385e-14"
"  6";"  6";"100.00";" 56.031";"geography";" 7.133385e-14"
"  6";"  6";"100.00";" 56.031";"brand";" 7.133385e-14"
"  6";"  6";"100.00";" 56.031";"balkan";" 7.133385e-14"
"  7";"  8";" 87.50";" 55.528";"igor";" 9.215293e-14"
"  7";"  8";" 87.50";" 55.528";"condition";" 9.215293e-14"
" 12";" 21";" 57.14";" 54.662";"gustave";" 1.431478e-13"
" 13";" 26";" 50.00";" 48.992";"contrast";" 2.570496e-12"
" 10";" 17";" 58.82";" 47.316";"war";" 6.040719e-12"
"  5";"  5";"100.00";" 46.662";"tolkien";" 8.434626e-12"
"  5";"  5";"100.00";" 46.662";"south";" 8.434626e-12"
"  5";"  5";"100.00";" 46.662";"mapporn";" 8.434626e-12"
" 15";" 35";" 42.86";" 44.908";"roman";" 2.064721e-11"
"  8";" 12";" 66.67";" 44.771";"rob";" 2.215079e-11"
" 11";" 22";" 50.00";" 41.345";"land";" 1.276033e-10"
"  8";" 13";" 61.54";" 40.188";"country";" 2.306877e-10"
"  4";"  4";"100.00";" 37.305";"statistic";" 1.010115e-09"
"  4";"  4";"100.00";" 37.305";"realm";" 1.010115e-09"
"  4";"  4";"100.00";" 37.305";"parchment";" 1.010115e-09"
"  4";"  4";"100.00";" 37.305";"include";" 1.010115e-09"
"  4";"  4";"100.00";" 37.305";"extraterrestrial";" 1.010115e-09"
"  5";"  6";" 83.33";" 37.255";"hand";" 1.036349e-09"
"  8";" 14";" 57.14";" 36.274";"rule";" 1.714693e-09"
"  6";"  9";" 66.67";" 33.512";"show";" 7.082403e-09"
"  4";"  5";" 80.00";" 28.280";"projection";" 1.049717e-07"
"  4";"  5";" 80.00";" 28.280";"north";" 1.049717e-07"
"  4";"  5";" 80.00";" 28.280";"manga";" 1.049717e-07"
"  3";"  3";"100.00";" 27.961";"civilization";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"weep";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"warcraft";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"volatile";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"unforgiving";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"tactic";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"surrealistic";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"strand";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"situate";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"simplistic";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"sid";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"robinson";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"retrofuture";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"reconstruction";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"population";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"polity";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"miss";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"mercantile";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"meier";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"jag";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"incredibly";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"hospitable";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"habitable";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"export";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"erase";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"equator";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"colums";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"coastline";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"churn";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"biomes";" 1.238053e-07"
"  3";"  3";"100.00";" 27.961";"atlas";" 1.238053e-07"
"  7";" 14";" 50.00";" 26.172";"surreal";" 3.123165e-07"
"  5";"  8";" 62.50";" 25.573";"woman";" 4.259553e-07"
"  6";" 11";" 54.55";" 25.415";"planet";" 4.623430e-07"
"  6";" 11";" 54.55";" 25.415";"earth";" 4.623430e-07"
"  7";" 15";" 46.67";" 23.609";"serene";" 1.180156e-06"
"  7";" 15";" 46.67";" 23.609";"third";" 1.180156e-06"
"  8";" 19";" 42.11";" 23.040";"ocean";" 1.586862e-06"
"  4";"  6";" 66.67";" 22.298";"spain";" 2.335070e-06"
"  4";"  6";" 66.67";" 22.298";"table";" 2.335070e-06"
"  4";"  6";" 66.67";" 22.298";"treasure";" 2.335070e-06"
"  4";"  6";" 66.67";" 22.298";"picture";" 2.335070e-06"
"  4";"  6";" 66.67";" 22.298";"intricately";" 2.335070e-06"
"  5";"  9";" 55.56";" 21.713";"empire";" 3.166537e-06"
"  9";" 24";" 37.50";" 21.488";"draw";" 3.560290e-06"
"  7";" 16";" 43.75";" 21.380";"disney";" 3.767781e-06"
"  3";"  4";" 75.00";" 19.507";"professionally";" 1.002191e-05"
"  3";"  4";" 75.00";" 19.507";"norwegian";" 1.002191e-05"
"  3";"  4";" 75.00";" 19.507";"mine";" 1.002191e-05"
"  4";"  7";" 57.14";" 18.054";"sculpture";" 2.147584e-05"
"  4";"  7";" 57.14";" 18.054";"archipelago";" 2.147584e-05"
"  6";" 14";" 42.86";" 17.715";"ink";" 2.565496e-05"
"  5";" 11";" 45.45";" 16.154";"body";" 5.839556e-05"
"  4";"  8";" 50.00";" 14.897";"paper";" 1.135632e-04"
"  4";"  8";" 50.00";" 14.897";"heavenly";" 1.135632e-04"
"  3";"  5";" 60.00";" 14.477";"elaborate";" 1.418977e-04"
"  5";" 12";" 41.67";" 14.095";"modern";" 1.738030e-04"
"  3";"  6";" 50.00";" 11.158";"freeze";" 8.367506e-04"
"  2";"  3";" 66.67";" 11.127";"name";" 8.508320e-04"
"  2";"  3";" 66.67";" 11.127";"france";" 8.508320e-04"
"  2";"  3";" 66.67";" 11.127";"finland";" 8.508320e-04"
"  2";"  3";" 66.67";" 11.127";"create";" 8.508320e-04"
"  2";"  3";" 66.67";" 11.127";"child";" 8.508320e-04"
"  3";"  7";" 42.86";"  8.817";"union";" 2.984221e-03"
"  6";" 21";" 28.57";"  8.645";"island";" 3.279647e-03"
"  7";" 27";" 25.93";"  8.249";"ruin";" 4.077894e-03"
"  2";"  4";" 50.00";"  7.429";"continent";" 6.418543e-03"
"  2";"  4";" 50.00";"  7.429";"sweden";" 6.418543e-03"
"  2";"  4";" 50.00";"  7.429";"svg";" 6.418543e-03"
"  2";"  4";" 50.00";"  7.429";"frame";" 6.418543e-03"
"  2";"  4";" 50.00";"  7.429";"contest";" 6.418543e-03"
"  3";"  8";" 37.50";"  7.088";"point";" 7.761684e-03"
"  2";"  5";" 40.00";"  5.252";"climate";" 2.191872e-02"
"  3";" 10";" 30.00";"  4.729";"space";" 2.965140e-02"
"  3";" 11";" 27.27";"  3.901";"gold";" 4.827090e-02"
"  2";"  6";" 33.33";"  3.836";"change";" 5.015267e-02"
"  3";" 12";" 25.00";"  3.227";"ufo";" 7.241602e-02"
"  2";"  7";" 28.57";"  2.855";"behance";" 9.107577e-02"
"  3";" 13";" 23.08";"  2.674";"side";" 1.019950e-01"
"  3";" 14";" 21.43";"  2.215";"mm";" 1.366822e-01"
"  2";"  8";" 25.00";"  2.146";"simple";" 1.429459e-01"
"  2";"  8";" 25.00";"  2.146";"desert";" 1.429459e-01"
" 15";"110";" 13.64";"  2.088";"cgsociety";" 1.485058e-01"
"*****";"*";"*";"*";"*";"*"
"  6";"  6";"100.00";"56.031";"not";"7.133385e-14"
"  8";" 11";" 72.73";"50.205";"r";"1.385015e-12"
"  8";" 11";" 72.73";"50.205";"each";"1.385015e-12"
"  3";"  3";"100.00";"27.961";"somewhere";"1.238053e-07"
"  3";"  3";"100.00";"27.961";"every";"1.238053e-07"
"  8";" 18";" 44.44";"25.076";"but";"5.510793e-07"
"  7";" 15";" 46.67";"23.609";"new";"1.180156e-06"
"  3";"  4";" 75.00";"19.507";"j";"1.002191e-05"
"107";"852";" 12.56";"17.768";"of";"2.495032e-05"
" 12";" 44";" 27.27";"15.947";"s";"6.512597e-05"
" 10";" 39";" 25.64";"11.592";"2";"6.622663e-04"
"  3";"  6";" 50.00";"11.158";"than";"8.367506e-04"
"  3";"  6";" 50.00";"11.158";"any";"8.367506e-04"
"  2";"  3";" 66.67";"11.127";"their";"8.508320e-04"
"  5";" 14";" 35.71";"10.904";"out";"9.597763e-04"
"  4";" 10";" 40.00";"10.539";"where";"1.168885e-03"
"  7";" 24";" 29.17";"10.534";"as";"1.171875e-03"
"  4";" 11";" 36.36";" 8.983";"or";"2.725712e-03"
"  3";"  7";" 42.86";" 8.817";"this";"2.984221e-03"
"  3";"  7";" 42.86";" 8.817";"more";"2.984221e-03"
"  3";"  7";" 42.86";" 8.817";"along";"2.984221e-03"
" 11";" 52";" 21.15";" 8.047";"0";"4.558484e-03"
