"";"classe 1";"classe 2"
"detail";1;0
"art";1;0
"paint";1;0
"artstation";1;0
"light";1;0
"highly";1;0
"concept";1;0
"city";1;0
"greg";1;0
"digital";1;0
"rutkowski";1;0
"trend";1;0,126
"beautiful";1;0
"cinematic";1;0
"medieval";1;0
"render";1;0
"illustration";1;0
"high";1;0,002
"intricate";1;0
"fantasy";1;0,942
"octane";1;0
"sharp";1;0
"view";1;0,001
"focus";1;0
"color";1;0,785
"realistic";1;0,54
"street";1;0
"town";1;0
"matte";1;0
"engine";1;0
"unreal";1;0
"volumetric";1;0,046
"map";0;1
"style";0,271;1
"tower";1;0
"sky";1;0
"masterpiece";1;0,005
"mucha";1;0
"8k";1;0
"village";1;0,003
"artgerm";1;0,001
"alphonse";1;0
"mountain";1;0,052
"river";1;0
"hd";1;0,024
"ultra";1;0
"castle";1;0,001
"hyper";0,207;1
"atmosphere";1;0,01
"elegant";1;0
"cgsociety";0,149;1
"bridge";1;0,047
"smooth";1;0
"hyperdetailed";1;0,002
"landscape";1;0,003
"james";1;0,004
"oil";1;0,002
"night";1;0,002
"dramatic";1;0,001
"rain";1;0,014
"photorealistic";1;0,004
"contrast";0;1
"sunny";1;0,005
"gothic";1;0,004
"composition";1;0,061
"ancient";1;0,927
"background";1;0,209
"small";1;0,006
"full";1;0,618
"dark";1;0,016
"flower";1;0,352
"stone";1;0,004
"paris";1;0,004
"photo";1;0,087
"architecture";1;0,004
"epic";1;0,005
"building";1;0,013
"shoot";1;0,013
"wide";1;0,013
"angle";1;0,004
"vibrant";1;0,027
"smoke";1;0,15
"day";1;0,036
"4k";1;0,139
"thomas";1;0,027
"world";0;1
"water";1;0,021
"studio";1;0,027
"soft";1;0,043
"blue";1;0,014
"victorian";1;0,009
"tree";1;0,012
"person";1;0,041
"magical";1;0,146
"flood";1;0,275
"house";1;0,011
"gurney";1;0,01
"ghibli";1;0,033
"build";1;0,234
"win";1;0,024
"simonetti";1;0,098
"ornate";0,436;1
"marc";1;0,098
"inspire";1;0,012
"krenz";1;0,012
"forest";1;0,745
"cushart";1;0,012
"shadow";1;0,162
"red";1;0,113
"award";1;0,027
"vibe";1;0,511
"tall";1;0,026
"glass";1;0,15
"european";0,991;1
"center";1;0,021
"summer";1;0,02
"mist";1;0,275
"great";1;0,275
"wlop";1;0,065
"surround";1;0,016
"ray";1;0,018
"jean";1;0,113
"hyperrealistic";1;0,744
"bright";1;0,075
"amsterdam";1;0,021
"valley";1;0,036
"resolution";1;0,065
"lush";1;0,385
"demura";1;0,018
"artem";1;0,018
"green";1;0,235
"chimney";1;0,421
"ice";1;0,421
"flag";1;0,569
"eternal";1;0,463
"eiffel";1;0,021
"anime";1;0,086
"white";1;0,667
"wet";1;0,463
"quality";0,747;1
"large";1;0,226
"colorful";1;0,922
"waterfall";1;0,352
"realism";1;0,031
"pristine";1;0,57
"cloud";1;0,026
"vivid";1;0,033
"game";1;0,119
"carl";1;0,511
"simon";1;0,235
"scene";1;0,038
"roman";0;1
"mullins";1;0,027
"extremely";1;0,043
"craig";1;0,027
"aerial";1;0,038
"photography";1;0,033
"england";1;0,031
"empty";1;0,51
"sunset";1;0,043
"huge";1;0,043
"lake";1;0,111
"star";1;0,043
"stalenhag";1;0,463
"stain";1;0,57
"shinkai";1;0,162
"rossdraws";1;0,463
"europe";0;1
"yellow";1;0,14
"tattoo";1;0,041
"riabovitchev";1;0,57
"prague";1;0,047
"makoto";1;0,174
"french";1;0,275
"andrei";1;0,57
"neo";1;0,065
"garden";1;0,187
"design";0,634;1
"weather";0,773;1
"wall";1;0,05
"stand";1;0,178
"rome";1;0,174
"close";1;0,092
"artwork";0;1
"venice";1;0,05
"symmetry";1;0,385
"kinkade";1;0,121
"giant";0,253;1
"alp";1;0,057
"stanley";1;0,421
"ruin";0,004;1
"futuristic";1;0,309
"dynamic";1;0,057
"black";0,366;1
"road";1;0,298
"lau";1;0,463
"draw";0;1
"canal";1;0,057
"super";1;0,07
"rutkwowski";1;0,061
"photograph";1;0,355
"heavy";1;0,061
"hdr";1;0,061
"future";1;0,606
"berlin";1;0,061
"fountain";1;0,15
"colour";1;0,092
"watercolor";1;0,092
"station";1;0,234
"long";1;0,298
"widescreen";1;0,075
"historic";0;1
"frank";1;0,463
"deviantart";0;1
"cobblestone";1;0,13
"cathedral";1;0,105
"trace";1;0,08
"syd";1;0,421
"skyscraper";1;0,324
"single";1;0,235
"late";1;0,08
"grind";1;0,121
"grim";1;0,08
"golden";1;0,092
"arch";1;0,324
"soldier";1;0,098
"serene";0;1
"rockwell";1;0,421
"resemble";1;0,086
"poor";1;0,086
"peter";1;0,086
"norman";1;0,421
"mead";1;0,463
"dawn";1;0,086
"3d";0,641;1
"warm";1;0,309
"nouveau";1;0,14
"kingdom";0;1
"distance";1;0,162
"ultrawide";1;0,098
"photorealism";1;0,098
"perfect";1;0,324
"marble";1;0,174
"jordan";1;0,098
"hopper";1;0,463
"scenery";1;0,254
"palace";1;0,254
"middle";0,246;1
"island";0,003;1
"image";1;0,382
"field";1;0,13
"edward";1;0,511
"crowd";1;0,355
"canvas";1;0,105
"artist";0;1
"square";1;0,121
"mystical";1;0,275
"movie";1;0,121
"kuvshinov";1;0,385
"ilya";1;0,385
"god";1;0,15
"extreme";1;0,113
"dome";1;0,254
"cyberpunk";1;0,162
"church";1;0,121
"walk";1;0,121
"tom";1;0,121
"texture";1;0,162
"shop";1;0,15
"rozalski";1;0,352
"professional";1;0,922
"perspective";1;0,352
"low";1;0,254
"life";1;0,162
"lens";0,531;1
"land";0;1
"jakub";1;0,352
"clear";1;0,254
"triumph";1;0,463
"stun";1;0,14
"rembrandt";1;0,15
"lead";1;0,385
"konstantin";1;0,57
"john";1;0,13
"inside";1;0,14
"hell";1;0,463
"gustave";0;1
"grey";1;0,13
"godrays";1;0,174
"fly";1;0,14
"float";1;0,187
"fire";1;0,275
"eye";1;0,174
"death";1;0,511
"cover";1;0,13
"bagshaw";1;0,13
"atmospheric";1;0,13
"abandon";0,266;1
"yoshida";1;0,385
"van";1;0,511
"tone";1;0,57
"statue";1;0,218
"spire";1;0,235
"port";1;0,14
"panorama";1;0,174
"morning";1;0,14
"man";1;0,745
"hyperrealism";1;0,14
"german";1;0,14
"distant";1;0,14
"country";0;1
"border";0;1
"baroque";1;0,174
"surreal";0;1
"society";0;1
"run";1;0,51
"raphael";1;0,202
"ocean";0;1
"narrow";1;0,187
"london";1;0,162
"grand";1;0,162
"fractal";1;0,421
"fall";1;0,174
"environment";1;0,235
"cozy";1;0,15
"cityscape";1;0,254
"chiaroscuro";1;0,421
"capital";1;0,15
"boat";1;0,162
"bird";1;0,174
"work";0;1
"union";0,003;1
"train";1;0,202
"temple";1;0,254
"steampunk";1;0,275
"spot";1;0,298
"side";0,102;1
"season";1;0,235
"ring";1;0,162
"peaceful";1;0,421
"hill";1;0,254
"destroy";0,84;1
"burn";0,564;1
"albert";1;0,174
"zurich";1;0,174
"year";1;0,592
"wooden";1;0,945
"war";0;1
"wallpaper";1;0,187
"switzerland";1;0,57
"swiss";1;0,324
"spring";1;0,463
"skull";1;0,174
"portrait";1;0,324
"nestle";1;0,174
"lee";1;0,235
"horror";1;0,275
"foreground";1;0,202
"film";1;0,174
"exquisite";1;0,174
"dusk";1;0,174
"dragon";1;0,872
"animation";1;0,352
"amaze";1;0,187
"akihiko";1;0,511
"yoshitaka";1;0,511
"video";1;0,945
"ultradetailed";1;0,324
"top";1;0,187
"time";0,704;1
"sunlight";1;0,187
"simple";0,143;1
"russian";1;0,463
"renowned";0;1
"post";1;0,275
"planet";0;1
"moody";1;0,298
"lense";1;0,187
"julius";0;1
"illumination";1;0,463
"glow";1;0,187
"global";0,436;1
"fish";1;0,298
"fight";1;0,187
"empire";0;1
"disney";0;1
"cliff";1;0,187
"caesar";0;1
"antique";0;1
"amano";1;0,511
"winter";1;0,202
"wes";1;0,202
"third";0;1
"symmetrical";1;0,202
"strong";1;0,218
"stiavnica";1;0,202
"spain";0;1
"shape";0,176;1
"rhads";1;0,385
"renewel";0;1
"pixar";1;0,254
"neon";1;0,298
"neoclassical";1;0,511
"mohrbacher";1;0,202
"market";1;0,218
"londo";1;0,202
"loish";1;0,235
"line";1;0,202
"flow";1;0,202
"figure";1;0,218
