"";"V1"
"1";0
"2";1
"3";1
"4";2
"5";1
"6";1
"7";1
"8";2
"9";0
"10";1
"11";1
"12";1
"13";1
"14";0
"15";2
"16";2
"17";1
"18";2
"19";2
"20";2
"21";0
"22";1
"23";2
"24";2
"25";0
"26";2
"27";1
"28";1
"29";1
"30";2
"31";0
"32";2
"33";2
"34";2
"35";0
"36";1
"37";0
"38";2
"39";2
"40";0
"41";2
"42";0
"43";2
"44";2
"45";1
"46";2
"47";1
"48";2
"49";0
"50";1
"51";1
"52";1
"53";2
"54";2
"55";2
"56";1
"57";1
"58";2
"59";2
"60";0
"61";0
"62";2
"63";2
"64";2
"65";2
"66";0
"67";2
"68";0
"69";1
"70";0
"71";2
"72";0
"73";2
"74";2
"75";0
"76";0
"77";2
"78";1
"79";1
"80";0
"81";1
"82";1
"83";2
"84";2
"85";2
"86";0
"87";1
"88";0
"89";2
"90";2
"91";2
"92";0
"93";0
"94";2
"95";0
"96";2
"97";0
"98";1
"99";2
"100";2
"101";1
"102";2
"103";2
"104";2
"105";1
"106";2
"107";2
"108";2
"109";2
"110";2
"111";2
"112";2
"113";2
"114";0
"115";2
"116";0
"117";2
"118";2
"119";2
"120";1
"121";0
"122";1
"123";2
"124";2
"125";2
"126";0
"127";0
"128";2
"129";2
"130";2
"131";2
"132";0
"133";2
"134";2
"135";1
"136";2
"137";1
"138";2
"139";2
"140";2
"141";0
"142";2
"143";2
"144";1
"145";0
"146";2
"147";2
"148";2
"149";2
"150";0
"151";1
"152";2
"153";2
"154";2
"155";2
"156";2
"157";0
"158";2
"159";2
"160";2
"161";2
"162";0
"163";2
"164";2
"165";1
"166";2
"167";2
"168";1
"169";2
"170";0
"171";0
"172";0
"173";2
"174";2
"175";2
"176";2
"177";2
"178";2
"179";0
"180";2
"181";2
"182";0
"183";2
"184";2
"185";2
"186";0
"187";0
"188";1
"189";2
"190";2
"191";0
"192";2
"193";2
"194";0
"195";2
"196";0
"197";2
"198";2
"199";2
"200";2
"201";2
"202";2
"203";0
"204";2
"205";2
"206";2
"207";2
"208";2
"209";2
"210";2
"211";0
"212";0
"213";0
"214";0
"215";2
"216";2
"217";0
"218";0
"219";2
"220";2
"221";2
"222";2
"223";1
"224";0
"225";1
"226";0
"227";2
"228";0
"229";2
"230";2
"231";0
"232";1
"233";0
"234";1
"235";2
"236";0
"237";2
"238";1
"239";2
"240";2
"241";2
"242";0
"243";0
"244";0
"245";2
"246";2
"247";0
"248";0
"249";0
"250";0
"251";0
"252";0
"253";0
"254";2
"255";2
"256";2
"257";2
"258";1
"259";2
"260";0
"261";2
"262";2
"263";2
"264";0
"265";2
"266";0
"267";2
"268";2
"269";0
"270";2
"271";1
"272";0
"273";0
"274";2
"275";0
"276";2
"277";2
"278";2
"279";2
"280";2
"281";2
"282";2
"283";2
"284";0
"285";2
"286";1
"287";1
"288";2
"289";1
"290";2
"291";2
"292";2
"293";1
"294";2
"295";2
"296";0
"297";2
"298";2
"299";2
"300";2
"301";0
"302";2
"303";2
"304";2
"305";2
"306";2
"307";2
"308";2
"309";2
"310";2
"311";0
"312";2
"313";2
"314";0
"315";2
"316";0
"317";0
"318";2
"319";2
"320";2
"321";2
"322";2
"323";2
"324";2
"325";2
"326";0
"327";2
"328";2
"329";0
"330";0
"331";2
"332";2
"333";2
"334";2
"335";0
