"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"classe 1";2,91054107439993;-0,216323313181791;0,964093298330392;-0,0475447333221297;0,0113278085359599;0,127972083091929;-0,0869216966841172;0,0143731284082346;0,0876220887057323;0,945213738827703;-0,0702521498310456;0,313094441136337;-0,0154404057514432;0,00367876624493489;0,0415596165911625;-0,0282282846411919;0,00466775011728672;0,0284557406861242;0,909062814125224;0,00442230759279218;0,0846463321534391;0,000169100558003652;8,31222420305729e-06;0,000956107632376772;0,000405455068102269;1,03609712535484e-05;0,000319209674631627;0,808192192489268;0,00446451038333529;0,0886758404852442;0,000215661199847231;1,22421863309761e-05;0,00156241954890325;0,000720814601566611;1,97092363090713e-05;0,000732477668451619;0,0954041322007493;2,37132768795257;0,536476039518865
"classe 2";-0,88796560137451;-4,0767243928707;0,668567166905326;-0,171325524661756;-0,391566382611007;0,228305389412307;0,0227845515302949;-0,0171790816480039;0,311671846170926;-0,208211570032618;-0,955916743977428;0,156766680238671;-0,0401726783349135;-0,0918151009106997;0,0535334065901456;0,0053425574586092;-0,0040281780691872;0,0730813044173808;0,0493323344494404;0,915709993165249;0,0237330230383773;0,00128019847373937;0,00579067514705022;0,0017741959712671;1,62427764783304e-05;8,6296006868786e-06;0,00235470737771284;0,0410927143981704;0,866154267386583;0,0232949957198953;0,00152973670157941;0,00799067272330031;0,0027164697474966;2,70553723340447e-05;1,53805700881947e-05;0,0050625309645131;0,0521161764160392;3,10559697263506;0,502646583396947
"classe 3";-1,38072812962715;1,18331123586689;3,34297680939721;-0,320963862338124;-0,488779852294172;0,116219145085895;-0,0286643668855433;-0,0465114769286626;0,288546189248569;-0,357411404392163;0,306308621928647;0,865353584575503;-0,0830838036365489;-0,12652417930692;0,0300841613718864;-0,00741997747763765;-0,0120398302408136;0,0746922558600922;0,148007173635197;0,0957326901617901;0,736303281144224;0,00557535436337855;0,01119623569619;0,000570494748557012;3,19000264308718e-05;7,84942980690458e-05;0,00250437592615468;0,119720776524674;0,0879328513376797;0,701810573620966;0,00646942160204094;0,0150030574059405;0,00084822004658378;5,15985963021889e-05;0,000135854315959152;0,00522858130262515;0,0627990652472273;2,78792814556768;0,488108456650039
"classe 4";-0,183755593510987;0,225197156004044;-0,239268589501913;5,45568930063873;-1,68197684351286;0,0410045334034472;-0,472046783554047;-0,400587442341615;0,5950827954882;-0,0317602569901318;0,0389230031667449;-0,0413551051538073;0,942959563493442;-0,290712330333635;0,00708721021097006;-0,081588412469987;-0,0692374031870143;0,102853916737948;0,00147398239994451;0,00194954306044497;0,00212083132512124;0,905741364926759;0,0745470063888064;3,99305037744189e-05;0,0048643090885291;0,00327383851509142;0,00598919379154026;0,00097945414854489;0,00147105454929879;0,0016606356354163;0,863380495295494;0,0820621704014519;4,87715685312555e-05;0,00646357897939203;0,00465476367031882;0,0102720651057566;0,0290070106457955;3,71799845599546;0,400978774794672
"classe 5";-0,0575082351144777;0,342000685744455;-0,795109164774564;-0,795198834984812;-1,72975857495799;-0,234508960243603;0,129627482832968;-0,0230274087942693;0,357422354659073;-0,0268807711167955;0,159859577275906;-0,371653684531015;-0,371695598604588;-0,80853193022184;-0,109615286794969;0,0605910908158289;-0,0107635802764499;0,167068046663075;0,00111060916694511;0,0345900344960683;0,180168258911592;0,148028870728607;0,606528454556004;0,0100473130803232;0,00282185871425277;8,32228809941456e-05;0,0166213774652106;0,000593011269346682;0,0209728195922007;0,113359099173327;0,113384669265821;0,536505096383957;0,00986101795573074;0,00301298550885885;9,50808398172314e-05;0,0229068984485669;0,179309321562373;1,3404919148152;0,322204250350271
"classe 6";-0,317396620735486;0,421417144227708;-0,744308016973293;-0,341156825317666;0,677031225849448;4,03694051427977;-1,55681769635438;-0,768935080432722;0,773391917482114;-0,0687446201026427;0,0912743223842249;-0,161208937094583;-0,0738908193084755;0,14663752345818;0,874356952471807;-0,337189604782039;-0,166542888407105;0,167508190334737;0,00863144490273157;0,0133998263951533;0,0402817089795693;0,00695153662816245;0,0237069304541609;0,759649898164776;0,103847092106646;0,0236760737880056;0,0198554885807865;0,00451406442167743;0,00795769986329005;0,0248238163266406;0,0052152037979406;0,0205390595784877;0,730243761590815;0,108602212928375;0,0264936933405339;0,0268017044436443;0,0448087837085945;2,65384365249379;0,315583161367742
"classe 7";-0,14665585378436;0,265620962072272;-0,392008650934453;0,245297241474142;1,3599725527652;0,355566222213421;3,90457053086955;-1,12854261454964;1,92426276221566;-0,0309150734960227;0,0559929341560608;-0,0826354757890186;0,0517086911491115;0,286682395120279;0,074953406964539;0,823083987562653;-0,237896933343662;0,405634846373251;0,00193850347571422;0,00560000399032883;0,0117539183567998;0,00378047951162822;0,100625276527109;0,00619924288767964;0,687154252813414;0,0536481974671684;0,129300124970155;0,000915078695361656;0,00300181780962027;0,00653809070890408;0,00256002948796405;0,0786900689893201;0,00537898872810028;0,648643668979693;0,054187057104646;0,157539110991624;0,0425460885047665;2,58750320687961;0,28485341644413
"classe 8";-0,231503355744492;0,130870360924132;-0,358704006073142;-0,161533773676878;1,22795950084751;-1,5708923190077;-1,49350775434999;-0,974897236694124;1,27329481679153;-0,0771534723879375;0,0436153624878919;-0,119545824893146;-0,0538346042847581;0,409243914143124;-0,52353365146357;-0,497743580933616;-0,324905471847123;0,424352883236193;0,0115588459134444;0,00325295728176162;0,0235502724264874;0,00392301846386325;0,196312069491226;0,289549356370263;0,240577369558508;0,095800770401467;0,135475340092971;0,00535759119507362;0,00171213336688571;0,0128625609224015;0,00260844490905446;0,150738114313213;0,246687885937438;0,222982075973073;0,0950107332095699;0,162073844200888;0,0999666159724025;1,6726876087601;0,279694979018745
"classe 9";-0,263762820589718;0,229006903093575;-0,393581181647445;0,226085496259248;0,931921500009967;0,0202632279849591;-0,0968204941356534;4,35369883650762;1,40704680062583;-0,0560553660970759;0,0486689737506103;-0,0836446060776893;0,0480481109267652;0,198053693617618;0,00430637896753548;-0,0205764718178988;0,925256188917027;0,299028207798421;0,00666533243622389;0,0044247391452203;0,0125946730265006;0,00341376675385836;0,0502264336372603;2,14013809822854e-05;0,00044912699901184;0,848716910616003;0,0734876160049396;0,0030064175873416;0,00226630989054321;0,00669407844234777;0,0022088567504689;0,037530193988674;1,77435047943749e-05;0,000405094863260617;0,819103749999783;0,0855537859160706;0,0432137690567158;2,5096748414927;0,272180533353423
"classe 10";-0,211063750839491;0,107662518689135;-0,240430477003014;0,0831821522880062;0,44964021312947;-0,0866601789782832;0,160974103062316;0,0284507921677682;-1,22193190330671;-0,155160751439231;0,079146690207122;-0,17674931546654;0,0611502695465445;0,330547112277562;-0,063707095304841;0,118338003063347;0,0209152271493051;-0,898287231087932;0,0538935086457836;0,0123490654688667;0,0593487777682691;0,00583530072832279;0,147644905457861;0,00494285871377811;0,0156769328549278;0,000457666696747287;0,699850983665447;0,0156286992705425;0,00406653582056301;0,0202803089648578;0,00242748098978927;0,0709293240293241;0,00263472137160665;0,00909091419714493;0,000283977712975248;0,523829000957859;0,350829036685337;0,706252842345089;0,174991094821672
