"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"detail";-0,368315520727498;0,130713606493695;-0,220222687865932;-0,113499791661259;-0,155123358609317;0,152874733758022;-0,104316170232176;0,0266515645637333;-0,319754639490444;-0,601142816560575;0,213343020177928;-0,359434450638351;-0,185247649361939;-0,253183174373294;0,24951310183922;-0,170258685439918;0,0434991079277439;-0,521884617330073;0,496060684663853;0,0550214750817722;0,150502070310524;0,0328381496473144;0,0531163455044928;0,0464939103277887;0,019899306988285;0,00121392432971491;0,144854133146156;0,00346701310936018;0,000436673701905246;0,00123948010760292;0,000329234677296106;0,000614992531255449;0,000597292237422491;0,000278111349206011;1,81535205592102e-05;0,00261305861896704;0,0255573277940576;0,406225706145603;0,00421745296434501
"art";0,0837478865302467;0,236856412437456;-0,498187502315305;-0,202390544667797;-0,286090763632616;0,101105858050038;-0,0754517832163035;0,101125669087042;0,0264366710195113;0,123351413361529;0,348863409554216;-0,733775323481729;-0,298098982196595;-0,421380186484074;0,148917793705731;-0,111132166863905;0,148946973181369;0,0389383048329554;0,0195660800504257;0,137823182735036;0,587577773889018;0,0796581715785312;0,137829699438623;0,0155145302720518;0,0079420944243451;0,0133330761669947;0,000755391444968718;0,000142048475094127;0,00113621144039309;0,00502660224618444;0,000829601067685242;0,00165766412217063;0,00020703391870955;0,000115299621218293;0,000207115060565039;1,41547563236119e-05;0,0202529767424608;0,465089708013371;0,00438088973363179
"paint";-0,282175772620034;0,369102183300613;-0,31494704595574;-0,191221904098924;-0,241996292054566;0,233058419275307;0,0372312159572277;0,0857497397707797;0,0758679080268781;-0,40771456633218;0,533314165136749;-0,455065638935471;-0,276295710928698;-0,349659406804856;0,336745112674315;0,0537952246115091;0,123899432042376;0,109621215643345;0,209244927194099;0,315285927921281;0,221214789750965;0,066986077922493;0,0928991919966798;0,0776559905716187;0,00182167059644996;0,00903093140508291;0,00586049264132869;0,00168939691108438;0,00289058322720739;0,00210458915703748;0,000775831711091985;0,0012425379825137;0,00115244933887755;2,94107900376843e-05;0,00015601195230063;0,000122126094288008;0,0212174042063875;0,479189220595916;0,00487198934772817
"artstation";0,0871341369740474;0,0914695232346554;-0,316902860635229;-0,339983636103233;0,0708757268794233;-0,0200150007698741;-0,09904446277717;-0,520068368119842;0,285922607067804;0,112542975086889;0,118142586041491;-0,409313639728332;-0,439124908063443;0,0915435148778929;-0,0258514953063564;-0,127926423488252;-0,671723430441771;0,369299357995529;0,021879937811783;0,0212333301681924;0,245609591413874;0,232209094577721;0,00873863275082605;0,000628073566811502;0,0141374060557153;0,364285365271763;0,0912785683832727;0,00017657955996272;0,000194588241323715;0,00233569473164443;0,00268831274368006;0,000116831193673745;9,31697616372729e-06;0,00022815193870229;0,00629049239268185;0,00190134423549635;0,0232575392262324;0,457593744216431;0,004869943461766
"light";-0,233318839546118;0,248886364755407;0,169822665417413;0,267190450149718;0,419317628543094;-0,66003257049254;-0,316050361597949;-0,155719269265356;0,0990795031346742;-0,237877937796116;0,253749655659013;0,173141035327964;0,272411406657402;0,427511181494938;-0,672929743060893;-0,32222605085337;-0,158762055906074;0,101015537062456;0,092039431810648;0,0922300383513925;0,0413798781897417;0,0841414434416344;0,179448394271729;0,400714378634517;0,084455281157791;0,0191606596870302;0,00643049445547755;0,000904635967114578;0,00102938170211804;0,000479253773689105;0,00118635891612232;0,00292186722712036;0,00723943994071456;0,00165991870312901;0,000402957227182032;0,00016313301968743;0,016617827070737;0,597417072549832;0,00593102144149104
"highly";-0,228274646726052;0,341542628025381;-0,704449832161873;-0,57814285870563;-0,760751687806217;0,623086891219411;-0,121283117862737;-0,276838983819433;-0,141792644340227;-0,158367786245873;0,236948564743105;-0,48871901475172;-0,401092306921627;-0,527778982066574;0,432272672486761;-0,0841413584924715;-0,192059773798074;-0,0983700446465199;0,0366834835836858;0,0723170847893743;0,296468762577592;0,164028504240501;0,245934854558205;0,148690191149845;0,00517840285776417;0,0252151255502135;0,00548359069281775;0,000670719688239644;0,00150146608795556;0,00638742532784648;0,00430225380318611;0,00744923277137515;0,00499715620317097;0,000189333037332311;0,00098646161088598;0,000258781424911198;0,0128713973070218;0,925842643251461;0,0110331635528695
"concept";0,224891576257399;0,148140649480992;-0,527016027128018;-0,468428436624977;-0,702565316276873;0,267145436816527;-0,222841980221049;-0,350563999357284;0,282852933507526;0,190941780576102;0,125777229446896;-0,447457304922761;-0,39771413963181;-0,596505545887494;0,226816967657988;-0,189201593045937;-0,297642603414129;0,240153249240806;0,0556627522368774;0,0212697632024865;0,259411684195528;0,168344365042746;0,32792213474717;0,0427310631718594;0,0273307929979164;0,0632127026281134;0,0341147417772977;0,000722276238456247;0,000313404652658865;0,00396647385834686;0,00313359924670738;0,00704904629621132;0,00101918370483248;0,000709171001791715;0,00175505843293404;0,00114255818344961;0,0142809451389146;0,740466877539813;0,00783011650070184
"city";0,0396217667087678;0,148075824836279;-0,343088509024247;0,0754689507647907;0,185450927277762;-0,152861851327771;0,421183039019669;0,43275219091273;-0,861041374746997;0,0346081589434312;0,129338798021836;-0,299675219917654;0,0659193584819096;0,161984578189322;-0,133519216495916;0,367887925488303;0,37799315503293;-0,752088037192961;0,00252516563230477;0,0310589224727423;0,160678633803293;0,006386348325824;0,0333932920953762;0,0204479750004215;0,142693391425018;0,140783635897252;0,462032635347766;1,99736766279735e-05;0,000278970745058197;0,00149762363898501;7,24647779083672e-05;0,000437570826991592;0,000297295661479813;0,00225700275450649;0,00238269740523537;0,00943275126733136;0,0127230238510331;0,612496607743831;0,00477306904605924
"greg";-0,00314923415340106;0,0205391356078079;-0,455363129587498;-0,269609267267873;0,23124795038796;0,222956018216698;-0,0808747261498204;0,319659278696653;0,516953835090508;-0,00361330955501855;0,0235658103934142;-0,522466055870985;-0,309339253319246;0,265324960931497;0,255811118427398;-0,0927925351124054;0,366764702084017;0,593132850988147;2,24934862008257e-05;0,000842572065967987;0,399104091528022;0,114923879665069;0,0732118987957475;0,0613359566339798;0,00741843724074064;0,10831108973343;0,234829580850853;1,32068904458928e-07;5,6176540989731e-06;0,00276125424325055;0,000967966443926786;0,000712108966450873;0,000661955918068069;8,70996311955649e-05;0,00136070913424142;0,00355872306367846;0,0133165176749879;0,515811895536727;0,00354301814815875
"digital";-0,0697427647416111;0,29099471986695;-0,695319190945257;-0,526558712889688;-0,569980180847503;0,260632835352424;-0,187449779794572;-0,43846562976336;0,205564473293588;-0,0567046582214285;0,236594522678147;-0,565332292509862;-0,428120851797985;-0,463424865184073;0,211908660413677;-0,152406858780455;-0,356496387398599;0,167135089120237;0,00467757834780987;0,0717115047354284;0,394561559898464;0,185870359589036;0,18859113830582;0,0355394650947671;0,0168978922212177;0,0864062768899695;0,0157442249174854;6,26071616947917e-05;0,001089923241429;0,00622291871812672;0,00356877610844822;0,00418162617589511;0,000874347259829881;0,000452267692456198;0,00247455327140738;0,000543903452654892;0,0128713973070218;0,792142674939497;0,00807667332092157
