"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"detail";-70,986;-43,861;5,31;-6,918;79,617;51,435;-19,081;-13,107;0,008;9,097
"art";9,951;-79,601;-37,762;-6,964;181,646;34,093;-4,448;-3,846;4,717;-8,232
"paint";-33,736;-89,425;3,393;-6,784;152;67,433;0,012;-9,581;7,259;-5,884
"artstation";32,775;-52,417;-18,646;-40,886;79,08;57,063;5,92;41,257;-35,656;-33,992
"light";-0,314;-46,943;40,781;2,401;-17,413;-20,985;-2,383;94,917;0,601;-0,055
"highly";-25,596;-41,977;-11,763;-17,365;319,09;144,221;-6,958;-25,471;-15,408;-3,785
"concept";33,088;-31,161;-26,753;-10,376;293,893;66,957;-6,144;-1,26;-17,934;-58,385
"city";3,015;-38,669;-20,383;-3,53;0,758;-12,137;0,001;-31,04;11,591;72,676
"greg";2,185;-15,851;-24,402;-18,147;19,215;53,337;2,33;2,945;47,654;-22,295
"digital";-3,344;-41,977;-23,351;-14,792;265,979;79,292;-1,415;0,054;-17,988;-20,865
"rutkowski";-10,497;-9,506;-19,752;-14,689;51,812;-7,979;5,751;9,325;64,644;-12,323
"trend";25,306;-3,955;-0,859;-16,097;-53,997;156,169;19,227;1,151;-14,142;0,292
"beautiful";174,223;-34,446;-18,24;6,438;-7,289;0,091;21,184;-2,872;-1,873;-0,033
"cinematic";-13,072;-24,262;44,67;-8,869;-10,415;-5,419;-8,838;19,92;2,869;14,238
"medieval";267,795;-18,979;-13,963;-2,926;-1,127;-8,904;27,604;-13,293;1,398;-1,411
"render";-12,771;-21,241;-1,684;-8,665;-11,195;165,999;-1,234;-1,664;3,133;20,452
"illustration";86,014;-20,751;-14,906;-6,711;355,306;-9,505;-9,368;-15,074;-11,482;-38,446
"high";-13,072;-13,231;168,363;-8,869;-31,298;-7,605;-0,652;1,106;-2,12;20,715
"intricate";-15,07;-11,097;-13,748;-10,224;161,648;93,964;-0,245;-9,782;-8,297;-7,006
"fantasy";-12,398;0,211;-11,311;-8,412;0,005;-7,213;-10,541;-13,354;3,487;62,395
"octane";-12,398;-23,012;-1,498;-8,412;-3,635;171,588;-4,59;-1,366;0,439;18,048
"sharp";-14,524;-26,957;-13,25;-3,936;540,106;-8,449;-12,348;-8,942;-0,295;-23,212
"view";-12,771;-14,662;73,527;3,612;28,484;-7,43;-0,558;-4,11;42,716;-19,58
"focus";-13,908;-25,813;-12,688;-9,436;568,974;-8,091;-11,824;-8,009;-9,774;-16,929
"color";84,09;-1,681;8,191;-6,597;31,802;-7,561;0,085;-1,853;-9,134;-23,92
"realistic";-10,215;-0,011;-7,121;-6,931;-16,783;-5,943;11,569;-7,814;-7,179;80,642
"street";-8,467;-15,715;51,456;0,204;-7,422;-4,926;51,32;-1,15;7,283;-0,104
"town";-8,398;-15,588;-7,662;-5,698;0,015;215,365;21,442;-4,861;25,697;-4,425
"matte";-9,298;-14,901;-8,483;-4,222;33,568;250,703;-7,905;-9,395;60,574;-15,889
"engine";-9,72;-18,04;-8,867;-6,594;-15,466;224,339;10,217;-8,505;7,211;10,112
"unreal";-9,72;-18,04;-8,867;-6,594;-15,466;224,339;10,217;-8,505;7,211;10,112
"volumetric";23,539;-5,82;-9,45;-7,027;-6,228;-6,026;-8,806;165,952;-0,298;-5,918
"map";10,748;790,576;-8,867;-6,594;-21,685;-5,654;-8,263;-16,076;0,001;-66,657
"style";-9,79;1,468;-8,932;-2,83;-2,402;-5,695;0,118;-1,697;-6,88;41,078
"tower";-7,246;-13,449;45,218;-4,916;-14,656;-4,215;-6,16;105,275;-0,069;-0,286
"sky";-7,853;-14,575;-7,164;-5,328;114,614;-2,596;16,341;-2,92;-5,519;-1,408
