"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"detail";1;1;0,021;1;0;0;1;1;0,927;0,003
"art";0,002;1;1;1;0;0;1;1;0,03;1
"paint";1;1;0,065;1;0;0;0,911;1;0,007;1
"artstation";0;1;1;1;0;0;0,015;0;1;1
"light";1;1;0;0,121;1;1;1;0;0,438;1
"highly";1;1;1;1;0;0;1;1;1;1
"concept";0;1;1;1;0;0;1;1;1;1
"city";0,082;1;1;1;0,384;1;0,982;1;0,001;0
"greg";0,139;1;1;1;0;0;0,127;0,086;0;1
"digital";1;1;1;1;0;0;1;0,816;1;1
"rutkowski";1;1;1;1;0;1;0,016;0,002;0;1
"trend";0;1;1;1;1;0;0;0,283;1;0,589
"beautiful";0;1;1;0,011;1;0,763;0;1;1;1
"cinematic";1;1;0;1;1;1;1;0;0,09;0
"medieval";0;1;1;1;1;1;0;1;0,237;1
"render";1;1;1;1;1;0;1;1;0,077;0
"illustration";0;1;1;1;0;1;1;1;1;1
"high";1;1;0;1;1;1;1;0,293;1;0
"intricate";1;1;1;1;0;0;1;1;1;1
"fantasy";1;0,646;1;1;0,945;1;1;1;0,062;0
"octane";1;1;1;1;1;0;1;1;0,508;0
"sharp";1;1;1;1;0;1;1;1;1;1
"view";1;1;0;0,057;0;1;1;1;0;1
"focus";1;1;1;1;0;1;1;1;1;1
"color";0;1;0,004;1;0;1;0,77;1;1;1
"realistic";1;1;1;1;1;1;0,001;1;1;0
"street";1;1;0;0,651;1;1;0;1;0,007;1
"town";1;1;1;1;0,903;0;0;1;0;1
"matte";1;1;1;1;0;0;1;1;0;1
"engine";1;1;1;1;1;0;0,001;1;0,007;0,001
"unreal";1;1;1;1;1;0;0,001;1;0,007;0,001
"volumetric";0;1;1;1;1;1;1;0;1;1
"map";0,001;0;1;1;1;1;1;1;0,971;1
"style";1;0,226;1;1;1;1;0,731;1;1;0
"tower";1;1;0;1;1;1;1;0;1;1
"sky";1;1;1;1;0;1;0;1;1;1
"masterpiece";1;1;0;1;1;1;0,009;1;0;1
"mucha";1;1;1;1;0;1;1;1;0,002;1
"8k";1;1;1;1;1;1;1;0;1;0,176
"village";0;1;1;0,002;1;0;0,072;1;0,718;1
"artgerm";0;1;1;1;0;1;0,627;1;1;1
"alphonse";1;1;1;1;0;1;1;1;0,001;1
"mountain";1;1;1;1;1;1;0;1;1;0
"river";1;1;1;1;0;1;0;1;1;1
"hd";1;1;1;0;1;1;1;0;1;1
"ultra";1;1;1;1;1;1;1;0;0;0,328
"castle";1;1;1;1;1;1;0,035;1;1;0
"hyper";1;0,104;1;1;1;1;0,823;1;1;0
"atmosphere";0;1;1;1;1;1;1;0,078;1;1
"elegant";1;1;1;1;0;1;1;1;1;1
"cgsociety";1;0,077;1;1;1;1;1;0;1;1
"bridge";0;1;1;0;1;1;0,896;1;1;1
"smooth";1;1;1;1;0;1;1;1;1;1
"hyperdetailed";1;1;1;1;1;1;1;0;0;1
"landscape";0;1;1;0,172;1;1;1;1;1;0
"james";0,001;1;0;1;1;1;0;1;1;1
"oil";0,191;1;1;1;0,252;1;1;1;1;0
"night";1;1;1;0,035;0;0,053;1;0,916;1;1
"dramatic";1;1;1;1;1;1;1;0;0,004;1
"rain";0;1;1;1;1;1;1;1;1;1
"photorealistic";1;1;0,135;1;1;1;1;0;0;0,409
"contrast";1;0,074;0;0;1;1;1;1;1;1
"sunny";1;1;0;1;1;0;1;1;0,858;1
"gothic";1;1;1;1;1;1;1;0;0;0,348
"composition";1;1;0;1;1;1;1;1;1;1
"ancient";1;1;0;1;0,003;1;1;1;1;1
"background";0;1;1;0,069;1;1;0;1;1;1
"small";1;1;1;0,406;1;1;0;0,222;0,447;1
"full";1;1;0;1;0;1;1;1;1;1
"dark";1;1;0;1;1;1;0,771;1;1;0,009
"flower";0;1;1;1;1;1;1;1;1;1
"stone";1;1;1;0,662;1;1;0,205;1;1;0
"paris";0,957;1;1;1;0;1;1;0,046;1;1
"photo";1;1;1;1;1;1;0;0;0,873;1
"architecture";1;1;1;1;1;1;0,002;1;0;0,048
"epic";1;1;1;1;1;1;1;1;1;0
"building";1;1;1;1;1;0,008;0,619;1;1;0
"shoot";0;1;1;1;0,027;0,001;1;1;0,004;1
"wide";1;1;1;1;1;1;1;0;0,43;1
"angle";1;1;1;1;1;1;1;0;1;1
"vibrant";1;1;0;1;1;1;1;0,114;1;1
"smoke";0;1;1;1;0,434;1;1;1;1;1
"day";1;1;0;1;1;0;0,597;0,138;1;1
"4k";1;1;1;1;0,001;1;1;1;1;0
"thomas";0,12;1;1;0,874;0;1;1;1;0,002;1
"world";1;0;1;1;1;1;1;1;1;1
"water";0,97;1;1;0,018;1;1;1;0;1;0,311
"studio";1;1;1;0;1;0;1;1;0;1
"soft";1;1;1;0;1;1;0,006;1;1;0,521
"blue";0,026;1;1;1;0;1;1;0,018;1;1
"victorian";1;1;1;1;1;0;1;1;1;1
"tree";1;1;1;1;1;0,796;0;0,546;1;0,1
"person";0,388;1;1;1;1;1;0;1;1;0,149
"magical";1;1;1;1;1;0;1;1;1;1
"flood";1;1;0;1;1;1;1;1;1;1
"house";1;1;1;1;1;1;0;1;1;0,926
"gurney";1;1;1;1;1;1;0;1;1;1
"ghibli";1;1;1;0;1;0;1;1;0;1
"build";1;1;1;1;1;1;1;1;0,113;0
"win";1;1;0;1;1;1;1;1;0;0,217
"simonetti";0;1;1;1;1;1;1;1;0;1
"ornate";0;1;1;1;1;1;1;1;1;1
"marc";0;1;1;1;1;1;1;1;0;1
"inspire";1;1;1;1;1;0;1;1;0;1
"krenz";1;1;1;1;0;1;1;1;1;1
"forest";0;1;1;1;1;1;0,365;1;1;1
"cushart";1;1;1;1;0;1;1;1;1;1
"shadow";1;1;0;0;1;1;1;1;1;1
"red";0;1;1;0,944;0,008;1;1;1;1;1
"award";1;1;0;1;1;1;1;1;0;0,289
