"";"";"";"";"hyper";""
"1";"hyper";"-0.54021980730937";"0.591558902657652";"2.2808620433973";"6"
"2";"kremlin";"-0.609348407064706";"0.679026177136517";"2.26833756182943";"7"
"3";"body";"-0.533472924468577";"0.571647199031153";"2.15951937596018";"9"
"4";"square";"-0.531394703429412";"0.598965913717738";"2.12951237026869";"10"
"5";"huge";"-0.596167131587563";"0.64833295713851";"2.103261262617";"12"
"6";"full";"-0.412964016201846";"0.432660534849355";"1.93588353165747";"19"
"7";"distance";"-0.59864212696643";"0.600568348524009";"1.916319754662";"22"
"8";"realistic";"-0.381656848865721";"0.392529856780457";"1.88825578736594";"23"
"9";"symmetrical";"-0.565831935391222";"0.614700101827004";"1.86223610860502";"25"
"10";"muscular";"-0.677236443687333";"0.776528099329345";"1.83842786146702";"26"
"11";"skull";"-0.657890385764281";"0.735564083648581";"1.80969532181984";"29"
"12";"shoot";"-0.607237755570415";"0.676151408696857";"1.79737655482154";"30"
"13";"smooth";"-0.60037938076569";"0.67656904256976";"1.77963849463104";"31"
"14";"super";"-0.62587386876612";"0.752047867292305";"1.76644544071205";"34"
"15";"capitol";"0.545005692310825";"-3.86883069193626";"1.76306240032961";"35"
"16";"trident";"-0.677236443687333";"0.776528099329345";"1.73851325931213";"36"
"17";"beam";"-0.644667952038027";"0.71066601326162";"1.7338798600615";"37"
"18";"cloud";"-0.577044746575076";"0.606401213170182";"1.69964124138808";"39"
"19";"stand";"-0.616397998806638";"0.684076081259818";"1.68625854435026";"40"
"20";"impose";"0.543698801258676";"-3.85237153598964";"1.61374737286569";"44"
"21";"statue";"0.490975269307857";"-3.5368195859964";"1.5910351986687";"45"
"22";"extremely";"-0.588760375588039";"0.66109013980891";"1.59074269826509";"46"
"23";"abundance";"0.552847038623721";"-3.96758562761598";"1.58514179767943";"49"
"24";"western";"-0.659388299541736";"0.729271440837007";"1.58488626161254";"50"
"25";"stripe";"-0.57332487784162";"0.60941153552556";"1.57230713711212";"51"
"26";"ukrainian";"-0.599998967157467";"0.665118651599787";"1.5548503273097";"54"
"27";"installin";"-0.667752902113198";"0.757328088712991";"1.52564207272039";"56"
"28";"figure";"-0.66982307629298";"0.758791689564264";"1.51181258935179";"59"
"29";"masculine";"-0.66982307629298";"0.758791689564264";"1.51181258935179";"60"
"30";"focus";"-0.621357289209578";"0.69496733708083";"1.50740097612148";"61"
"31";"sharp";"-0.594277520097065";"0.661193245191845";"1.48045076036225";"62"
"32";"elegant";"-0.662822559656107";"0.748311295308864";"1.46628859796316";"64"
"33";"artgerm";"-0.627396530948741";"0.692585008387192";"1.41974728374219";"66"
"34";"rotten";"-0.658143080182741";"0.725974464663124";"1.40568315719267";"70"
"35";"battle";"-0.387462628771439";"0.393742089296404";"1.39911314812691";"71"
"36";"mucha";"-0.638741370982417";"0.695104874263799";"1.39828707555846";"72"
"37";"alphonse";"-0.638799809865551";"0.695197854957773";"1.39571403629372";"73"
"38";"intricate";"-0.564550630807362";"0.61711180070432";"1.38876152670016";"74"
"39";"landscape";"0.487837826246759";"-3.23662143948659";"1.37914276342751";"76"
"40";"illustration";"-0.519237606071927";"0.563536216194957";"1.37529847240861";"77"
"41";"soldier";"-0.553256251063679";"0.702638136112927";"1.33829556420654";"82"
"42";"digital";"-0.442942758535069";"0.325965342495868";"1.32714840596777";"84"
"43";"rutkowski";"-0.529377938863996";"0.454366962940776";"1.32363197254412";"86"
"44";"greg";"-0.525267110077554";"0.449453325069194";"1.31964464561355";"87"
"45";"fantasy";"-0.527426446627349";"0.555290195940085";"1.31372874459324";"90"
"46";"impossibly";"-0.0362387160119373";"-0.732121246131035";"1.31089695497145";"93"
"47";"exquisite";"-0.0362387160119373";"-0.732121246131035";"1.31089695497145";"94"
"48";"concept";"-0.454830582157204";"0.403820347272993";"1.30144694193166";"95"
