"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,733834345975312;13,7508835406962;13,7508835406962
"facteur 2";0,641880601684904;12,0278172440542;25,7787007847504
"facteur 3";0,606120595261065;11,3577318406582;37,1364326254086
"facteur 4";0,500986012257846;9,38767767938078;46,5241103047894
"facteur 5";0,474207067830266;8,88588303296502;55,4099933377544
"facteur 6";0,427439848003378;8,009540031457;63,4195333692114
"facteur 7";0,398946750610866;7,47562489637648;70,8951582655879
"facteur 8";0,3711039412574;6,95389512048753;77,8490533860754
"facteur 9";0,302838887569477;5,67471704942788;83,5237704355033
"facteur 10";0,271524448169493;5,08793447146192;88,6117049069652
"facteur 11";0,253544454794626;4,75101811381762;93,3627230207828
"facteur 12";0,228656938769489;4,28466581461577;97,6473888353986
"facteur 13";0,125550250658445;2,35261116460141;100
