"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"mass";"chi.distance";"inertie"
"art";-0,235787743240615;0,112408081625751;-0,0716794485964394;0,337510623748023;-0,177834356745107;0,145227530537267;-0,0491483538171087;0,0254498580801758;-0,176217718717401;0,0100911777131829;-0,0579659673847655;0,0212607786326487;0,0561093959793847;-0,444663338980559;0,211986222087459;-0,135177607245905;0,636498737527912;-0,335371201950238;0,27387920064489;-0,0926870532511588;0,0479949411915106;-0,332322444396334;0,0190305768846139;-0,109315862861646;0,0400949120008865;0,105814623870906;0,281191833408655;0,0558999656230851;0,0214639955766683;0,393335108842578;0,103362160111269;0,0621348321544601;0,00664194235073716;0,00165664141384041;0,0648146244510705;0,00019057014578569;0,00587168177669418;0,000712368871324835;0,00272427527381632;0,00127278902749438;0,000289273761853685;0,000117625987570438;0,0026078875814396;0,000724011238867585;0,000482849600484577;5,53008648501173e-05;1,48280725017077e-05;0,000710907539941674;2,33129740417322e-06;7,69236967983503e-05;1,03483784377136e-05;7,20750841601871e-05;0,0228935937071968;0,380906945102752;0,00332163381928126
"detail";-0,25126533589259;0,0539413114900186;0,0111146763503542;-0,149779245043672;0,0927496424534155;-0,069308819867597;-0,172016361249388;-0,104045001939302;0,0483565375835366;0,0729279678815426;-0,0189060649264456;-0,175085436079455;0,0663408212896949;-0,583403543480371;0,125244304597224;0,0258067494443643;-0,347766801926257;0,215351910249136;-0,160925544948563;-0,399398326605592;-0,241578181077706;0,112277227881273;0,169328708752337;-0,0438972818601343;-0,406524296149728;0,154034260556939;0,507608948946597;0,0204627186418302;0,000820386985220909;0,123138810433742;0,0446949638037967;0,0224966625533154;0,129336327297788;0,0440153430516738;0,00775868491587262;0,0158220678747997;0,000992938809627347;0,076798105786285;0,00605404089943992;0,00146266533325089;6,74097652125317e-05;2,86202520177233e-06;0,000519736342877334;0,000199298623869603;0,000111290173630176;0,000685518729471612;0,000250796953692374;5,41739129818122e-05;0,000123216263906552;8,28098697897558e-06;0,000710198672440135;0,00010196274038585;0,0231675341447188;0,302111293592851;0,00211452942355405
"paint";-0,284687516606627;-0,0842310403265785;0,386818055601374;-0,103153760939915;-0,100478004593803;-0,0940492450005858;-0,0795157491201661;-0,139535386733076;-0,0489871055821703;0,0904389736931233;-0,0486072764239139;-0,0436802377051104;0,096117785012495;-0,505451271779367;-0,149548835030925;0,686779949052341;-0,183145366812657;-0,178394668699037;-0,166980663789066;-0,141177024543764;-0,247739484762563;-0,0869746419247164;0,160570771829009;-0,0863002704826948;-0,0775525107768607;0,170653273646388;0,324094063242894;0,0248161710348178;0,494206791787435;0,0290490495429356;0,0260883264051164;0,0206025903384987;0,013745401660698;0,0393731789669245;0,00396014780223302;0,0121019786851099;0,0032643211921681;0,00237733598654912;0,00632064335465512;0,00175396161342079;0,000153542131625924;0,0032381481274603;0,000230278488358127;0,00021848681807049;0,000191422887657209;0,00013683258952186;0,000421358691948666;5,19334047612898e-05;0,000177008648822212;5,11311794586538e-05;4,1290792892582e-05;0,000199935882809323;0,021641294564239;0,428382679833842;0,00397143119676899
"artstation";-0,359325624602666;0,189938919206437;0,201772266944733;-0,183765746597672;-0,0478467243865747;-0,132052663362783;-0,15174685412426;-0,0528609359762742;-0,108170207547904;-0,0466697772939719;-0,0185465198598871;-0,173848646612619;0,0765173140765606;-0,620335818234795;0,327908467398747;0,348337429179054;-0,31725116989708;-0,082602060331826;-0,227974270044942;-0,261974105024712;-0,0912585402384237;-0,186743860202166;-0,0805701917766231;-0,032018508519711;-0,300130397225922;0,132098651993715;0,49833424386079;0,121794729352698;0,129786137143175;0,0889817711189903;0,00570977196086635;0,0392026707662381;0,048317075947162;0,0054539554079327;0,0186368833505708;0,00311047500202562;0,000458696359401531;0,0363473984520422;0,00386619127808761;0,00256178360973353;0,000715803782955422;0,000807772401986636;0,000670031454571209;4,54224427857431e-05;0,000345987488432304;0,000456883482270616;5,54416008300354e-05;0,000232156790086681;4,32152989129711e-05;6,8248156086951e-06;0,00059966498759531;0,000116167728729306;0,0198411145462372;0,436040511703153;0,00377241745462756
"flag";-0,223739227312766;0,212255497587556;0,112357541872451;0,46105395906619;0,2285971170256;0,338289467007016;-0,184376409087545;-0,0108952308494702;-0,093180403198744;-0,0310801140023358;-0,256160090719591;0,10807350603071;-0,226075222347584;-0,275576695054978;0,261432334575202;0,138389322362447;0,567874162289216;0,281560094604905;0,416666734793823;-0,227094024023882;-0,0134195140718926;-0,114769090185085;-0,0382809720117726;-0,315509050662839;0,133112731158734;-0,278453909744112;0,12422319115589;0,0977895675850395;0,0258752097523701;0,360121865394089;0,0837972757516341;0,165414028170123;0,0458612635823885;0,000148966570397325;0,00889162610657439;0,000886940579746033;0,0562597026977173;0,00903115395413957;0,0216992086998339;0,00095600947118517;0,000860390927601328;0,000241091770094404;0,00405958312320498;0,00099797445518174;0,00218552047047668;0,00064921512899748;2,26699624186847e-06;0,000165816253264074;1,84477384793299e-05;0,00125314366742867;0,000223057283309815;0,000976076507879336;0,0190975619301061;0,543800760104835;0,00564751700954921
"blue";-0,337560190726269;0,348574665897817;-0,0255072354187598;0,324239384544963;-0,104095055493048;-0,192126766942128;0,23176437974587;0,31100993682296;-0,0441371297345323;0,143893542249108;-0,00657458978011455;0,112957180444661;-0,0363788868551485;-0,444696336714751;0,459206628195166;-0,0336028194735835;0,427147722056817;-0,137133142827895;-0,253104695966046;0,305322646110042;0,409719461555848;-0,0581455409887667;0,189563025715248;-0,00866125826131563;0,148807962933346;-0,0479249572748449;0,276678687786483;0,258060251564028;0,00130485137571869;0,174273903458342;0,0170021346166837;0,0522066686840458;0,0709060898174066;0,118773436585155;0,00195206845095072;0,0186023055292963;3,6263244902255e-05;0,00965355548785836;0,000549783399089313;0,0020690859553283;0,0022063160542981;1,1814160499375e-05;0,00190900742845868;0,000196759761602892;0,000670273168829277;0,000975370158557133;0,00175640480148775;3,53740072256941e-05;0,000375974762120381;7,84898332110868e-07;0,000231688123543207;2,40311690092099e-05;0,0181583375728877;0,549746391230292;0,00548783265867877
"digital";-0,442942758535069;0,325965342495868;0,379315264687686;0,0481229706582929;0,0586774854768438;-0,0915522561313167;0,0110166248333709;0,0641307917183306;-0,0619660854994845;0,0245431967191091;-0,0511153571944105;0,035274535343653;0,0977762314720357;-0,637630741491422;0,469237884650257;0,546036861019537;0,0692746068704221;0,0844681798099422;-0,131792498776345;0,0158587955799687;0,0923183943926099;-0,0892022282405796;0,0353307429030615;-0,0735822461964696;0,050778859555863;0,140752117000271;0,463229185845428;0,219431904974719;0,280583642969184;0,00373278628567096;0,00525307594930585;0,0115269863006625;0,000155781083472304;0,0049105647018803;0,00374129913938522;0,000526227893111178;0,00213137361231257;0,000915397361511824;0,00386177388336283;0,00335532624611564;0,00181711492858732;0,00246059525695472;3,96044876639058e-05;5,88819970619434e-05;0,00014334338114487;2,07556654515359e-06;7,03352029540757e-05;6,56670740688201e-05;1,03015315919576e-05;4,46830018732055e-05;2,12795355810097e-05;0,00016349562320125;0,0171017101710171;0,55750487069475;0,00531541128363548
"concept";-0,454830582157204;0,403820347272993;0,26729842619433;-0,0617811930263114;0,0296602046917794;0,0424993734594218;-0,215786811507809;0,0529467661229785;-0,131995125614003;-0,0216438592383483;-0,0657306991217641;0,108091477367845;0,0693270035978339;-0,621273242007677;0,551596102331231;0,365114762155337;-0,0843896685761825;0,0405141875906315;0,0580517770093658;-0,29475276559486;0,0723223334874077;-0,180297989705271;-0,0295643061968045;-0,0897844739224133;0,147646937589852;0,0946968255292417;0,456871122735447;0,315011932166004;0,130331142425147;0,00575485703236018;0,00125548829462223;0,00232346652324642;0,0559063431027629;0,00313091158268805;0,0158790233411915;0,000382802441454489;0,00329675730596703;0,00804014068352738;0,00181601236558557;0,00355403697672827;0,00280155414983242;0,00122748283784992;6,5574532984783e-05;1,5113704022826e-05;3,10304218999983e-05;0,000799967642980873;4,81616662945614e-05;0,000299321844346689;8,04807522240915e-06;7,42265248811784e-05;0,000200726878391121;8,25709887225743e-05;0,017179978867452;0,576436962731947;0,00570855602510837
"sharp";-0,594277520097065;0,661193245191845;0,518109827269677;0,125230182365735;0,128831634340306;0,0326643001447843;0,160996603637904;-0,0654158675799908;0,0759614631054271;-0,0862947947415585;-0,0321629497290359;-0,0680932256610633;0,1253916355519;-0,552502634830176;0,614714502478137;0,481689168809798;0,116427095721257;0,119775382738473;0,0303681550867502;0,149679307563447;-0,0608174429881573;0,0706217332677311;-0,0802286808006011;-0,0299020472224835;-0,0633065955206893;0,116577199515766;0,351332218026338;0,380410421092967;0,220568779030901;0,010650867077275;0,0106697536784095;0,00061824848414524;0,0140181176022002;0,00215279718214103;0,00236886124497325;0,00274106590865261;0,00035555533446898;0,00143725404211589;0,00267606129540874;0,00498934932463003;0,00617621098121252;0,00379235484342122;0,00022155590677037;0,000234482447949466;1,50734276963733e-05;0,000366183469817301;6,04549015371458e-05;8,15177059303915e-05;0,000105204546136073;1,46142674454416e-05;6,55047996131642e-05;0,000222127557553454;0,0141274997064924;0,858873752674871;0,0104213496816502
"highly";-0,361761136589998;0,115088576166526;0,363014734325524;0,0156557728780432;-0,000834878120663198;-0,0768546115356746;-0,139240920951737;0,107043031752146;-0,158669201816484;-0,039149520966996;-1,26215891629971;-0,141629213579258;0,342955495989044;-0,251421579675536;0,0799857936514352;0,252292821749558;0,010880657842747;-0,000580234731437117;-0,0534134429689958;-0,0967715123607612;0,0743941938873466;-0,110274038119715;-0,0272086562361126;-0,877192037621456;-0,0984313598247507;0,238351784751542;0,15235602188302;0,0134876552431426;0,126714209298501;0,000194801544548351;5,2436289598662e-07;0,00400527778020496;0,0122706191642284;0,00674574841259563;0,0120952454885056;0,000660206226076642;0,640766748964773;0,00727625387073969;0,023426687760761;0,00172596436512742;0,000174683723346805;0,00173794693393003;3,23248881249914e-06;9,19251115462108e-09;7,78982801596256e-05;0,000255694731763134;0,000151114037018545;0,000332026907169882;2,0213471697474e-05;0,0210095178181921;0,000264541427811594;0,0015511847979182;0,0131882753492741;0,793946273187017;0,00831323839652664
