"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"14";"***";"";""
"**";"classe";"1";"**";"";""
"****";"117";"1585";"7.38";"****";""
"0";"592";"0.00";"-75.312";"detail";"4.020031e-18"
"0";"585";"0.00";"-73.900";"art";"8.217276e-18"
"1";"553";"0.18";"-64.416";"paint";"1.007542e-15"
"0";"507";"0.00";"-59.413";"artstation";"1.278504e-14"
"0";"464";"0.00";"-52.288";"blue";"4.793117e-13"
"0";"439";"0.00";"-48.391";"concept";"3.490802e-12"
"0";"437";"0.00";"-48.087";"digital";"4.076992e-12"
"5";"488";"1.02";"-41.678";"flag";"1.076020e-10"
"0";"393";"0.00";"-41.649";"greg";"1.092170e-10"
"0";"392";"0.00";"-41.508";"matte";"1.173730e-10"
"0";"391";"0.00";"-41.368";"rutkowski";"1.261235e-10"
"0";"389";"0.00";"-41.087";"illustration";"1.455800e-10"
"0";"378";"0.00";"-39.562";"yellow";"3.178763e-10"
"0";"373";"0.00";"-38.877";"fantasy";"4.513149e-10"
"0";"361";"0.00";"-37.258";"sharp";"1.035109e-09"
"0";"361";"0.00";"-37.258";"intricate";"1.035109e-09"
"0";"351";"0.00";"-35.932";"focus";"2.043284e-09"
"0";"338";"0.00";"-34.240";"artgerm";"4.870626e-09"
"0";"337";"0.00";"-34.112";"highly";"5.203529e-09"
"0";"332";"0.00";"-33.472";"alphonse";"7.231332e-09"
"0";"331";"0.00";"-33.344";"mucha";"7.721009e-09"
"0";"324";"0.00";"-32.458";"light";"1.218095e-08"
"0";"321";"0.00";"-32.081";"elegant";"1.478814e-08"
"3";"330";"0.91";"-25.539";"soldier";"4.335117e-07"
"0";"253";"0.00";"-23.994";"figure";"9.662885e-07"
"0";"253";"0.00";"-23.994";"masculine";"9.662885e-07"
"0";"251";"0.00";"-23.769";"extremely";"1.086300e-06"
"0";"246";"0.00";"-23.208";"ukrainian";"1.453675e-06"
"0";"225";"0.00";"-20.899";"stand";"4.840600e-06"
"0";"215";"0.00";"-19.825";"smooth";"8.487805e-06"
"0";"212";"0.00";"-19.505";"realistic";"1.003168e-05"
"0";"209";"0.00";"-19.187";"pile";"1.184908e-05"
"0";"205";"0.00";"-18.766";"shoot";"1.478046e-05"
"0";"203";"0.00";"-18.556";"skull";"1.650121e-05"
"1";"200";"0.50";"-15.854";"super";"6.840967e-05"
"0";"175";"0.00";"-15.679";"winner";"7.506770e-05"
"0";"159";"0.00";"-14.085";"volumetric";"1.747021e-04"
"0";"154";"0.00";"-13.595";"huge";"2.268230e-04"
"0";"154";"0.00";"-13.595";"hyper";"2.268230e-04"
"0";"139";"0.00";"-12.143";"symmetrical";"4.926537e-04"
"0";"139";"0.00";"-12.143";"bright";"4.926537e-04"
"0";"124";"0.00";"-10.722";"background";"1.058907e-03"
"0";"123";"0.00";"-10.628";"atmosphere";"1.113951e-03"
"0";"123";"0.00";"-10.628";"distant";"1.113951e-03"
"0";"117";"0.00";"-10.068";"trend";"1.508559e-03"
"0";"111";"0.00";" -9.513";"cinematic";"2.040285e-03"
"0";"106";"0.00";" -9.054";"high";"2.621618e-03"
"0";"104";"0.00";" -8.871";"special";"2.897533e-03"
"0";"104";"0.00";" -8.871";"force";"2.897533e-03"
"0";" 99";"0.00";" -8.416";"full";"3.719342e-03"
"0";" 96";"0.00";" -8.145";"symbol";"4.319144e-03"
"0";" 93";"0.00";" -7.874";"render";"5.014668e-03"
"0";" 89";"0.00";" -7.515";"body";"6.117641e-03"
"0";" 84";"0.00";" -7.069";"square";"7.840787e-03"
"0";" 81";"0.00";" -6.803";"kremlin";"9.098425e-03"
"0";" 80";"0.00";" -6.715";"photorealistic";"9.560816e-03"
"0";" 79";"0.00";" -6.627";"vector";"1.004665e-02"
"0";" 79";"0.00";" -6.627";"white";"1.004665e-02"
"1";"100";"1.00";" -6.358";"red";"1.168511e-02"
"0";" 75";"0.00";" -6.274";"triumph";"1.224934e-02"
"2";"120";"1.67";" -6.202";"style";"1.275795e-02"
"2";"119";"1.68";" -6.116";"logo";"1.339335e-02"
"0";" 69";"0.00";" -5.750";"city";"1.649225e-02"
"0";" 69";"0.00";" -5.750";"icon";"1.649225e-02"
"0";" 68";"0.00";" -5.663";"distance";"1.733086e-02"
"0";" 67";"0.00";" -5.576";"architecture";"1.821236e-02"
